10c5eed242f0322a254cfe82373f2c24abad8b071fb9821ed776881d1c7b292a,0ad2e1ed778ee73362c4b62e9cd58873cd9d299e5f80bd4a8f6b785fa70140a1,770ad3c00a00bb9dd3799c0b5b07e9195a60859c744bc186e813e8c037633e58,02a405ecd5ddb288d2eb0b775eae4e3267ce2532d51daf072bcd1f428d52bde1,b9988150da408dcaf745fa7b45fe8ea0ccafb7114d5f3e647bcb653124ec285f
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10101","1","ダメージ減衰","damage_limit"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10102","1","防御力（ダウン不可）アップ","def_lower_limit"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10201","2","ダメージ減衰","damage_limit"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10202","2","防御力（ダウン不可）アップ","def_lower_limit"
"すべてのモンスターが受けるダメージを一定値カットさせる。","10203","2","全ダメージカット","damage_cut"
"すべてのモンスターの与えるダメージをアップさせる。","10204","2","与ダメージアップ","damage_up"
"すべてのモンスターの物理/魔法防御力をアップさせる。","10205","2","防御力アップ","def_up"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10301","3","ダメージ減衰","damage_limit"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10302","3","防御力（ダウン不可）アップ","def_lower_limit"
"すべてのモンスターが受けるダメージを一定値カットさせる。","10303","3","全ダメージカット","damage_cut"
"すべてのモンスターの与えるダメージをアップさせる。","10304","3","与ダメージアップ","damage_up"
"すべてのモンスターの物理/魔法防御力をアップさせる。","10305","3","防御力アップ","def_up"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","10306","3","クリティカルダウン","critical_down"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10401","4","ダメージ減衰","damage_limit"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10402","4","防御力（ダウン不可）アップ","def_lower_limit"
"すべてのモンスターが受けるダメージを一定値カットさせる。","10403","4","全ダメージカット","damage_cut"
"すべてのモンスターの与えるダメージをアップさせる。","10404","4","与ダメージアップ","damage_up"
"すべてのモンスターの物理/魔法防御力をアップさせる。","10405","4","防御力アップ","def_up"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","10406","4","クリティカルダウン","critical_down"
"すべてのキャラのＨＰ吸収をダウンさせる。","10407","4","ＨＰ吸収ダウン","life_steal_down"
"EXTREMEバトル時に一定確率で強敵が出現する。","10501","5","強敵出現","add_monster"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10502","5","ダメージ減衰","damage_limit"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10503","5","防御力（ダウン不可）アップ","def_lower_limit"
"すべてのモンスターが受けるダメージを一定値カットさせる。","10504","5","全ダメージカット","damage_cut"
"すべてのモンスターの与えるダメージをアップさせる。","10505","5","与ダメージアップ","damage_up"
"すべてのモンスターの物理/魔法防御力をアップさせる。","10506","5","防御力アップ","def_up"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","10507","5","クリティカルダウン","critical_down"
"すべてのキャラのＨＰ吸収をダウンさせる。","10508","5","ＨＰ吸収ダウン","life_steal_down"
"すべてのモンスターがＴＰダウンカット状態になる。","10509","5","ＴＰダウンカット","tp_down_cut"
"すべてのキャラのＨＰ回復量をダウンさせる。","10510","5","ＨＰ回復量ダウン","hp_recovery_down"
