f370b92e2c25658e79c203ff699897f78301d7d8e70b90ec8e29a4f0cafce681,0069a44b26da3c1489a64bd60b4be155ccd05e690ad08ca8755eb8f98735d141,f711a059c2dc8230d4764c8ed9bb54e47dadc862b25ca2aa2fad4ef22af27b20,07f267b1b2032da295e9140aeb449775139f05a590c42ba30175ea611dcdddcd,64bbdc98663043a40cc8762161250e89fc91cd4d43f374ad42282ba3de644c85,9a7b78b03638e9a31659bdc68d840177047d443644870baa22db14b5c1ea2fef,429b3aadf53400e892467781e3d7b82955afb3308445e6cf53ddf3b760db0b0f,957d6cde46e22bf6a7fea162f67c8d9c4d9acf1eab5a63321695e8355eed1521,b9227c24a9fa53a80baa49899202dd83dc739bdd55cbcb6abe2b0e755769b789,f1f4022a2025884521a53ec329048c86410b1c971611ee83b742a12cf4621064,2d40625e22b6a4036b2dea94a516503e79540845fe25abd400ca1e9046f82711,a21f45266b4e0f6a41fe66ebb6db4276e627be7f71e0e90ada24be15c45fa6ba
"1","610201102","5201321","1","5201322","10201201","70","5.5","0","5","0","0"
"3","610201103","0","2","5201323","10201201","0","1.5","15","5","600","3"
"1","610201104","0","3","0","10201201","0","1.5","0","5","0","0"
"1","610201105","0","1","0","10201501","70","5.5","0","5","0","0"
"3","610201106","0","2","0","10201501","0","1.5","15","5","600","3"
"1","610201107","0","3","0","10201501","0","1.5","0","5","0","0"
"2","610201152","5201331","1","5201332","10201251","0","5.5","0","5","600","3"
"1","610201153","0","2","5201333","10201251","65","1.5","0","5","0","0"
"1","610201154","0","3","0","10201251","0","1.5","0","5","0","0"
"2","610201155","0","1","0","10201551","0","5.5","0","5","600","3"
"1","610201156","0","2","0","10201551","65","1.5","0","5","0","0"
"1","610201157","0","3","0","10201551","0","1.5","0","5","0","0"
