484e350b06b7b61db6b2b88c00d036774bd7744a1e7b81df8522c916350c0831,283e10338d86519f9521b38f252659fce02febdcedd26b7eff92fa3844e26532,4a97e33b0213b97ce6f219e5a36bdedf48d8318c381345e26025afe80bc5eea1,1e87237963fc2b49c77476ca62676438fc512458a97c005d9e74ae6caf501bcd,c6f1b728f3e8de746f3560c227515f72c497a218f580cfa857c0c6b4f0e59e92,3e5475b95efefb4f3d75c4275e9894d84e3dafa11cabf0d86c5b74d1f610794b,42f4928e72fc61c74f5ec56c56ac7109fc4f407e3ef1faac9be56a4ed5eac0af,f8cf7734732c85a23c5633f437c472073d41e78bc8f113b7dae1ca77fda5778f,5a8d9e1503e7589407334397ecdf60f2121b39c4362d17ebbd0f586217e1cce9,ba618bcdec8794aaffb0c7f7b8569478da90cfadc9c0408cb179c34312d54c08,3aefde05799987c7fa0a5be40df63e2057d1ed864c32eeb0631eaa6342092ea0,dd63ccdcb91195e64704e4b38d9d7a512796501a30c78cd8140c089273786d28,f1cc9bf24fbf4ea920f25952e6cdca7c1f5026eedb6e2526b1c45ed704eafc94,8f083b6b4edca7f4f1e31b5ca5adac7da40bf64cf467e7a6fc4eb9c32e50424f,1b8debf669ac0ef3b5a9d1c73cacb0a3185471742aae773acce750e2b0032409,cd9c35c77e11bb59671ea0512cf5cfff1d8c9198462c96c0393dbcdd594019c5,77c83ba0dc62098d7821914f7e0a2d0a8ae6eeab2523d4b239f84c35b31360e4,29ebc5d8778eded9db82a16578f46db7c40a189c4d75b0555c7de4cca54ef00e,85120ff60bdcd325c2e560e174b81408e335481e2590c19093f024824b6500a9,38a836b5a78905ab34f963439f32b64de1bb9aaa3dc1020e48b07baa901c57bf,3b900a56682e080b3855402a2b97176a61f9dafb24b4d83593028133d7aa4358,8bac3055090d58b2831a0bf77516c562b1c0cbde5ff67f9dfcfb3b1875f5415f,ef16951c9180632ef3626562de2cbdbb18c0f741a55cae65c6eefcf2ee4024d9,c52a1ba3fd6850f7bfa5616275aa48dc2fb04c9b63fe60f937aa7a1c7c4667b6,50ab20e11fd6f4bb1e4af7d6e9b02d21dc9d9917cd9247caf334f23197c7555f,fafdbd8c3e840757a2afc8504e27182a47d6dc55dfbc26e5558ea491817cbbd2,3c8a6f559dca3ff81ae03ab442720e39f1f2bfbaed9b1823cd50ad25f7053183,e22d6b5b709a5d74483abeaec5ac3aa976f2c08d063ea950fb1d96e170836da4,ad65839024c8d3095f779cae7daab01f6699008f52aeeb7f853f671fd68d4a1a,e4d63e367eb3b12038ef13808022d23e4ad841d876918e3d18c2236a48dda448,aeef5418b05b72eb1756bb40b9250bb4c8413f433bb04777115eb32071f660b4,0ff4e2ce9c7a924030314575025804b6966619d7afccc108bc36ed96e67a51ad,884596ff252a79bde0499953af510228b087d0b4a60beb78817c8f95bec1e552,c78cec1e939b6e32849b7fe662e092679f899474788616a4da8a0df00971feb6,3a67a83d001bc5296d5e0725bea22702f4d5322f7687d5d14566d49c6535f277,5e6a6f9bc0827e7335d387adf7ca96539c5dcf798a71e52b02f4a95215af2b42,27a85876258f98df1a4e947849ee718562f6fd51759bcce879d583d2987e8144,5fbfb980522ec44afbbc6cbf2c316c2598f77bd651c9843c63ed3c7aed3ede6e,5c6459f386907cd94814c273fe295c87d3e2275d049be3b8064f52ff5a6b93e2,07f4d902ceaed07e233b186741b9a3799ea19d778521bfe6f1df14b6368c6995
"1","1","0","1","1","0","1","0","1","0","1","1","0","1","0","1","0","1","24","1","1","0","0","329","200000006","1","1","4","1","10","1","200100","10","1","30","3","1","0","1","670010001"
"2","2","0","2","2","0","1","0","2","0","2","2","0","2","0","2","0","2","28","2","2","0","0","338","200000006","2","2","9","1","10","2","200100","10","2","30","3","1","0","2","670010002"
"3","3","0","3","3","0","1","0","3","0","3","3","0","3","0","3","0","3","32","3","3","0","0","347","200000006","3","3","5","1","10","3","200100","10","3","30","4","1","0","3","670010003"
"4","4","0","4","4","0","1","0","4","0","4","4","0","4","0","4","0","4","32","4","4","0","0","347","200000006","4","4","5","1","10","4","200100","10","4","30","4","1","0","4","670010004"
"5","5","0","5","5","0","1","0","5","0","5","5","0","5","0","5","0","5","35","5","5","0","0","349","200000006","5","5","5","1","10","5","200100","10","5","30","4","1","0","5","670010005"
"6","6","0","6","6","0","1","0","6","0","6","6","0","6","0","6","0","6","48","6","6","0","0","367","200000006","6","6","7","1","10","6","200100","10","6","30","6","1","0","6","670010006"
"7","7","0","7","7","0","1","0","7","0","7","7","0","7","0","7","0","7","55","7","7","0","0","413","200000006","7","7","8","1","10","7","200100","10","7","30","7","1","0","7","670010007"
"8","8","0","8","8","0","1","0","8","0","8","8","0","8","0","8","0","8","62","8","8","0","0","459","200000006","8","8","9","1","10","8","200100","10","8","30","7","1","0","8","670010008"
"9","9","0","9","9","0","1","0","9","0","9","9","0","9","0","9","0","9","68","9","9","0","0","505","200000006","9","9","9","1","10","9","200100","10","9","30","8","1","0","9","670010009"
"10","10","0","10","10","0","1","0","10","0","10","10","0","10","0","10","0","10","75","10","10","0","0","551","200000006","10","10","10","1","10","10","200100","10","10","30","9","1","0","10","670010010"
"11","11","0","11","11","0","1","0","11","0","11","11","0","11","0","11","0","11","82","11","11","0","0","598","200000006","11","11","11","1","10","11","200100","10","11","30","9","1","0","11","670010011"
"12","12","0","12","12","0","1","0","12","0","12","12","0","12","0","12","0","12","89","12","12","0","0","644","200000006","12","12","12","1","10","12","200100","10","12","30","10","1","0","12","670010012"
"13","13","0","13","13","0","1","0","13","0","13","13","0","13","0","13","0","13","95","13","13","0","0","690","200000006","13","13","12","1","10","13","200100","10","13","30","11","1","0","13","670010013"
"14","14","0","14","14","0","1","0","14","0","14","14","0","14","0","14","0","14","102","14","14","0","0","736","200000006","14","14","13","1","10","14","200100","10","14","30","11","1","0","14","670010014"
"15","15","0","15","15","0","1","0","15","0","15","15","0","15","0","15","0","15","109","15","15","0","0","782","200000006","15","15","14","1","10","15","200100","10","15","30","12","1","0","15","670010015"
"16","16","0","16","16","0","1","0","16","0","16","16","0","16","0","16","0","16","123","16","16","0","0","851","200000006","16","16","15","1","10","16","200100","10","16","30","12","1","0","16","670010016"
"17","17","0","17","17","0","1","0","17","0","17","17","0","17","0","17","0","17","136","17","17","0","0","919","200000006","17","17","15","1","10","17","200100","10","17","30","12","1","0","17","670010017"
"18","18","0","18","18","0","1","0","18","0","18","18","0","18","0","18","0","18","164","18","18","0","0","1296","200000006","18","18","15","1","10","18","200100","10","18","30","13","1","0","18","670010018"
"19","19","0","19","19","0","1","0","19","0","19","19","0","19","0","19","0","19","177","19","19","0","0","1482","200000006","19","19","15","1","10","19","200100","10","19","30","13","1","0","19","670010019"
