dc60c4324cb018093b33e81c1536e9461ad81aa52380fa978d47f85cc2547fa6,6a48e5b03674219b08cb6526b77b801d5c3ba80714c705efc5e5828df79e6d1a,dcad2393ec371bbce4434ac180ddd895c4f6fe1bc4ab6bac8b32b55e39357aac,e338397eac645b0ec77269ae5e4c65fe362269bd263564b29af94152d998f419,6fb5ff9b2b584a8799d9028c33c81c5c15726a853bf3cfd608fb5d1994bab96e
"1","81000104","bgm_M125","70","0"
"2","81000104","bgm_M125","110","0"
"3","81000104","bgm_M125","130","0"
"4","81000104","bgm_M125","150","0"
"5","81000104","bgm_M125","170","0"
"6","81000104","bgm_M125","190","0"
"7","81000104","bgm_M125","210","0"
"8","81000104","bgm_M125","230","0"
"9","81000104","bgm_M125","250","0"
"10","81000104","bgm_M125","270","0"
"11","81000104","bgm_M125","290","0"
"12","81000104","bgm_M125","310","0"
"13","81000104","bgm_M125","330","0"
"14","81000104","bgm_M125","350","73140350"
"15","81000104","bgm_M125","360","73150360"
"16","81000104","bgm_M125","370","73160370"
"17","81000104","bgm_M125","380","73170380"
"18","81000104","bgm_M125","390","73180390"
"19","81000104","bgm_M125","400","73190400"
"20","81000104","bgm_M125","410","73200410"
"21","81000104","bgm_M125","420","73210420"
"22","81000104","bgm_M125","430","73220430"
"23","81000104","bgm_M125","440","73230440"
"24","81000104","bgm_M125","450","73240450"
"25","81000104","bgm_M125","460","73250460"
"26","81000104","bgm_M125","470","73260470"
"27","81000104","bgm_M125","480","73270480"
"28","81000104","bgm_M125","490","73280490"
"29","81000104","bgm_M125","500","73290500"
"30","81000104","bgm_M125","510","73300510"
"31","81000104","bgm_M125","520","73310520"
"32","81000104","bgm_M125","530","73320530"
"33","81000104","bgm_M125","540","73330540"
"34","81000104","bgm_M125","550","73340550"
"35","81000104","bgm_M125","560","73350560"
"36","81000104","bgm_M125","570","73360570"
"37","81000104","bgm_M125","580","73370580"
"38","81000104","bgm_M125","590","73380590"
"39","81000104","bgm_M125","600","73390600"
"40","81000104","bgm_M125","610","73400610"
"41","81000104","bgm_M125","620","73410620"
"42","81000104","bgm_M125","630","73420630"
"43","81000104","bgm_M125","640","73430640"
"44","81000104","bgm_M125","650","73440650"
"45","81000104","bgm_M125","660","73450660"
"46","81000104","bgm_M125","670","73460670"
"47","81000104","bgm_M125","680","73470680"
"48","81000104","bgm_M125","690","73480690"
"49","81000104","bgm_M125","700","73490700"
"50","81000104","bgm_M125","710","73500710"
"51","81000104","bgm_M125","720","73510720"
"52","81000104","bgm_M125","730","73520730"
"53","81000104","bgm_M125","740","73530740"
