ae303835baed3dde34d116996dc2689a00a35bbb8442bd7545197bcd55f40839,f6908bdbae1a1170c36ba2af4cd3c3d005cb101c353a5e61d2b213d25a702ec7,db0571bc0718ad5ea5e62d57e0c8a1ca887d3c373b93c2496c0e6dcbcdfdec1c,427ac6b5a7859003261e6c434df13b88f72b9627b08862f988cc4e20c606a8d3,00f425b802df71f4d573c2edcae8a323b1d1da2e0992ccece5a0ff9a14402476,b3346f51399a49968e560d8ea0e30eeb78f377069b4262b539e1f40cfa3851ea,1d8497195d60145be46c802e0a5ef8e14095657b63ec0f4ad0d29f11f7faf70a,d60a7b0ba6408892c8e2ab5d6e9230291665f9106405caadd50fd7f21b5f9810
"1","1","0","0","0","0","0","0"
"2","2","0","0","0","0","0","0"
"3","3","0","0","0","0","0","0"
"4","4","0","0","0","0","0","0"
"5","5","0","0","0","0","0","0"
"6","6","0","0","0","0","0","0"
"7","7","0","0","0","0","0","0"
"8","8","0","0","0","0","0","0"
"9","0","1","0","0","0","0","0"
"10","0","0","1","0","0","0","0"
"11","11","0","0","0","0","0","0"
"12","12","0","0","0","0","0","0"
"13","0","0","0","1","0","0","0"
"14","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0"
"16","0","0","0","0","1","0","0"
"17","0","0","0","0","0","10056","0"
"18","0","0","0","0","0","0","0"
"19","19","0","0","0","0","0","0"
"20","0","0","0","0","0","10061","0"
"21","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","23"
"24","0","0","0","0","0","0","0"
"25","25","0","0","0","0","0","0"
"26","0","0","0","0","0","10088","0"
"27","0","0","0","0","0","10102","0"
"28","28","0","0","0","0","0","0"
"29","0","0","0","0","0","30001","0"
