f1485d653a12fca4442d35eaf909fb0e8225cdc0ae53d8b558daa7cf1a4b761c,2eaf03fe5c083d29ee08225040f4290bfcb25dac72115ebdb965dd6a1cd9ec8b,1d4f964b62dec39e6ada500990a90b31c22b7d05fb261007bbc40fef22f89ffc
"1","32025","1"
"1","32046","2"
"1","32048","3"
"1","32016","4"
"1","32060","5"
"2","32078","5"
"1","32031","6"
"1","32007","7"
"1","32050","8"
"1","32033","9"
"1","32058","10"
"2","32075","10"
"1","32042","11"
"1","32021","12"
"1","32023","13"
"1","32027","14"
"1","32049","15"
"1","32011","16"
"1","32045","17"
"1","32030","18"
"1","32013","19"
"1","32040","20"
"1","32018","21"
"1","32028","22"
"1","32043","23"
"1","32017","24"
"1","32010","25"
"1","32036","26"
"1","32004","27"
"1","32020","28"
"1","32059","29"
"2","32076","29"
