63b34f0bcee43aa3b703065e3b1c0faa27263563220a7d9981608151dd2663ec,16df0f968f5159054570106fbdc6db9e98a4a141e38e2f3d34c36509bf0f0b43,88421185866fe5c9144e3303d7a39fc011616683a14ad9b1850347a376168fc2,60f71d4ae2a0a7a65d14418281a2abf559213a3c1bd4528ed917bdb3a23f709e,dce5faed658621f3f73a4024c7c365fb1105e7d5cf4f97ed993b6c4ac64ad174,f33f652f0a0bfdc1ea6400bec16bdc4de9bf2f34c2823f63dd49014ba86c38d6,6c0a7e1b664e9dd8cd35f1d5797d253389fbc84362e29383e93c059b721cf810,7c39d93e7bd92b3463dd4c991a86acd2e7c9a5bd845e59c6d975feb551bd6ec9,9907c64de084361d2d6271810ecad1e99745a6e395344fc42bb8dc1ff21ca0d4
"唯一無二の","1","1","0","1","3","2","1","1"
"完全無欠の","2","1","0","1","3","2","1","1"
"ランドソル最速の","3","1","1","1","3","2","1","1"
"明鏡止水の","4","1","0","1","3","2","1","1"
"史上最速の","5","1","0","1","3","2","1","1"
"最強最速の","6","1","0","1","3","2","1","1"
"アルティメット","7","1","2","1","3","2","1","1"
"百点満点","8","1","0","1","3","2","1","1"
"最優秀","9","1","0","1","3","2","1","1"
"一騎当千の","10","1","0","1","3","2","1","1"
"唯一無二の","11","1","0","1","3","2","1","1"
"天下無双の","12","1","0","1","3","2","1","1"
"泰然自若の","13","1","0","1","3","2","0","1"
"ハイパー","14","1","0","1","3","2","0","1"
"光速の","15","1","0","1","3","2","0","1"
"稀代の","16","1","0","1","3","2","0","1"
"極限の","17","1","0","1","3","2","0","1"
"至高の","18","1","0","1","3","2","0","1"
"煌めく","19","1","0","1","3","2","0","1"
"百戦錬磨の","20","1","0","1","3","2","0","1"
"疾風迅雷の","21","1","0","1","3","2","0","1"
"電光石火の","22","1","0","1","3","2","0","1"
"変幻自在の","23","1","0","1","3","2","1","0"
"空前絶後の","24","1","0","1","3","2","1","0"
"レペゼン","25","1","0","1","3","2","1","0"
"音速の","26","1","0","1","3","2","1","0"
"常識外れの","27","1","0","1","3","2","1","0"
"獅子奮迅の","28","1","0","1","3","2","1","0"
"勇猛果敢なる","29","1","2","1","3","2","1","0"
"威風堂々たる","30","1","2","1","3","2","1","0"
"急がば回れ","31","1","0","1","3","2","1","0"
"心頭滅却","32","1","0","1","3","2","1","0"
"夢見る","33","1","0","1","3","2","0","0"
"ナイス","34","1","0","1","3","2","0","0"
"そこそこの","35","1","0","1","3","2","0","0"
"若葉マークの","36","1","2","1","3","2","0","0"
"未来ある","37","1","0","1","3","2","0","0"
"新米","38","1","0","1","3","2","0","0"
"駆け出しの","39","1","0","1","3","2","0","0"
"ぼちぼちの","40","1","0","1","3","2","0","0"
"新進気鋭の","41","1","0","1","3","2","0","0"
"不撓不屈の","42","1","0","1","3","2","0","0"
"七転八起の","43","1","0","1","3","2","0","0"
"がんばれ","44","1","0","1","3","2","0","0"
"選ばれし","45","1","0","2","3","2","1","1"
"アルティメット","46","1","2","2","3","2","1","1"
"オーシャンブルー","47","1","1","2","3","2","1","1"
"海に愛された","48","1","2","2","3","2","1","1"
"大海を統べる","49","1","2","2","3","2","1","1"
"伝説の","50","1","0","2","3","2","1","1"
"世界を揺るがす","51","1","2","2","3","2","1","1"
"スーパーワイルド","52","1","1","2","3","2","1","1"
"神がかった","53","1","0","2","3","2","1","1"
"ぶっちぎりの","54","1","2","2","3","2","1","1"
"誰にも止められない","55","1","1","2","3","2","0","1"
"血湧き肉躍る","56","1","2","2","3","2","0","1"
"メガ","57","1","0","2","3","2","0","1"
"ナチュラルボーン","58","1","1","2","3","2","0","1"
"大海原の","59","1","0","2","3","2","0","1"
"アドレナリン全開の","60","1","1","2","3","2","0","1"
"オーマ産の","61","1","0","2","3","2","0","1"
"手練れの","62","1","0","2","3","2","0","1"
"歴戦の","63","1","0","2","3","2","0","1"
"水を得た","64","1","0","2","3","2","0","1"
"ド級の","65","1","0","2","3","2","0","1"
"ただ者ではない","66","1","2","2","3","2","1","0"
"勇猛なる","67","1","0","2","3","2","1","0"
"ひた走る","68","1","0","2","3","2","1","0"
"目にも留まらぬ","69","1","2","2","3","2","1","0"
"荒波の","70","1","0","2","3","2","1","0"
"レイジオブ","71","1","0","2","3","2","1","0"
"負けず嫌いの","72","1","2","2","3","2","1","0"
"伸び盛りの","73","1","0","2","3","2","1","0"
"型破りの","74","1","0","2","3","2","1","0"
"暴れる","75","1","0","2","3","2","1","0"
"荒れくるう","76","1","0","2","3","2","1","0"
"うわさの","77","1","0","2","3","2","0","0"
"ビーチサイドの","78","1","2","2","3","2","0","0"
"元気はつらつ","79","1","2","2","3","2","0","0"
"常夏を駆ける","80","1","2","2","3","2","0","0"
"マッスル","81","1","0","2","3","2","0","0"
"金波銀波の","82","1","0","2","3","2","0","0"
"生まれながらの","83","1","2","2","3","2","0","0"
"お騒がせの","84","1","0","2","3","2","0","0"
"未知数の","85","1","0","2","3","2","0","0"
"激ヤバ","86","1","0","2","3","2","0","0"
"負けるな","87","1","0","2","3","2","0","0"
"ライトスピード","88","1","2","3","3","2","1","1"
"プロフェッショナル","89","1","1","3","3","2","1","1"
"トップオブ","90","1","0","3","3","2","1","1"
"ゴールドメダル","91","1","2","3","3","2","1","1"
"アルティメット","92","1","2","3","3","2","1","1"
"ザ・ベスト","93","1","0","3","3","2","1","1"
"パーフェクト","94","1","2","3","3","2","1","1"
"100年に1人の","95","1","1","3","3","2","1","1"
"レジェンダリー","96","1","2","3","3","2","1","1"
"超一流の","97","1","0","3","3","2","1","1"
"世界の","98","1","0","3","3","2","1","1"
"選ばれし","99","1","0","3","3","2","1","1"
"アスレチック","100","1","2","3","3","2","0","1"
