1c04e54a52712747a568bc244a103229e53466182da77559aafa3419149cafc4,8b7b53bbaaac707d998e536ca24112813949ee1aa0dffbcb05927c1d91a5e2bf,3d7a435dbfcf7843272fffd7ec168c279b6a2c14d1fc70cee5d624ca52a45041,1538ab72e3d583ddbf36459ae3a9da0e2a36ac970582475a11639fd731befdb7,28f581d01d1e50f65d83ebf056f59e11e054c57b59fad60aef19150f3bb71523,07b5a74c49384497931b6bae94c3f940eee7f02f12f1e45fde39470357134bd6,3030c0a0a696686bc963dcacc1f9b21acf7dcae2bf892c18cc77c6b995738b45,aa0239f4785640478cf25c60bed01160c168cfd87949e02d19b5853ae8cfb923,9376b24b973e888ec7ce2919d0ff40d7867728c8e13cee1cf0ac65d7a7be4c64,b0a207fe93e72bc678c5b69e807e510fcc4fd47524e9c22a5a728a76dad3ecee,37eea576168bc533b548e0157d217b99f8714a23e1519e50156e43077577c16d
"1001","129811","167","drama_idle","1","-224","1","1","100","1.65","1"
"1002","129911","-49","drama_idle","1","-224","1","0","100","1.65","1"
"1003","drama_idle","","","1","","3","","1","0.2","129811"
"1004","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","","1","1","3","0","0","0.2","129911"
"1005","vo_minigame_1013_top_talk_1_000","0","","1","","21","","0","","vo_minigame_1013"
"1006","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","1","0","1","0","11","0","6","0","129911"
"1007","","","","1","","91","","","","0"
"1008","drama_idle_arm_crossed","","","1","","3","","1","0.2","129911"
"1009","drama_talk_doya_in_smile","drama_talk_doya_loop_smile","","1","1","3","0","0","0.2","129811"
"1010","vo_minigame_1013_top_talk_1_001","0","","1","","21","","0","","vo_minigame_1013"
"1011","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","1","0.3","1","0","11","0","6","0","129811"
"1012","","","","1","","91","","","","0"
"1013","drama_idle_arm_crossed","","","1","","3","","1","0.2","129811"
"1014","drama_talk_smile_in","drama_talk_smile_loop","","1","1","3","0","0","0.2","129911"
"1015","vo_minigame_1013_top_talk_1_002","0","","1","","21","","0","","vo_minigame_1013"
"1016","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","1","0.5","1","0","11","0","5","0","129911"
"1017","","","","1","","91","","","","0"
"1018","drama_idle","","","1","","3","","1","0.2","129911"
"1019","drama_idle","","","1","","3","","1","0.2","129811"
"2001","129811","167","drama_idle","2","-224","1","1","100","1.65","1"
"2002","129911","-49","drama_idle","2","-224","1","0","100","1.65","1"
"2003","drama_idle","","","2","","3","","1","0.2","129911"
"2004","drama_talk_admire_in","drama_talk_admire_loop","","2","1","3","","0","0.2","129811"
"2005","vo_minigame_1013_top_talk_2_000","0","","2","","21","","0","","vo_minigame_1013"
"2006","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","1","0.5","2","0","11","0","7","0","129811"
"2007","","","","2","","91","","","","0"
"2008","drama_idle_admire","","","2","","3","","1","0.2","129811"
"2009","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","","2","1","3","","0","0.2","129911"
"2010","vo_minigame_1013_top_talk_2_001","0","","2","","21","","0","","vo_minigame_1013"
"2011","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","1","0.3","2","0","11","0","5","0","129911"
"2012","","","","2","","91","","","","0"
"2013","drama_idle_arm_crossed","","","2","","3","","1","0.2","129911"
"2014","drama_talk_guts2_in","drama_talk_guts2_loop","","2","1","3","","0","0.2","129811"
"2015","vo_minigame_1013_top_talk_2_002","0","","2","","21","","0","","vo_minigame_1013"
"2016","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","1","0.3","2","0","11","0","8","0","129811"
"2017","","","","2","","91","","","","0"
"2018","drama_idle","","","2","","3","","1","0.2","129811"
"2019","drama_idle","","","2","","3","","1","0.2","129911"
"3001","129811","167","drama_idle","3","-224","1","1","100","1.65","1"
"3002","129911","-49","drama_idle","3","-224","1","0","100","1.65","1"
"3003","drama_idle","","","3","","3","","1","0.2","129811"
"3004","drama_talk_thinking","","","3","","3","","1","0.2","129911"
"3005","vo_minigame_1013_top_talk_3_000","0","","3","","21","","0","","vo_minigame_1013"
"3006","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","1","0.8","3","0","11","0","5","0","129911"
"3007","","","","3","","91","","","","0"
"3008","drama_idle_thinking","","","3","","3","","1","0.2","129911"
"3009","drama_talk_sad_in","drama_talk_sad_loop","","3","1","3","","0","0.2","129811"
"3010","vo_minigame_1013_top_talk_3_001","0","","3","","21","","0","","vo_minigame_1013"
"3011","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","1","0.5","3","0","11","0","7","0","129811"
"3012","","","","3","","91","","","","0"
"3013","drama_idle_sad","","","3","","3","","1","0.2","129811"
"3014","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","","3","1","3","","0","0.2","129911"
"3015","vo_minigame_1013_top_talk_3_002","0","","3","","21","","0","","vo_minigame_1013"
"3016","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","1","0.3","3","0","11","0","6","0","129911"
"3017","","","","3","","91","","","","0"
"3018","drama_idle","","","3","","3","","1","0.2","129811"
"3019","drama_idle","","","3","","3","","1","0.2","129911"
"4001","129811","167","drama_idle","4","-224","1","1","100","1.65","1"
"4002","129911","-49","drama_idle","4","-224","1","0","100","1.65","1"
"4003","drama_idle","","","4","","3","","1","0.2","129911"
"4004","drama_talk_doya_in_shy","drama_talk_doya_loop_shy","","4","1","3","","0","0.2","129811"
"4005","vo_minigame_1013_top_talk_4_000","0","","4","","21","","0","","vo_minigame_1013"
"4006","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","1","0.3","4","0","11","0","7","0","129811"
"4007","","","","4","","91","","","","0"
"4008","drama_idle_doya_shy","","","4","","3","","1","0.2","129811"
"4009","drama_talk_wish_in","drama_talk_wish_loop","","4","1","3","","0","0.2","129911"
"4010","vo_minigame_1013_top_talk_4_001","0","","4","","21","","0","","vo_minigame_1013"
"4011","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","1","0.5","4","0","11","0","5","0","129911"
"4012","","","","4","","91","","","","0"
"4013","drama_idle_wish","","","4","","3","","1","0.2","129911"
"4014","drama_idle_thinking_shy","","","4","0","3","","1","0.2","129811"
"4015","vo_minigame_1013_top_talk_4_002","0","","4","","21","","0","","vo_minigame_1013"
"4016","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","1","0","4","0","11","0","8","0","129811"
"4017","","","","4","","91","","","","0"
"4018","drama_idle","","","4","","3","","1","0.2","129911"
"4019","drama_idle","","","4","","3","","1","0.2","129811"
"5001","129811","167","drama_idle","5","-224","1","1","100","1.65","1"
