f604f8e3989b05f753603c11a6a97173e0675819f8a3296b8e0618a6892e5831,aa1c0c9c6959cb36f31a58748a2bdfcdc9bd4eb5c40911d215f8bdf54ba4df13,e8f69733e977537648f9691f49f30e24c14093e747122c9d19715603e52a9074,d4fcd3af3a94f231f40f8d47ac553fbddc37f349c5907d24688170dc3f616c93,449333cb9d18b0c3c4ff3ac10bfc162d542c19af5caa56e652b349f330aa078a,22e5eb3c5519bac6ca863f06c8a55cdbe97f0f086298c76e16b1e016796b2061,423fbae660146f20ca08e4b8897a963022469f13072a0dd889ff0baf68df4940,5c0ab84b91bf8c45863ac71c093c92812c72680fc64aa891f1437c9fff9d88b1,0f3a75d35d9aa11e122eaa24f5a2ae69ecd2fc9afc1a39295126a131b67cfadc
"10001","53003","6","7","8","-1","5","22","1"
"10002","53002","6","7","4","-1","5","22","1"
"10101","53003","5","6","6","5","4","22","1"
"10102","53002","5","6","5","5","4","22","1"
"10201","53003","4","5","5","4","3","22","1"
"10202","53002","4","5","5","4","3","22","1"
"10301","53003","3","4","4","3","3","22","1"
"10302","53002","3","4","3","3","3","22","1"
"10401","53003","2","3","3","2","2","22","1"
"10402","53002","2","3","2","2","2","22","1"
"10501","53003","1","2","2","1","1","22","1"
"10502","53002","1","2","1","1","1","22","1"
"10601","53002","0","1","2","0","1","22","1"
"10701","53003","6","7","8","-1","5","22","2"
"10702","53002","6","7","4","-1","5","22","2"
"10801","53003","5","6","6","5","4","22","2"
"10802","53002","5","6","5","5","4","22","2"
"10901","53003","4","5","5","4","3","22","2"
"10902","53002","4","5","5","4","3","22","2"
"11001","53003","3","4","4","3","3","22","2"
"11002","53002","3","4","3","3","3","22","2"
"11101","53003","2","3","3","2","2","22","2"
"11102","53002","2","3","2","2","2","22","2"
"11201","53003","1","2","2","1","1","22","2"
"11202","53002","1","2","1","1","1","22","2"
"11301","53002","0","1","2","0","1","22","2"
"11401","53003","6","7","8","-1","5","22","3"
"11402","53002","6","7","4","-1","5","22","3"
"11501","53003","5","6","6","5","4","22","3"
"11502","53002","5","6","5","5","4","22","3"
"11601","53003","4","5","5","4","3","22","3"
"11602","53002","4","5","5","4","3","22","3"
"11701","53003","3","4","4","3","3","22","3"
"11702","53002","3","4","3","3","3","22","3"
"11801","53003","2","3","3","2","2","22","3"
"11802","53002","2","3","2","2","2","22","3"
"11901","53003","1","2","2","1","1","22","3"
"11902","53002","1","2","1","1","1","22","3"
"12001","53002","0","1","2","0","1","22","3"
"12101","53003","6","7","8","-1","5","22","4"
"12102","53002","6","7","4","-1","5","22","4"
"12201","53003","5","6","6","5","4","22","4"
"12202","53002","5","6","5","5","4","22","4"
"12301","53003","4","5","5","4","3","22","4"
"12302","53002","4","5","5","4","3","22","4"
"12401","53003","3","4","4","3","3","22","4"
"12402","53002","3","4","3","3","3","22","4"
"12501","53003","2","3","3","2","2","22","4"
"12502","53002","2","3","2","2","2","22","4"
"12601","53003","1","2","2","1","1","22","4"
"12602","53002","1","2","1","1","1","22","4"
"12701","53002","0","1","2","0","1","22","4"
"12801","53003","6","7","8","-1","5","22","5"
"12802","53002","6","7","4","-1","5","22","5"
"12901","53003","5","6","6","5","4","22","5"
"12902","53002","5","6","5","5","4","22","5"
"13001","53003","4","5","5","4","3","22","5"
"13002","53002","4","5","5","4","3","22","5"
"13101","53003","3","4","4","3","3","22","5"
"13102","53002","3","4","3","3","3","22","5"
"13201","53003","2","3","3","2","2","22","5"
"13202","53002","2","3","2","2","2","22","5"
"13301","53003","1","2","2","1","1","22","5"
"13302","53002","1","2","1","1","1","22","5"
"13401","53002","0","1","2","0","1","22","5"
