ba3862f4efb04769453d912e06c5551618b7ea90a1d4f24973a2fa6245fc0199,58e445ff46b1a6f6b5cf4618e9a0630c1e56ad2cf5160883845900aaf8c09bfb,9a767aa972a777180e1fcd2cfe21adca21e50ef45a14c66b2c3ff8319157c2b5,e60de23fa1b81c0cbff1fe39deb8a9055518cfc588cbe1f34f3eb9a29fdb5dbf,0f9e67ffba9edf03c8ceb87676d3ef013c698db3ede53dae01a5dc9d6ef6ad42,0aa0821796b8157e0f2bf8e7584880bddffdf3f3e54322cdada538d5279d594a,f0dcc19d14e441838e8a011ede544d6445add65791f5ec01b84e19b1b0c2898e,d0a944ad9a4b898f41902aee7beb4b673bd57b6c739cd7f7497715f4f57b70c7
"52001","1","0","1","1","0","【料理】ダイスが2個に増える","1"
"52002","1","0","2","1","0","【料理】ダイスの目が必ず「1」になる","1"
"52002","2","0","3","3","0","【料理】次のターン数のカウントをスキップする","1"
"52004","1","0","4","1","0","【料理】ダイスの目が必ず「4」になる","1"
"52006","1","0","5","1","0","【料理】ダイスの目が\n「4・5・6」のみになる","1"
"52007","1","0","6","1","0","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","1"
"52003","1","0","7","1","0","【料理】ダイスの目が必ず「5」になる","1"
"52008","7","0","8","2","0","【料理】マイルマスの獲得マイルが200%アップする","1"
"4","2","0","9","3","0","【イベント】次のターン数のカウントをスキップする","2"
"5","3","0","10","2","0","【イベント】マイルマスの獲得マイルが100%アップする","2"
"6","5","0","11","2","0","【イベント】ミニゲームの獲得マイルが100%アップする","2"
"7","4","0","12","3","0","【イベント】マイルショップの全商品が20%以上割引される","2"
"52009","1","0","13","1","0","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","1"
"52010","6","0","14","2","0","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","1"
"52011","1","0","15","1","0","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","1"
"52012","1","0","16","1","0","【料理】ダイスの目が\n「1・2・3」のみになる","1"
"52012","2","0","17","3","0","【料理】次のターン数のカウントをスキップする","1"
"52014","8","0","18","1","0","【料理】移動時にマイルマスをスキップできる","1"
"52005","1","0","19","1","0","【料理】次回移動時に1マス分多く進める","1"
"52014","1","2","20","1","2","【料理】次回移動時に1マス分多く進める","1"
"52015","1","0","21","1","0","【料理】ダイスが2個に増える","1"
"52015","1","0","22","1","0","【料理】次回移動時に1マス分多く進める","1"
"52016","1","0","23","1","0","【料理】ダイスの目が必ず「6」になる","1"
"52017","9","0","24","1","0","【料理】移動系カテゴリーの料理が食べられなくなる","1"
"52018","1","0","25","1","0","【料理】ダイスの目が必ず「3」になる","1"
"52019","1","0","26","1","0","【料理】ダイスの目が必ず「8」になる","1"
"98011","2","0","27","3","0","【イベント】次のターン数のカウントをスキップする","2"
"98012","2","0","28","3","0","【イベント】次のターン数のカウントをスキップする","2"
"52020","10","0","29","2","0","【料理】移動時にマイルマスをスキップできる","1"
"52020","1","2","30","1","2","【料理】次回移動時に1マス分多く進める","1"
"52021","10","0","31","2","0","【料理】移動時にトレジャーマスをスキップできる","1"
"52022","1","0","32","1","0","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","1"
"52023","1","0","33","1","0","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","1"
"52024","1","0","34","1","0","【料理】次回移動時に3マス分多く進める","1"
"52025","10","0","35","2","0","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","1"
"52027","1","0","36","1","0","【料理】ダイスの目が必ず「5」になる","1"
"52028","1","0","37","1","0","【料理】ダイスの目が\n「1・2」のみになる","1"
"52029","1","0","38","1","0","【料理】ダイスの目が必ず「2」になる","1"
"52029","2","0","39","3","0","【料理】次のターン数のカウントをスキップする","1"
"8","4","0","40","3","0","【イベント】マイルショップの全商品が20%以上割引される","2"
"52030","11","0","41","3","0","【料理】「マイルマス」を「トレジャーマス」に変化させる","1"
"52031","1","0","42","1","0","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","1"
"52032","10","0","43","2","0","【料理】移動時に料理マスをスキップできる","1"
"1","99","0","1001","1","0","最大ｎマイルを入手する","3"
"2","99","0","1002","1","0","ダイスを1回振りなおせる","3"
"3","99","0","1003","1","0","ダイスを1回振りなおせる_有効ターン2","3"
