ebc2ab647b4dc0694cf4d2c47518715034c27917f95ce0569c2f1df3768f4848,2302eebd9908dbdda0aa0b8d7b3fbf82a8da513c5a4128df61f024cdcd50325f,81023f63dd6d4cc85de6a757dfd9b6dd5ffae0cb627d8cd9eae882b37fe4b16c,e8c2e4d8fe83bb937aec59f837e32f89091d7e560a790292110e79faad0e4d5e,da796b3039d2e985acb7e1a255c53fd1d198c14c703f33b5d2b0bfff17ecada5,1961badeb72fc3a1c778ce3e98e03fcc60c2d86dc2d0f529cecf47c22fae7c35,7d79e11f780736349b363ea4bf4cd2b01d02482cc88f4a7dadd6e3e80af0ca34,33bfabb3d378a20f81bf4eae860ff5127ee278b58fbb3c4773d4768d09726423,1233c48c2bdce99fca079eb87637f7ec222119bf14ba526e37978e2e6d3b0dc1,d4f3c34882894f146845f0b31912fca419071e7173248f3f6a20a4b35cc71a3a,d94efa1cf20ed7511234ccd73434249114678cf954c259078c8b4ea39a1d6ace,2eaccf18b94d7c12f670522aa83eca658e37cb3cf13a94994f54ad21176fda07,1b67261485cd627821eb3af076ec7e5ceba8857fafeab0b5547e3be7c82c5761,cdeb4941b35878b04e2992feb70e86a196954ffd73b5be4b15c190fc505e6a68,f7d184723fcba57f4a9bb5d66cc19c7525b35dd1a716149dcfae60d6844cbd07,6f6325b0172b01367ea9370d775881a0cecd8293c26d7d420c81433f8634b160
"1","1","1","10016","0","103","101","104","5","0","105","1","0","0","0","102"
"2","2","1","10021","1","203","201","204","2","0","205","2","0","0","0","202"
"5","2","1","10053","1","303","301","304","5","0","305","3","0","0","0","302"
"4","2","1","10044","1","403","401","404","8","0","405","4","0","0","0","402"
"4","3","1","10042","2","503","501","504","2","0","505","5","0","0","0","502"
"2","3","1","10024","3","603","601","604","5","0","605","6","0","0","0","602"
"1","3","1","10015","4","703","701","704","8","0","705","7","0","0","0","702"
"101","4","1","11012","5","0","801","0","2","0","0","8","0","0","0","0"
"2","4","1","10023","6","903","901","904","5","0","905","9","0","0","0","902"
"101","4","1","11011","7","0","1001","0","8","0","0","10","0","0","0","0"
"5","5","1","10052","8","1103","1101","1104","2","0","1105","11","0","0","0","1102"
"4","5","1","10045","9","1203","1201","1204","5","0","1205","12","0","0","0","1202"
"2","5","1","10021","10","1303","1301","1304","8","0","1305","13","0","0","0","1302"
"1","6","1","10013","11","1403","1401","1404","2","0","1405","14","0","0","0","1402"
"5","6","1","10054","12","1503","1501","1504","5","0","1505","15","0","0","0","1502"
"101","6","1","11015","13","0","1601","0","8","0","0","16","0","0","0","0"
"100","7","1","11002","14","0","1701","0","2","0","0","17","0","0","0","0"
"4","7","1","10043","15","1803","1801","1804","5","0","1805","18","0","0","0","1802"
"3","7","1","10034","16","1903","1901","1904","8","0","1905","19","0","16","0","1902"
"4","8","1","10041","17","2003","2001","2004","2","0","2005","20","0","0","0","2002"
"100","8","1","11003","18","0","2101","0","5","0","0","21","0","0","0","0"
"2","8","1","10025","19","2203","2201","2204","8","0","2205","22","0","0","0","2202"
"1","9","1","10011","20","2303","2301","2304","2","0","2305","23","0","0","0","2302"
"2","9","1","10022","21","2403","2401","2404","5","0","2405","24","0","0","0","2402"
"4","9","1","10045","22","2503","2501","2504","8","0","2505","25","0","0","0","2502"
"100","10","1","11006","23","2603","2601","0","5","0","0","26","25","24","0","2602"
"3","11","1","10031","26","2703","2701","2704","2","0","2705","27","0","0","0","2702"
"4","11","1","10044","26","2803","2801","2804","5","0","2805","28","0","0","0","2802"
"7","11","1","10075","26","2903","2901","2904","8","0","2905","29","0","0","0","2902"
"3","12","1","10032","27","3003","3001","3004","2","0","3005","30","0","0","0","3002"
"1","12","1","10013","28","3103","3101","3104","5","0","3105","31","0","0","0","3102"
"4","12","1","10044","29","3203","3201","3204","8","0","3205","32","0","0","0","3202"
"4","13","1","10041","30","3303","3301","3304","2","0","3305","33","0","0","0","3302"
"2","13","1","10022","31","3403","3401","3404","5","0","3405","34","0","0","0","3402"
"5","13","1","10053","32","3503","3501","3504","8","0","3505","35","0","0","0","3502"
"2","14","1","10024","33","3603","3601","3604","2","0","3605","36","0","0","0","3602"
"4","14","1","10045","34","3703","3701","3704","5","0","3705","37","0","0","0","3702"
"1","14","1","10012","35","3803","3801","3804","8","0","3805","38","0","0","0","3802"
"4","15","1","10043","36","3903","3901","3904","2","0","3905","39","0","0","0","3902"
"3","15","1","10035","37","4003","4001","4004","5","0","4005","40","0","0","0","4002"
"7","15","1","10072","38","4103","4101","4104","8","0","4105","41","0","0","0","4102"
"2","16","1","10021","39","4203","4201","4204","2","0","4205","42","0","0","0","4202"
"3","16","1","10034","40","4303","4301","4304","5","0","4305","43","0","0","0","4302"
"1","16","1","10015","41","4403","4401","4404","8","0","4405","44","0","0","0","4402"
"2","17","1","10022","42","4503","4501","4504","2","0","4505","45","0","0","0","4502"
"2","17","1","10023","43","4603","4601","4604","5","0","4605","46","0","0","0","4602"
"7","17","1","10074","44","4703","4701","4704","8","0","4705","47","0","0","0","4702"
"3","18","1","10031","45","4803","4801","4804","2","0","4805","48","0","0","0","4802"
"5","18","1","10052","46","4903","4901","4904","5","0","4905","49","0","0","0","4902"
"2","18","1","10025","47","5003","5001","5004","8","0","5005","50","0","0","0","5002"
"4","19","1","10041","48","5103","5101","5104","2","0","5105","51","0","0","0","5102"
"3","19","1","10033","49","5203","5201","5204","5","0","5205","52","0","0","0","5202"
"7","19","1","10074","50","5303","5301","5304","8","0","5305","53","0","0","0","5302"
"101","20","1","11016","51","5403","5401","0","5","0","0","54","53","52","0","5402"
"4","21","1","10041","54","5503","5501","5504","2","0","5505","55","0","0","0","5502"
"100","21","1","11002","54","0","5601","0","5","0","0","56","0","0","0","5602"
"6","21","1","10065","54","5703","5701","5704","8","0","5705","57","0","0","0","5702"
"2","22","1","10022","55","5803","5801","5804","2","0","5805","58","0","0","0","5802"
"1","22","1","10013","56","5903","5901","5904","5","0","5905","59","0","0","0","5902"
"101","22","1","11015","57","0","6001","0","8","0","0","60","0","0","0","6002"
"2","23","1","10021","58","6103","6101","6104","2","0","6105","61","0","0","0","6102"
"3","23","1","10032","59","6203","6201","6204","5","0","6205","62","0","0","0","6202"
"2","23","1","10023","60","6303","6301","6304","8","0","6305","63","0","0","0","6302"
"2","24","1","10024","61","6403","6401","6404","2","0","6405","64","0","0","0","6402"
"7","24","1","10071","62","6503","6501","6504","5","0","6505","65","0","0","0","6502"
"100","24","1","11004","63","0","6601","0","8","0","0","66","0","0","0","0"
"5","25","1","10055","64","6703","6701","6704","2","0","6705","67","0","0","0","6702"
"5","25","1","10051","65","6803","6801","6804","5","0","6805","68","0","0","0","6802"
"4","25","1","10042","66","6903","6901","6904","8","0","6905","69","0","0","0","6902"
"6","26","1","10064","67","7003","7001","7004","2","0","7005","70","0","0","0","7002"
"6","26","1","10061","68","7103","7101","7104","5","0","7105","71","0","0","0","7102"
