9748c62b83b38af1e720c97fc9ec34c5a750f5363df3f32ee5bdf85f1de135e6,66ebf67151ffa7a14749087be70809ada9fdd39d43a061609dac9e03cf37cce9,e0e727b3e3465e1d0db778e9654ebe8ac447d5db1838b67b15eacf9eb46566e7,09287db5cc1cc5881317b6baae15e6c3d73a7ac281a5b68caddceaac0b01035e,5244291565941e67fac487090576869fe8babdacdfb8959c582a8d0a2205f997,99ffa4ef141c187520bbbdcdc83653cf54c1f7914112e3ecbda78c7042db39fe,3752f46ae07f1e4e9e8eaa3113b741ce1586b82716e87e984391410e62d1e927,8fea78dda7333fb12421e119969e082f62270da24866c6df15f91892dbd897dc,a2483860721962e0642c3f3e098c742a0868fbd75b4ccaa932d2d7a218089880,5816d9b1635aca63bed23ef7b468f4833d1edaa1dd57c47070d3f74ea21e872d,ce8f4443246b7c8d4767604f2e9af3b6a3374475bdb7801be4bfb3ba2c7994ad,22a36993f8e02d9f337b0504a2e2f46e55bb4ca4da37bb67dcbf37ac90a230ed
"1","0","0","0","0","4","0","3","0","1120001","1","12"
"2","0","vo_nyx_0101","0","0","2","0","0","vo_nyx","1120002","0","12"
"3","1","0","280","2.698","1","0","0","0","1120003","0","12"
"4","0","0","0","0","4","0","1","0","1120004","3.334","12"
"5","0","vo_nyx_0102","0","0","2","0","0","vo_nyx","1120005","0","12"
"6","1","0","382","1.055","1","280","0","0","1120006","0","12"
"7","0","0","0","0","4","0","1","0","1120007","1.055","12"
"8","2","0","88","0.732","1","0","0","0","1120008","0","12"
"9","0","0","0","0","4","0","1","0","1120009","1.05","12"
"10","2","0","365","2.42","1","88","0","0","1120010","0","12"
"11","0","0","0","0","4","0","1","0","1120011","3.5","12"
"12","0","0","0","0","4","0","3","0","1120012","2","12"
"13","0","vo_nyx_0103","0","0","2","0","0","vo_nyx","1120013","0","12"
"14","3","0","82","0.815","1","0","0","0","1120014","0","12"
"15","0","0","0","0","4","0","1","0","1120015","1.157","12"
"16","3","0","372","2.763","1","82","0","0","1120016","0","12"
"17","0","0","0","0","4","0","1","0","1120017","2.763","12"
"18","4","0","250","2.388","1","0","0","0","1120018","0","12"
"19","0","0","0","0","4","0","1","0","1120019","3.338","12"
"20","0","vo_nyx_0104","0","0","2","0","0","vo_nyx","1120020","0","12"
"21","5","0","71","0.778","1","0","0","0","1120021","0","12"
"22","0","0","0","0","4","0","1","0","1120022","1.214","12"
"23","5","0","375","3.167","1","71","0","0","1120023","0","12"
"24","0","0","0","0","4","0","1","0","1120024","3.61","12"
"25","6","0","256","2.618","1","0","0","0","1120025","0","12"
"26","0","0","0","0","4","0","1","0","1120026","3.198","12"
"27","0","vo_nyx_0105","0","0","2","0","0","vo_nyx","1120027","0","12"
"28","6","0","392","1.4","1","256","0","0","1120028","0","12"
"29","0","0","0","0","4","0","1","0","1120029","1.448","12"
"30","7","0","296","2.927","1","0","0","0","1120030","0","12"
"31","0","0","0","0","4","0","1","0","1120031","3.811","12"
"32","0","0","0","0","4","0","3","0","1120032","3","12"
"33","0","vo_nyx_0106","0","0","2","0","0","vo_nyx","1120033","0","12"
"34","7","0","360","0.506","1","296","0","0","1120034","0","12"
"35","0","0","0","0","4","0","1","0","1120035","1.175","12"
"36","0","0","0","0","4","0","3","0","1120036","3","12"
"37","0","vo_nyx_0107","0","0","2","0","0","vo_nyx","1120037","0","12"
"38","8","0","159","1.439","1","0","0","0","1120038","0","12"
"39","0","0","0","0","4","0","1","0","1120039","1.439","12"
"40","8","0","315","1.462","1","159","0","0","1120040","0","12"
"41","0","0","0","0","4","0","1","0","1120041","2.178","12"
"42","0","vo_nyx_0108","0","0","2","0","0","vo_nyx","1120042","0","12"
"43","9","0","400","3.765","1","0","0","0","1120043","0","12"
"44","0","0","0","0","4","0","1","0","1120044","4.495","12"
"45","0","vo_nyx_0109","0","0","2","0","0","vo_nyx","1120045","0","12"
"46","10","0","132","1.137","1","0","0","0","1120046","0","12"
"47","0","0","0","0","4","0","1","0","1120047","1.484","12"
"48","10","0","395","2.686","1","132","0","0","1120048","0","12"
"49","0","0","0","0","4","0","1","0","1120049","2.686","12"
"50","11","0","85","0.736","1","0","0","0","1120050","0","12"
"51","0","0","0","0","4","0","1","0","1120051","1.06","12"
"52","0","vo_nyx_0110","0","0","2","0","0","vo_nyx","1120052","0","12"
"53","11","0","133","0.353","1","85","0","0","1120053","0","12"
"54","0","0","0","0","4","0","1","0","1120054","1.137","12"
"55","0","vo_nyx_0111","0","0","2","0","0","vo_nyx","1120055","0","12"
"56","12","0","333","2.51","1","0","0","0","1120056","0","12"
"57","0","0","0","0","4","0","1","0","1120057","3.164","12"
"58","0","vo_nyx_0112","0","0","2","0","0","vo_nyx","1120058","0","12"
"59","13","0","145","1.532","1","0","0","0","1120059","0","12"
"60","0","0","0","0","4","0","1","0","1120060","1.62","12"
"61","13","0","336","1.367","1","145","0","0","1120061","0","12"
"62","0","0","0","0","4","0","1","0","1120062","2.245","12"
"63","0","vo_nyx_0113","0","0","2","0","0","vo_nyx","1120063","0","12"
"64","14","0","85","1.116","1","0","0","0","1120064","0","12"
"65","0","0","0","0","4","0","1","0","1120065","1.735","12"
"66","14","0","185","1.048","1","85","0","0","1120066","0","12"
"67","0","0","0","0","4","0","1","0","1120067","2.848","12"
"1","0","0","0","0","4","0","3","0","1130001","1","13"
"2","0","vo_nyx_0201","0","0","2","0","0","vo_nyx","1130002","0","13"
"3","1","0","40","0.382","1","0","0","0","1130003","0","13"
"4","0","0","0","0","4","0","1","0","1130004","0.672","13"
"5","1","0","82","0.65","1","40","0","0","1130005","0","13"
"6","0","0","0","0","4","0","1","0","1130006","1.115","13"
"7","1","0","286","2.158","1","82","0","0","1130007","0","13"
"8","0","0","0","0","4","0","1","0","1130008","2.541","13"
"9","1","0","365","0.914","1","286","0","0","1130009","0","13"
"10","0","0","0","0","4","0","1","0","1130010","0.914","13"
"11","2","0","220","1.72","1","0","0","0","1130011","0","13"
"12","0","0","0","0","4","0","1","0","1130012","1.5","13"
"13","0","0","0","0","4","0","3","0","1130013","2","13"
"14","0","0","0","0","4","0","1","0","1130014","1.726","13"
"15","0","vo_nyx_0202","0","0","2","0","0","vo_nyx","1130015","0","13"
