7f1a5670afa3dfa2fd10436f138c196382c20797699134e254e579d20d70bba9,df212792b9e5986ef2968e30960c896fb044af39575cdd91382a5fe399e59038,04b00f57db9f348edfdaecbe53e7108b354a47c3a12d7021d95e2820789dab26,4c2202e91608c6fbfe358bf515dde995eca68c3cc87664e0a743c0682814104a,4f4b961118f5ea27c177063c267aa31c6ab36ff833aa2b967e4debd91ab7e249,2bcc01f91150eab2b07db792a6b2a3f942af3cdaebc067e2cb676f6941727757,43b056bc060d17bd916b16814860a198ef0aef6bf9ce3f676ffbbfef6145a754
"1","10201101","10201","5201401","2025/01/31 12:00:00","0","10201101"
"1","10201151","10201","5201402","2025/02/06 12:00:00","0","10201102"
"2","23","10201","5201411","2025/01/31 12:00:00","5201010","10201201"
"3","0","10201","5201601","2025/02/06 12:00:00","0","10201401"
"1","10202101","10202","5202401","2025/02/28 12:00:00","0","10202101"
"2","23","10202","5202411","2025/02/28 12:00:00","0","10202201"
"1","10203101","10203","5203401","2025/03/31 12:00:00","0","10203101"
"2","23","10203","5203411","2025/03/31 12:00:00","5203007","10203201"
"1","10204101","10204","5204401","2025/04/30 12:00:00","0","10204101"
"2","23","10204","5204411","2025/04/30 12:00:00","5204006","10204201"
"1","10205101","10205","5205401","2025/05/31 12:00:00","0","10205101"
"2","23","10205","5205411","2025/05/31 12:00:00","0","10205201"
