cc158c50f9353cf9796f3a31aba1cdda3764440c63f946709c354e5425311943,757abf4ca83bf62597c44d2dc5b3de5ae86a54cecf9babfca4aa9caaf7a1ab7a,7ed50761903b16ed52ea65a7d694a77b4d1aa57db017953de432864f45a6c7a3,114954d08181ea403a9bac2cf420de5bba5384292ad83ebafef4f979ea7ec5ac,20c43cbc6c0cf3950e57a2fb9b38af1afcd32095ec514baf6bbc111fdcb151c5,fdd89f99fcdffa8b22571c405ca7f27e306f3b8381b83522c32e6b8af68e0c5e,9b7013e8a7d087b5fc7dd86a8a940871d1a447144d2b9ef4324adb53a03618b8,b31be1eed561cdc4e08bd6516bd932030f39da6213f2916ad01f536991ce9312
"タルグム地方","bgm_M32","10001101","10001","10001","10001101","bgm_M32","10001"
"マシーナ地方","bgm_M98_2","10002101","10002","10002","10002101","bgm_M98","10002"
"ランドソル郊外","bgm_M106","10003101","10003","10003","10003101","bgm_M106","10003"
"タパスビーチ周辺","bgm_M112","10004101","10004","10004","10004101","bgm_M112","10004"
"イルシオンの孤島","bgm_M121","10005101","10005","10005","10005101","bgm_M121","10005"
"王都ランドソル","bgm_M128","10006101","10006","10006","10006101","bgm_M128","10006"
"ランドソル近郊","bgm_M135","10007101","10007","10007","10007101","bgm_M135","10007"
"ランドソル近郊","bgm_M121","10008101","10008","10008","10008101","bgm_M121","10008"
"クリスマス","bgm_M171","10009101","10009","10009","10009101","bgm_M171","10009"
"神殿への参道","bgm_M121","10010101","10010","10010","10010101","bgm_M121","10010"
"バレンタイン","bgm_M189","10011101","10011","10011","10011101","bgm_M189","10011"
"王都ランドソル","bgm_M206","10012101","10012","10012","10012101","bgm_M206","10012"
"マナリア","bgm_M215","10013101","10013","10013","10013101","bgm_M215","10013"
"タルグム地方","bgm_M32","10014101","10014","10014","10014101","bgm_M32","10014"
