a9f2a5880e32e4418ca8f17f6d71df9c27bbafc719eec1f6e149854d19166716,0e4bd2643fdad64d1d365b6a1173e9dd67e5537337f1fe2fb5b8844a34d15e4e,6206562fc675def47079f240452959ca2215b0ddb8e36da5bd6a6e3e549ee75f,cb7120b5f16afcfa7af9a6ce8fe9bbd6f3cfe0780126fad81b31c9b12c27db0b,9d029d7b4f7ae7b761af23d74782b010c08346201ce3583c6b37dbd6a4dae0e0,33f3dbf1b44fe7c267fc2cc95816ff1d87c7948ad9eea76f918697d97d66121f,14f459815e54d2f4a2d1feea35132ec68c858b46cdf3b852bd793855f45ee494,b13aaf39c673db09da170e6587903cc685752a780b82c558f21feb855af4a579,7ddd51159d9f85578016cdfb7a761f6a5eef510a3b1a4b48353b706ff1ab10b2,0681d8cfc4ee47b4410dcb4082df442b733a91235a5e90b78c4b9561da71a76c,f33c3bbbcf9743269399ce852c8947b0f58841bdfdd506430d2bfab6665883b8,9445f723747483a37d24ebde6928b442f65901cb6fb682ba5dc1368159435461,8277f1600c80aa717b4534475b6a79170b93d02043f1d0cbcbde3aaf42b3df7e,f5edab140931dd143dd7b93ee77b08c1f33e5b390428981c5b1577ab8ea153ea,7504c5569b8f9884971da23381a9045a415a21c09bb2f5d62f69f0e1a26750e0
"40001","20011","0","1","0","0","2","1","0","7","2001","1","0","0","20012"
"40001","20021","0","1","0","0","2","1","0","7","2002","1","0","0","20022"
"40001","20031","0","1","0","0","2","1","0","7","2003","1","0","0","20032"
"40001","20041","0","1","0","0","2","1","0","7","2004","1","0","0","20042"
"40001","20051","0","1","0","0","2","1","0","7","2005","1","0","0","20052"
"40001","20061","0","1","0","0","2","1","0","7","2006","1","0","0","20062"
"40001","20071","0","1","0","0","2","1","0","7","2007","1","0","0","20072"
"40001","20081","0","1","0","0","2","1","0","7","2008","1","0","0","20082"
"40001","20091","0","1","0","0","2","1","0","7","2009","1","0","0","20092"
"40001","20101","0","1","0","0","2","1","0","7","2010","1","0","0","20102"
"40001","20111","0","1","0","0","2","1","0","7","2011","1","0","0","20112"
"40001","20121","0","1","0","0","2","1","0","7","2012","1","0","0","20122"
"40001","20131","0","1","0","0","2","1","0","7","2013","1","0","0","20132"
"40001","20141","0","1","0","0","2","1","0","7","2014","1","0","0","20142"
"40001","20151","0","1","0","0","2","1","0","7","2015","1","0","0","20152"
"40001","20161","0","1","0","0","2","1","0","7","2016","1","0","0","20162"
"40001","20171","0","1","0","0","2","1","0","7","2017","1","0","0","20172"
"40001","20181","0","1","0","0","2","1","0","7","2018","1","0","0","20182"
"40001","20191","0","1","0","0","2","1","0","7","2019","1","0","0","20192"
"40001","20201","0","1","0","0","2","1","0","7","2020","1","0","0","20202"
"40001","20211","0","1","0","0","2","1","0","7","2021","1","0","0","20212"
"40001","20221","0","1","0","0","2","1","0","7","2022","1","0","0","20222"
"40001","20231","0","1","0","0","2","1","0","7","2023","1","0","0","20232"
"40001","20241","0","1","0","0","2","1","0","7","2024","1","0","0","20242"
"40001","20251","0","1","0","0","2","1","0","7","2025","1","0","0","20252"
"40001","20261","0","1","0","0","2","1","0","7","2026","1","0","0","20262"
"40001","20271","0","1","0","0","2","1","0","7","2027","1","0","0","20272"
"40001","20281","0","1","0","0","2","1","0","7","2028","1","0","0","20282"
"40001","30011","0","1","40","0","1","1","0","7","3001","1","0","0","30012"
"40001","30021","0","1","40","0","1","1","0","7","3002","5","0","0","30022"
"40001","30031","0","1","40","0","1","1","0","7","3003","6","0","0","30032"
"40001","30041","0","1","-58","0","1","2","0","0","3004","6","0","0","30042"
"40001","30051","0","1","-42","0","1","1","0","-20","3005","1","0","0","30052"
"40001","30061","0","1","-42","0","1","1","0","-20","3006","5","0","0","30062"
"40001","30071","0","1","0","0","1","1","0","40","3007","1","0","0","30072"
"40001","30081","0","1","0","0","1","1","0","40","3008","5","0","0","30082"
"40001","30091","0","1","0","0","1","1","0","40","3009","6","0","0","30092"
"40001","40011","0","2","0","0","1","1","0","0","4001","1","0","0","40012"
"40001","40021","0","2","0","0","1","1","0","0","4002","5","0","0","40022"
"40001","40051","0","2","0","0","1","1","0","0","4005","1","0","0","40052"
"40001","40061","0","2","0","0","1","1","0","0","4006","5","0","0","40062"
"40001","40071","0","2","0","0","1","2","0","0","4007","6","0","0","40072"
"40004","40091","0","2","0","0","1","2","0","0","4009","6","0","0","40092"
"40004","40101","0","2","0","0","1","1","0","0","4010","1","0","0","40102"
"40004","40111","0","2","0","0","1","1","0","0","4011","5","0","0","40112"
"40001","40121","0","2","0","0","1","1","0","0","4012","6","0","0","40122"
"40004","40131","0","2","0","0","1","1","0","0","4013","1","0","0","40132"
"40004","40141","0","2","0","0","1","1","0","0","4014","5","0","0","40142"
"40001","40151","0","2","0","0","1","1","0","0","4015","6","0","0","40152"
"40004","40161","0","2","0","0","1","1","0","0","4016","1","0","0","40162"
"40004","40171","0","2","0","0","1","1","0","0","4017","5","0","0","40172"
"40001","40181","0","2","0","0","1","1","0","0","4018","6","0","0","40182"
