381ddb01c63f8fc537e44357f3392bca63b0e3e50dc6da20fa72d3104010d7e3,aea75f0a76d554f6239805501751f20fe6c7d7dd1fcc5a29790d1d748f2f65ae,27a75b06bdf219b3af9d32e26502fbaa582e5433cedfb3d70f22f793a7b7adb7,fead3d7dd1bf91bd61ed0f4bf32eb9b2ea9c69008f5f738b1550009dcc56d0bc,ec206ab031f69aac51cfcd302e02761d76f43ed7145ba7ca706dfb2810945a56
"0","1","0","0","0"
"0","2","0","0","0"
"0","3","0","0","0"
"0","4","0","0","2"
"0","5","0","0","2"
"0","6","0","0","2"
"0","7","0","0","3"
"0","8","0","0","3"
"0","9","0","0","3"
"0","10","0","0","4"
"0","11","0","0","4"
"0","12","0","0","4"
"0","13","0","0","0"
"0","14","0","0","0"
"0","15","0","0","0"
"0","16","2","0","0"
"0","17","2","0","0"
"0","18","2","0","0"
"0","19","3","0","0"
"0","20","3","0","0"
"0","21","3","0","0"
"0","22","0","0","3"
"0","23","0","0","3"
"0","24","0","0","2"
"0","25","0","0","2"
"0","26","2","0","0"
"0","27","2","0","0"
"0","28","0","3","2"
"0","29","0","3","2"
"0","30","2","0","3"
"0","31","2","0","3"
"0","32","3","0","3"
"0","33","3","0","0"
"0","34","0","4","3"
"0","35","0","0","0"
"0","36","2","0","2"
"0","37","2","0","2"
"0","38","3","0","4"
