25e9fe15af6c3eacc51a4eac3351e769241f7e963a5afd459dcfc38802c3a46d,7d159e199afcb37e980a5d15336d42d19ad426530906368e08b3df264bb8a72e,3b9dc9cc1a78c92a2fc5277fcd4a9f6f282e58de032eb3b4ba09cc97f5a10b16,83e6c8493cce9779efc77358e4061f15a78b7611ad27ca345f40845d8078237f,85493f1e6a3e21eb95a8940dc1d04c7b09d503afded479633245a813598d5608,01a082051295ae3642ba7d947bea5c1121c62ffdce517870c215f1c4e158d2ac,adea7610ef5dcc3a5bf35a135e35e3731b5a19b4e31d82403999d49746e7bc66,38e43c1e34e6db39d77b1bc3eacc23af2ed19fa13b02dc02657a53265ca0530b,c148e6c13e3c36d4e94a04df223a1ee211923069c3e6223edd90f603bb9c099c,2b1365e61e051c56f350cc7438d0236e6405081015aa7a1bb5ed7f62fd9eadc4,8709d9cb939c0f0403d2a6e0e9b640eb413868e3f265742dbfe13139d8623e72
"1","64","-175","1","1","113511","1.65","1","100","1010001","pkb_idle_normal"
"113511","","","1","3","pkb_talk_wish","0.2","","1","1010002",""
"vo_minigame_1006","0","","1","21","vo_minigame_1006_top_101","","","0","1010003",""
"113511","0","0","1","11","今日も先生と一緒に\n頑張りましょうね～","0","0","8","1010004","0"
"0","","","1","91","","","","","1010005",""
"113511","","","1","3","pkb_idle_normal","0.2","","1","1010006",""
"1","64","-175","2","1","113511","1.65","1","100","1020001","pkb_idle_normal"
"113511","","","2","3","pkb_talk_wish","0.2","","1","1020002",""
"vo_minigame_1006","0","","2","21","vo_minigame_1006_top_102","","","0","1020003",""
"113511","0","0","2","11","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0","0","6","1020004","0.5"
"6","","","2","93","","","","","1020005",""
"113511","pkb_idle_normal","1","2","3","pkb_talk_fun","0.2","","0","1020006",""
"1020004","","","2","91","","","","","1020007",""
"113511","","","2","3","pkb_idle_normal","0.2","","1","1020008",""
"1","64","-175","3","1","113511","1.65","1","100","1030001","pkb_idle_normal"
"113511","pkb_idle_normal","1","3","3","pkb_smile","0.2","0.2","0","1030002",""
"vo_minigame_1006","0","","3","21","vo_minigame_1006_top_103","","","0","1030003",""
"113511","0","0","3","11","ケガには気を付けてね\n無理は禁物ですよ～♪","0","0","6","1030004","0"
"2","","","3","93","","","","","1030005",""
"113511","","","3","3","pkb_talk_wish","0.2","","1","1030006",""
"1030004","","","3","91","","","","","1030007",""
"113511","","","3","3","pkb_idle_normal","0.2","","1","1030008",""
"3","64","-155","4","5","3","57","1","100","1040001","pkb_idle_normal_l"
"3","pkb_idle_arm_crossed_l","1","4","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1040002",""
"vo_minigame_1006","0","","4","21","vo_minigame_1006_top_601","","","0","1040003",""
"3","0","0","4","11","今日の練習も\n手加減しねえ！\nしっかりついてこい！","0","","8","1040004","0"
"0","","","4","91","","","","","1040005",""
"3","","","4","3","pkb_idle_normal_l","0.2","","1","1040006",""
"3","64","-155","5","5","3","57","1","100","1050001","pkb_idle_normal_l"
"3","pkb_idle_arm_crossed_l","1","5","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1050002",""
"vo_minigame_1006","0","","5","21","vo_minigame_1006_top_602","","","0","1050003",""
"3","0","0","5","11","おーし！\n気合いいれて\n練習すんぞー！","0","","8","1050004","0"
"2","","","5","93","","","","","1050005",""
"3","pkb_idle_normal_l","1","5","3","pkb_talk_handsup_l","0.2","0.2","0","1050006",""
"1050004","","","5","91","","","","","1050007",""
"3","","","5","3","pkb_idle_normal_l","0.2","","1","1050008",""
"3","64","-155","6","5","3","57","1","100","1060001","pkb_idle_normal_l"
"3","pkb_idle_arm_crossed_l","1","6","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1060002",""
"vo_minigame_1006","0","","6","21","vo_minigame_1006_top_603","","","0","1060003",""
"3","0","0","6","11","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","0","","8","1060004","0"
"3","","","6","93","","","","","1060005",""
"3","pkb_idle_guts_l","1","6","3","pkb_talk_guts_l","0.2","","0","1060006",""
"1060004","","","6","91","","","","","1060007",""
"3","","","6","3","pkb_idle_normal_l","0.2","","1","1060008",""
"1","64","-175","7","1","113411","1.65","1","100","1070001","pkb_idle_normal"
"113411","pkb_talk_joy1","1","7","3","pkb_talk_fun","0.2","0.2","0","1070002",""
"vo_minigame_1006","0","","7","21","vo_minigame_1006_top_201","","","0","1070003",""
"113411","0","0","7","11","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0","0","8","1070004","0"
"3.4","","","7","93","","","","","1070005",""
"113411","pkb_idle_normal","1","7","3","pkb_talk_handsup","0.2","0.2","0","1070006",""
"1070004","","","7","91","","","","","1070007",""
"113411","","","7","3","pkb_idle_normal","0.2","","1","1070008",""
"1","64","-175","8","1","113411","1.65","1","100","1080001","pkb_idle_normal"
"113411","","","8","3","pkb_talk_joy2","0.2","","1","1080002",""
"vo_minigame_1006","0","","8","21","vo_minigame_1006_top_202","","","0","1080003",""
"113411","0","0","8","11","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","0","0","8","1080004","-1"
"3.6","","","8","93","","","","","1080005",""
"113411","","","8","3","pkb_hatsune_kiran","0.2","","0","1080006",""
"1080004","","","8","91","","","","","1080007",""
"113411","","","8","3","pkb_idle_normal","0.2","","1","1080008",""
"1","64","-175","9","1","113411","1.65","1","100","1090001","pkb_idle_normal"
"113411","","","9","3","pkb_talk_joy2","0.2","","1","1090002",""
"vo_minigame_1006","0","","9","21","vo_minigame_1006_top_203","","","0","1090003",""
"113411","0","0","9","11","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0","0","6","1090004","0"
"3","","","9","93","","","","","1090005",""
"113411","pkb_idle_surprise1","1","9","3","pkb_surprise","0.2","0.2","0","1090006",""
"1","","","9","93","","","","","1090007",""
"113411","","","9","3","pkb_talk_joy3","0.2","","1","1090008",""
"1090004","","","9","91","","","","","1090009",""
"113411","","","9","3","pkb_idle_normal","0.2","","1","1090010",""
"1","64","-175","10","1","106531","1.65","1","100","1100001","pkb_idle_normal"
"106531","pkb_idle_arm_crossed","1","10","3","pkb_talk_arm_crossed","0.2","","0","1100002",""
"vo_minigame_1006","0","","10","21","vo_minigame_1006_top_301","","","0","1100003",""
"106531","0","0","10","11","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0","0","8","1100004","0"
"2.8","","","10","93","","","","","1100005",""
"106531","","","10","3","pkb_talk_joy1","0.2","","1","1100006",""
"1100004","","","10","91","","","","","1100007",""
"106531","","","10","3","pkb_idle_normal","0.2","","1","1100008",""
"1","64","-175","11","1","106531","1.65","1","100","1110001","pkb_idle_normal"
"106531","","","11","3","pkb_talk_normal","0.2","","1","1110002",""
"vo_minigame_1006","0","","11","21","vo_minigame_1006_top_302","","","0","1110003",""
"106531","0","0","11","11","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0","0","8","1110004","0"
"3.2","","","11","93","","","","","1110005",""
"106531","pkb_idle_arm_crossed","1","11","3","pkb_talk_arm_crossed","0.2","0.2","0","1110006",""
"1110004","","","11","91","","","","","1110007",""
"106531","","","11","3","pkb_idle_normal","0.2","","1","1110008",""
"1","64","-175","12","1","106531","1.65","1","100","1120001","pkb_idle_normal"
"106531","pkb_idle_arm_crossed","1","12","3","pkb_talk_arm_crossed","0.2","0.2","0","1120002",""
"vo_minigame_1006","0","","12","21","vo_minigame_1006_top_303","","","0","1120003",""
"106531","0","0","12","11","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0","0","8","1120004","0.5"
"3.2","","","12","93","","","","","1120005",""
"106531","pkb_idle_doya","1","12","3","pkb_talk_doya","0.2","","0","1120006",""
"1120004","","","12","91","","","","","1120007",""
"106531","","","12","3","pkb_idle_normal","0.2","","1","1120008",""
"1","64","-175","13","1","102311","1.65","1","100","1130001","pkb_idle_normal"
"102311","pkb_talk_joy1","1","13","3","pkb_talk_fun","0.2","0.4","0","1130002",""
"vo_minigame_1006","0","","13","21","vo_minigame_1006_top_401","","","0","1130003",""
"102311","0","0","13","11","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0","0","8","1130004","0"
"1130004","","","13","91","","","","","1130005",""
"102311","","","13","3","pkb_idle_normal","0.2","","1","1130006",""
