753fdca7974650af8016f06f37ea6a4bb253578bb2ceef94fea05941d4173d59,ddda5f310eedc94fbb60a6369a44d7a96d0f25c08dd0147ecdadfdd65ef9730a,96c76555cf1e9820a173d80ecd7250e283ac573a5950eb2f99f6fb0ee0caeeb3,545a7e5882f1f56c05bc5fe21b101dee1aa30457cbe4e6593509c60b2f48947b,dc52d077ea6e1dd188e3db68d876e7033a716aee4e72318bd9b34cdef70ba855,73575baa6794373e0904e06f73a169c758a72ea9e7c6a61ae992381ea3d2e6cb,0a1dc00a4ea362600e494cd846333e265ecc81c3f739d6547fd405e1052d0986
"1000101","vo_minigame_1004","2","vo_minigame_1004_top_1_000","10001","1","ふっふっふ、これでカヤぴぃとボスを見返してやるです！"
"1000201","vo_minigame_1004","2","vo_minigame_1004_top_1_003","10002","1","しりとりでの戦い、お兄さんにも手伝ってもらうです"
"1000301","vo_minigame_1004","1","vo_minigame_1004_top_1_004","10003","2","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！"
"1000401","vo_minigame_1004","1","vo_minigame_1004_top_1_005","10004","2","石板でしりとりか……イノリのヤツおもしろいこと考えるな"
"1000501","vo_minigame_1004","1","vo_minigame_1004_top_1_006","10005","2","しりとりだろうがなんだろうが返り討ちにしてやるぜ"
"1000601","vo_minigame_1004","2","vo_minigame_1004_top_1_007","10006","3","ぐもも……（オデ、ハラヘッタ）"
"1000701","vo_minigame_1004","2","vo_minigame_1004_top_1_008","10007","3","ぐもももも（シリトリ タノシイ）"
"1000801","vo_minigame_1004","2","vo_minigame_1004_top_1_009","10008","3","ぐもももも！（イノリ イイヤツ）"
"1000901","vo_minigame_1004","2","vo_minigame_1004_top_2_010","10009","1","カヤぴぃ相手でも手加減しないです"
"1000902","vo_minigame_1004","1","vo_minigame_1004_top_2_011","10009","2","上等だ！やるからには本気で来いよな"
"1001001","vo_minigame_1004","2","vo_minigame_1004_top_2_012","10010","1","カヤぴぃ、謝るなら今のうちです"
"1001002","vo_minigame_1004","1","vo_minigame_1004_top_2_013","10010","2","イノリこそ泣きを入れるなら今のうちだぜ？"
"1001101","vo_minigame_1004","2","vo_minigame_1004_top_2_014","10011","1","カヤぴぃ、これからは知性の時代ですよ？"
"1001102","vo_minigame_1004","1","vo_minigame_1004_top_2_015","10011","2","待て！オレがバカみたいにいうな！！"
"1001201","vo_minigame_1004","1","vo_minigame_1004_top_2_016","10012","1","さあ、あたしたちの力を見せてやるです"
"1001202","vo_minigame_1004","2","vo_minigame_1004_top_2_017","10012","3","ぐも！（マカセロ！）"
"1001301","vo_minigame_1004","1","vo_minigame_1004_top_2_018","10013","1","よしよし、いいですようまくできたらチョコをあげるです！"
"1001302","vo_minigame_1004","2","vo_minigame_1004_top_2_019","10013","3","ぐも！（オデ チョコスキ）"
"1001401","vo_minigame_1004","1","vo_minigame_1004_top_2_023","10014","2","なあイノリ……もしかして当初の目的見失ってないよな？"
"1001402","vo_minigame_1004","2","vo_minigame_1004_top_2_024","10014","1","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです"
"1001501","vo_minigame_1004","1","vo_minigame_1004_top_2_025","10015","2","いくらイノリ相手でも勝ちを譲る気はないからな！"
"1001502","vo_minigame_1004","2","vo_minigame_1004_top_2_026","10015","1","望むところです手加減はなしですよ"
"1001601","vo_minigame_1004","1","vo_minigame_1004_top_2_027","10016","2","へっ、なかなかやるじゃねえか"
"1001602","vo_minigame_1004","2","vo_minigame_1004_top_2_028","10016","1","カヤぴぃも思ったよりやるですね！"
"1001701","vo_minigame_1004","1","vo_minigame_1004_top_2_029","10017","2","お～い、ドラゴンもどき？"
"1001702","vo_minigame_1004","2","vo_minigame_1004_top_2_030","10017","3","ぐもっ！？（ヒッ！）"
"1001801","vo_minigame_1004","1","vo_minigame_1004_top_2_031","10018","2","いやあ、あんときは悪かったなはっはっは"
"1001802","vo_minigame_1004","2","vo_minigame_1004_top_2_032","10018","3","ぐももも……（かやピィ コワカッタ）"
"1001901","vo_minigame_1004","1","vo_minigame_1004_top_2_033","10019","2","お前ってさ……ほんとマヌケな顔してるよな"
"1001902","vo_minigame_1004","2","vo_minigame_1004_top_2_034","10019","3","ぐも……（オマエガ イウカ）"
"1002001","vo_minigame_1004","2","vo_minigame_1004_top_2_044","10020","3","ぐも……（ハラヘッタ チョコホシイ）"
"1002002","vo_minigame_1004","1","vo_minigame_1004_top_2_045","10020","2","なんだ？眠いのか？"
"1002101","vo_minigame_1004","2","vo_minigame_1004_top_2_046","10021","3","ぐもも（コイツ……キケン）"
"1002102","vo_minigame_1004","1","vo_minigame_1004_top_2_047","10021","2","うん？　なんだ？オレの舎弟にでもなりたいのか？"
"1002201","vo_minigame_1004","2","vo_minigame_1004_top_2_048","10022","3","ぐも…（かやピィノウキン）"
