2c3b4d85405ce65d3a0946e895e1b95eeba97f1aed88d4e4276ea82a8b4d6921,50194e785ae48ef7025cfbfaab9eb17747747f514b99c7e78da774a38555070c,17f8622b0f2a2f06880f3b3ac06242516f7eb5ab42a148a6a0b860c14e5bf08a,8700984bb23d9dfb86301845209c9cfdc53ce3fb4a6ac13647a91a4bcedc0c6a,fdaf2d8cf2b64c001dc96dfefab3399085f97566984de5c35b947fdfb644f158,8919c67038a294518cb540b91350f214e8f003aa92a45f76c3f776bef6b6dc4e,ae2599513cb4c91a60c4ec7e35fe5f8f43209a2f21bc43e201f93708c617dc31,05ae4597b24bf4f2bb76a5ecb46766c027ea04f9e3eaacb6af4070654a16193b,2e8b5e6a62d19cd440be1d0e74f56c9f376ad9c83af323f2183c153febce89c4
"23001","","1","1","2","2","","1","21600"
"23001","","2","1","2","3","","1","19800"
"23001","","3","1","2","3","","1","18000"
"23001","","4","1","2","3","","1","16200"
"23001","","5","1","2","4","","1","14400"
"23001","","6","1","2","4","","1","12960"
"23001","","7","1","2","5","","1","11520"
"23001","","8","1","2","6","","1","10080"
"23001","","9","1","2","7","","1","8640"
"23001","","10","1","2","8","","1","7200"
"23001","","11","1","2","10","","1","5760"
"23001","","12","1","2","12","","1","5040"
"23001","","13","1","2","14","","1","4320"
"23001","","14","1","2","16","","2","7200"
"23001","","15","1","2","18","","2","5400"
"23001","","16","1","2","18","","2","5040"
"23001","","17","1","2","18","","2","4800"
"23001","","18","1","2","20","","2","4500"
"23001","","19","1","2","20","","2","4320"
"23001","","20","1","2","24","","3","6000"
"23001","","21","1","2","48","","3","5700"
"23001","","22","1","2","48","","3","5400"
"23001","","23","1","2","51","","3","5220"
"23001","","24","1","2","54","","3","4980"
"23001","","25","1","2","54","","3","4800"
"23001","","26","1","2","60","","3","4500"
"23001","","27","1","2","60","","3","4320"
"23001","","28","1","2","63","","3","4200"
"23001","","29","1","2","64","","4","5400"
"23001","","30","1","2","68","","4","5220"
"23001","","31","1","2","72","","4","5040"
"23001","","32","1","2","72","","4","4920"
"23001","","33","1","2","72","","4","4800"
"23001","","34","1","2","76","","4","4680"
"23001","","35","1","2","80","","4","4500"
"23001","","36","1","2","80","","4","4320"
"93001","","1","2","6","80","","20","21600"
"93001","","2","2","6","96","","24","21600"
"93001","","3","2","6","112","","28","21600"
"93001","","4","2","6","120","","30","21600"
"93001","","5","2","6","128","","32","21600"
"93001","","6","2","6","136","","34","21600"
"93001","","7","2","6","144","","36","21600"
"93001","","8","2","6","152","","38","21600"
"93001","","9","2","6","160","","40","21600"
"93001","","10","2","6","168","","42","21600"
"93001","","11","2","6","176","","44","21600"
"93001","","12","2","6","184","","46","21600"
"93001","","13","2","6","192","","48","21600"
"93001","","14","2","6","200","","50","21600"
"93001","","15","2","6","208","","52","21600"
"93001","","16","2","6","216","","54","21600"
"93001","","17","2","6","224","","56","21600"
"93001","","18","2","6","232","","58","21600"
"93001","","19","2","6","240","","60","21600"
"93001","","20","2","6","248","","62","21600"
"93001","","21","2","6","256","","64","21600"
"93001","","22","2","6","264","","66","21600"
"93001","","23","2","6","272","","68","21600"
"93001","","24","2","6","280","","70","21600"
"93001","","25","2","6","288","","72","21600"
"93001","","26","2","6","296","","74","21600"
"93001","","27","2","6","304","","76","21600"
"93001","","28","2","6","312","","78","21600"
"93001","","29","2","6","320","","80","21600"
"93001","","30","2","6","328","","82","21600"
"93001","","31","2","6","336","","84","21600"
"93001","","32","2","6","340","","85","21600"
"93001","","33","2","6","344","","86","21600"
"93001","","34","2","6","348","","87","21600"
"93001","","35","2","6","352","","88","21600"
"93001","","36","2","6","356","","89","21600"
"20001","","1","3","2","3","","1","14400"
"20001","","2","3","2","5","","1","9600"
"20001","","3","3","2","7","","1","7200"
"20001","","4","3","2","10","","1","5400"
"20001","","5","3","2","15","","1","3600"
"20002","","6","3","2","6","","1","9600"
"20002","","7","3","2","8","","1","7200"
"20002","","8","3","2","12","","1","4800"
"20002","","9","3","2","16","","1","3600"
"20002","","10","3","2","20","","1","2700"
"20003","","11","3","2","6","","1","10800"
"20003","","12","3","2","8","","1","9000"
"20003","","13","3","2","12","","1","7200"
"20003","","14","3","2","16","","1","5400"
"20003","","15","3","2","20","","1","3600"
"20003","","16","3","2","30","","1","2880"
"20004","","17","3","2","7","","1","12600"
"20004","","18","3","2","8","","1","11400"
"20004","","19","3","2","9","","1","10200"
"20004","","20","3","2","10","","1","9300"
"20004","","21","3","2","10","","1","8700"
"20004","","22","3","2","13","","1","6600"
"20004","","23","3","2","14","","1","6300"
"20004","","24","3","2","15","","1","6000"
"20004","","25","3","2","15","","1","5700"
"20004","","26","3","2","16","","1","5400"
"20004","","27","3","2","17","","1","5100"
"20004","","28","3","2","18","","1","4860"
"20004","","29","3","2","19","","1","4620"
"20004","","30","3","2","20","","1","4440"
"20004","","31","3","2","21","","1","4260"
"20004","","32","3","2","22","","1","4080"
"20004","","33","3","2","22","","1","3960"
"20004","","34","3","2","23","","1","3840"
"20004","","35","3","2","24","","1","3720"
"20004","","36","3","2","24","","1","3600"
"94002","","1","4","12","12000","","3000","21600"
"94002","","2","4","12","18000","","4500","21600"
"94002","","3","4","12","24000","","6000","21600"
"94002","","4","4","12","30000","","7500","21600"
"94002","","5","4","12","42000","","10500","21600"
"94002","","6","4","12","54000","","13500","21600"
"94002","","7","4","12","66000","","16500","21600"
"94002","","8","4","12","84000","","21000","21600"
"94002","","9","4","12","102000","","25500","21600"
"94002","","10","4","12","120000","","30000","21600"
"94002","","11","4","12","144000","","36000","21600"
"94002","","12","4","12","168000","","42000","21600"
"94002","","13","4","12","192000","","48000","21600"
"94002","","14","4","12","222000","","55500","21600"
"94002","","15","4","12","252000","","63000","21600"
"94002","","16","4","12","282000","","70500","21600"
"94002","","17","4","12","318000","","79500","21600"
"94002","","18","4","12","354000","","88500","21600"
"94002","","19","4","12","390000","","97500","21600"
"94002","","20","4","12","432000","","108000","21600"
