3cb5ad007593c2fc3e71e06f166e92b6b01bdcdc70e4619d3669176520d4a904,5755b38f4502fb32752efc99ac24f7bc9b4eb038c4c58d1e3931be75c98c2fa8,ad157494e7154a3c3e0e469f5df95361dbe3d974a1b0f6c0c335912a8928fce5,75b2c3840ba7b2728716061d15c84c77c9888e05512e8a46fdf7df369c008d77,1c1bafaa9db45026c7767fb26d6671037cad3e8663d3c03b843d4e1c669733f8
"1001","1","8000000","12","94002"
"1001","2","40","2","90005"
"1002","3","8000000","12","94002"
"1002","4","50","2","90005"
"1003","5","8000000","12","94002"
"1003","6","60","2","90005"
"1004","7","8000000","12","94002"
"1004","8","70","2","90005"
"1005","9","150","8","91002"
"1005","10","8000000","12","94002"
"1005","11","80","2","90005"
"1006","12","8000000","12","94002"
"1006","13","90","2","90005"
"1007","14","300","8","91002"
"1007","15","8000000","12","94002"
"1007","16","100","2","90005"
"2001","17","8000000","12","94002"
"2002","18","8000000","12","94002"
"2003","19","8000000","12","94002"
"2004","20","8000000","12","94002"
"2005","21","8000000","12","94002"
"2006","22","8000000","12","94002"
"2007","23","8000000","12","94002"
"2008","24","8000000","12","94002"
"2009","25","8000000","12","94002"
"2010","26","8000000","12","94002"
"2011","27","8000000","12","94002"
"2012","28","8000000","12","94002"
"2013","29","8000000","12","94002"
"2014","30","8000000","12","94002"
"2015","31","8000000","12","94002"
"7001","32","8000000","12","94002"
"7001","33","5","2","90005"
"7002","34","8000000","12","94002"
"7002","35","5","2","90005"
"7003","36","8000000","12","94002"
"7003","37","5","2","90005"
"7004","38","8000000","12","94002"
"7004","39","10","2","90005"
"7005","40","8000000","12","94002"
"7005","41","10","2","90005"
"7006","42","8000000","12","94002"
"7006","43","10","2","90005"
"7007","44","8000000","12","94002"
"7007","45","15","2","90005"
"7008","46","8000000","12","94002"
"7008","47","15","2","90005"
"7009","48","8000000","12","94002"
"7009","49","15","2","90005"
"7010","50","8000000","12","94002"
"7010","51","20","2","90005"
"7011","52","8000000","12","94002"
"7011","53","20","2","90005"
"7012","54","8000000","12","94002"
"7012","55","20","2","90005"
"7013","56","8000000","12","94002"
"7013","57","25","2","90005"
"7014","58","8000000","12","94002"
"7014","59","25","2","90005"
"7015","60","8000000","12","94002"
"7015","61","25","2","90005"
"7016","62","8000000","12","94002"
"7016","63","30","2","90005"
"7017","64","8000000","12","94002"
"7017","65","30","2","90005"
"7018","66","8000000","12","94002"
"7018","67","30","2","90005"
"7019","68","8000000","12","94002"
"7019","69","35","2","90005"
"7020","70","8000000","12","94002"
"7020","71","35","2","90005"
"7021","72","8000000","12","94002"
"7021","73","35","2","90005"
"7022","74","8000000","12","94002"
"7022","75","40","2","90005"
"8001","76","8000000","12","94002"
"8001","77","1000","2","90008"
"8002","78","8000000","12","94002"
"8002","79","1250","2","90008"
"8003","80","8000000","12","94002"
"8003","81","1500","2","90008"
"8004","82","8000000","12","94002"
"8004","83","1750","2","90008"
"8005","84","8000000","12","94002"
"8005","85","2000","2","90008"
"8006","86","8000000","12","94002"
"8006","87","2250","2","90008"
"8007","88","8000000","12","94002"
"8007","89","2500","2","90008"
"9001","90","50","2","80001"
"9002","91","50","2","80002"
"9003","92","50","2","80003"
"9004","93","50","2","80004"
"9005","94","50","2","80005"
