5f105dc53bf6f9decfdad4daa2935f04d0aa3e4084dbf8e53dfba22dc843d76c,47622bc22232cc32a00afc5daeed02e2f4a93d3ec7b534a4239d681d86e6d0f1
"40","1"
"40","2"
"40","3"
"60","4"
"60","5"
"60","6"
"100","7"
"100","8"
"100","9"
"100","10"
"100","11"
"100","12"
"100","13"
"100","14"
"150","15"
"150","16"
"150","17"
"150","18"
"150","19"
"150","20"
"150","21"
"150","22"
"180","23"
"180","24"
"180","25"
"180","26"
"180","27"
"180","28"
"180","29"
"180","30"
"200","31"
"200","32"
"200","33"
"200","34"
"200","35"
"250","36"
"250","37"
"250","38"
"250","39"
"250","40"
