48e689979769e3608e5961b9cbff1894fbc73ac2cc2fa056b5f31cbe3fa4d05c,95d9f3a192b4ad00144d0745fb906b9f9d6bf9bcbcc66ee75450b51c80401d8a,e3bd3b3fca35cd8338c42f9cfe759060c5be10f583f7d8ff2cac826cc0ac7300,f15e476e274501efb5b3dc6c6c365d1762e32be56e6ccb72ce662c1a6aef3b4e,44f9a4c894c4d11e5a078a112dbc60e2d7062cb4244ba5177f4b6137d9c4a9d4,20839c4df751e9e18d1f333c7079dd490770bca9486e2255fd1363366012dd94,493c145d1ceaa968b4645d9327b8e4b5b826d3e8872069ac8fcf62a6ee8ba378,9a842339206e5ab95d3bf241b98718ce110c525590d7f10b2f74cacfdd4ebbbb,f72326e7a59254a1e2563e1e4badb7a581008a4e3baedffe0a5c5ca4bf88eeb7,20cf85b0d8378b10a94970ccd8815d0a433a51014f4edd6c8d3afe82f6a68ce2,d8b32508ea3b8c95ae9f709660b6c1397f433932d5186d96bbef6dc81a854f7c,b429fdfaf4ec7d62458b282f008d30d4bcbf2a1be03427ef4e6b7fed4530dfdb
"1","0","0","0","0","4","1007001","0","0","1","0.8","100700101"
"2","0","vo_svd_0101","0","0","2","1007001","0","vo_svd","0","0","100700102"
"3","1.684","0","1","0","1","1007001","300","0","0","0","100700103"
"4","0","0","0","0","4","1007001","0","0","1","1.949","100700104"
"5","1.363","0","2","15","1","1007001","327","0","0","0","100700105"
"6","0","0","0","0","4","1007001","0","0","1","3.027","100700106"
"7","0","vo_svd_0102","0","0","2","1007001","0","vo_svd","0","0","100700107"
"8","1.69","0","3","0","1","1007001","441","0","0","0","100700108"
"9","0","0","0","0","4","1007001","0","0","1","1.7","100700109"
"10","1.446","0","4","0","1","1007001","221","0","0","0","100700110"
"11","0","0","0","0","4","1007001","0","0","1","1.722","100700111"
"12","1.245","0","4","221","1","1007001","478","0","0","0","100700112"
"13","0","0","0","0","4","1007001","0","0","1","0.417","100700113"
"14","0.864","0","5","0","1","1007001","208","0","0","0","100700114"
"15","0","0","0","0","4","1007001","0","0","1","2.482","100700115"
"16","0","vo_svd_0103","0","0","2","1007001","0","vo_svd","0","0","100700116"
"17","2.352","0","6","0","1","1007001","420","0","0","0","100700117"
"18","0","0","0","0","4","1007001","0","0","1","1.694","100700118"
"19","0.953","0","7","0","1","1007001","268","0","0","0","100700119"
"20","0","0","0","0","4","1007001","0","0","1","2.5","100700120"
"1","0","0","0","0","4","1007002","0","0","1","0.8","100700201"
"2","0","vo_svd_0201","0","0","2","1007002","0","vo_svd","0","0","100700202"
"3","0.865","0","1","0","1","1007002","152","0","0","0","100700203"
"4","0","0","0","0","4","1007002","0","0","1","1.516","100700204"
"5","1.013","0","1","152","1","1007002","314","0","0","0","100700205"
"6","0","0","0","0","4","1007002","0","0","1","0.973","100700206"
"7","0.755","0","2","0","1","1007002","158","0","0","0","100700207"
"8","0","0","0","0","4","1007002","0","0","1","2.018","100700208"
"9","0","vo_svd_0202","0","0","2","1007002","0","vo_svd","0","0","100700209"
"10","0.541","0","3","0","1","1007002","132","0","0","0","100700210"
"11","0","0","0","0","4","1007002","0","0","1","0.517","100700211"
"12","0.992","0","3","132","1","1007002","299","0","0","0","100700212"
"13","0","0","0","0","4","1007002","0","0","1","0.792","100700213"
"14","0.751","0","4","0","1","1007002","132","0","0","0","100700214"
"15","0","0","0","0","4","1007002","0","0","1","1.887","100700215"
"16","0","vo_svd_0203","0","0","2","1007002","0","vo_svd","0","0","100700216"
"17","1.482","0","4","132","1","1007002","441","0","0","0","100700217"
"18","0","0","0","0","4","1007002","0","0","1","0.858","100700218"
"19","1.255","0","5","0","1","1007002","255","0","0","0","100700219"
"20","0","0","0","0","4","1007002","0","0","1","2.752","100700220"
"21","0","vo_svd_0204","0","0","2","1007002","0","vo_svd","0","0","100700221"
"22","1.827","0","6","0","1","1007002","336","0","0","0","100700222"
"23","0","0","0","0","4","1007002","0","0","1","1.654","100700223"
"24","1.773","0","7","0","1","1007002","364","0","0","0","100700224"
"25","0","0","0","0","4","1007002","0","0","1","2.5","100700225"
"1","0","0","0","0","4","1007003","0","0","1","0.8","100700301"
"2","0","vo_svd_0301","0","0","2","1007003","0","vo_svd","0","0","100700302"
"3","1.205","0","1","0","1","1007003","185","0","0","0","100700303"
"4","0","0","0","0","4","1007003","0","0","1","1.739","100700304"
"5","1.278","0","1","185","1","1007003","355","0","0","0","100700305"
"6","0","0","0","0","4","1007003","0","0","1","0.687","100700306"
"7","0.735","0","2","0","1","1007003","132","0","0","0","100700307"
"8","0","0","0","0","4","1007003","0","0","1","2.357","100700308"
"9","0","vo_svd_0302","0","0","2","1007003","0","vo_svd","0","0","100700309"
"10","1.542","0","2","132","1","1007003","364","0","0","0","100700310"
"11","0","0","0","0","4","1007003","0","0","1","1.9","100700311"
"12","1.82","0","3","0","1","1007003","336","0","0","0","100700312"
"13","0","0","0","0","4","1007003","0","0","1","1.754","100700313"
"14","1.133","0","4","0","1","1007003","255","0","0","0","100700314"
"15","0","0","0","0","4","1007003","0","0","1","2.697","100700315"
"16","0","vo_svd_0303","0","0","2","1007003","0","vo_svd","0","0","100700316"
"17","1.827","0","5","0","1","1007003","336","0","0","0","100700317"
"18","0","0","0","0","4","1007003","0","0","1","2.182","100700318"
"19","1.186","0","6","0","1","1007003","275","0","0","0","100700319"
"20","0","0","0","0","4","1007003","0","0","1","2.842","100700320"
"21","0","vo_svd_0304","0","0","2","1007003","0","vo_svd","0","0","100700321"
"22","2.067","0","7","0","1","1007003","336","0","0","0","100700322"
"23","0","0","0","0","4","1007003","0","0","1","1.844","100700323"
"24","2.068","0","8","0","1","1007003","364","0","0","0","100700324"
"25","0","0","0","0","4","1007003","0","0","1","2.5","100700325"
"1","0","0","0","0","4","1007004","0","0","1","0.8","100700401"
"2","0","vo_svd_0401","0","0","2","1007004","0","vo_svd","0","0","100700402"
"3","1.105","0","1","0","1","1007004","201","0","0","0","100700403"
"4","0","0","0","0","4","1007004","0","0","1","1.504","100700404"
"5","0.62","0","1","201","1","1007004","313","0","0","0","100700405"
"6","0","0","0","0","4","1007004","0","0","1","0.554","100700406"
"7","0.728","0","2","0","1","1007004","165","0","0","0","100700407"
"8","0","0","0","0","4","1007004","0","0","1","2.154","100700408"
"9","0","vo_svd_0402","0","0","2","1007004","0","vo_svd","0","0","100700409"
"10","1.051","0","2","165","1","1007004","334","0","0","0","100700410"
"11","0","0","0","0","4","1007004","0","0","1","0.915","100700411"
"12","0.927","0","3","0","1","1007004","161","0","0","0","100700412"
"13","0","0","0","0","4","1007004","0","0","1","1.701","100700413"
"14","0.905","0","3","161","1","1007004","311","0","0","0","100700414"
"15","0","0","0","0","4","1007004","0","0","1","0.816","100700415"
"16","1.249","0","4","0","1","1007004","329","0","0","0","100700416"
"17","0","0","0","0","4","1007004","0","0","1","1.252","100700417"
"18","0.987","0","5","0","1","1007004","268","0","0","0","100700418"
"19","0","0","0","0","4","1007004","0","0","1","2.864","100700419"
"20","0","vo_svd_0403","0","0","2","1007004","0","vo_svd","0","0","100700420"
"21","2.056","0","6","0","1","1007004","336","0","0","0","100700421"
"22","0","0","0","0","4","1007004","0","0","1","1.844","100700422"
"23","1.963","0","7","0","1","1007004","364","0","0","0","100700423"
"24","0","0","0","0","4","1007004","0","0","1","2.5","100700424"
"1","0","0","0","0","4","1007005","0","0","1","0.8","100700501"
"2","0","vo_svd_0501","0","0","2","1007005","0","vo_svd","0","0","100700502"
"3","1.741","0","1","0","1","1007005","329","0","0","0","100700503"
"4","0","0","0","0","4","1007005","0","0","1","2.972","100700504"
"5","0","vo_svd_0502","0","0","2","1007005","0","vo_svd","0","0","100700505"
"6","1.539","0","2","0","1","1007005","320","0","0","0","100700506"
"7","0","0","0","0","4","1007005","0","0","1","1.258","100700507"
"8","0.762","0","3","0","1","1007005","175","0","0","0","100700508"
"9","0","0","0","0","4","1007005","0","0","1","2.583","100700509"
"10","0","vo_svd_0503","0","0","2","1007005","0","vo_svd","0","0","100700510"
"11","2.131","0","4","0","1","1007005","336","0","0","0","100700511"
"12","0","0","0","0","4","1007005","0","0","1","2.924","100700512"
"13","1.868","0","5","0","1","1007005","329","0","0","0","100700513"
"14","0","0","0","0","4","1007005","0","0","1","3.266","100700514"
"15","0","vo_svd_0504","0","0","2","1007005","0","vo_svd","0","0","100700515"
"16","1.269","0","6","0","1","1007005","275","0","0","0","100700516"
"17","0","0","0","0","4","1007005","0","0","1","2.653","100700517"
"18","0","vo_svd_0505","0","0","2","1007005","0","vo_svd","0","0","100700518"
"19","2.056","0","7","0","1","1007005","336","0","0","0","100700519"
"20","0","0","0","0","4","1007005","0","0","1","1.844","100700520"
"21","1.965","0","8","0","1","1007005","364","0","0","0","100700521"
"22","0","0","0","0","4","1007005","0","0","1","2.5","100700522"
"1","0","0","0","0","4","1007006","0","0","1","0.8","100700601"
"2","0","vo_svd_0601","0","0","2","1007006","0","vo_svd","0","0","100700602"
"3","1.875","0","1","0","1","1007006","336","0","0","0","100700603"
"4","0","0","0","0","4","1007006","0","0","1","3.353","100700604"
"5","0","vo_svd_0602","0","0","2","1007006","0","vo_svd","0","0","100700605"
"6","1.734","0","2","0","1","1007006","336","0","0","0","100700606"
"7","0","0","0","0","4","1007006","0","0","1","1.665","100700607"
"8","1.035","0","3","0","1","1007006","219","0","0","0","100700608"
"9","0","0","0","0","4","1007006","0","0","1","1.893","100700609"
"10","0.821","0","3","248","1","1007006","354","0","0","0","100700610"
"11","0","0","0","0","4","1007006","0","0","1","0.664","100700611"
"12","1.361","0","4","0","1","1007006","275","0","0","0","100700612"
"13","0","0","0","0","4","1007006","0","0","1","1.108","100700613"
"14","1.269","0","5","0","1","1007006","259","0","0","0","100700614"
"15","0","0","0","0","4","1007006","0","0","1","3.112","100700615"
"16","0","vo_svd_0603","0","0","2","1007006","0","vo_svd","0","0","100700616"
"17","2.056","0","6","0","1","1007006","336","0","0","0","100700617"
"18","0","0","0","0","4","1007006","0","0","1","1.844","100700618"
"19","1.965","0","7","0","1","1007006","364","0","0","0","100700619"
"20","0","0","0","0","4","1007006","0","0","1","2.5","100700620"
"1","0","0","0","0","4","1007007","0","0","1","0.8","100700701"
"2","0","vo_svd_0701","0","0","2","1007007","0","vo_svd","0","0","100700702"
"3","0.926","0","1","0","1","1007007","132","0","0","0","100700703"
"4","0","0","0","0","4","1007007","0","0","1","1.549","100700704"
"5","1.457","0","1","132","1","1007007","345","0","0","0","100700705"
"6","0","0","0","0","4","1007007","0","0","1","1.228","100700706"
"7","0.762","0","2","0","1","1007007","168","0","0","0","100700707"
"8","0","0","0","0","4","1007007","0","0","1","2.221","100700708"
"9","0","vo_svd_0702","0","0","2","1007007","0","vo_svd","0","0","100700709"
"10","0.969","0","2","168","1","1007007","347","0","0","0","100700710"
"11","0","0","0","0","4","1007007","0","0","1","0.747","100700711"
"12","2.085","0","3","0","1","1007007","336","0","0","0","100700712"
"13","0","0","0","0","4","1007007","0","0","1","2.932","100700713"
"14","1.436","0","4","0","1","1007007","275","0","0","0","100700714"
"15","0","0","0","0","4","1007007","0","0","1","2.164","100700715"
"16","1.928","0","5","0","1","1007007","356","0","0","0","100700716"
"17","0","0","0","0","4","1007007","0","0","1","1.673","100700717"
"18","1.269","0","6","0","1","1007007","259","0","0","0","100700718"
"19","0","0","0","0","4","1007007","0","0","1","3.156","100700719"
"20","0","vo_svd_0703","0","0","2","1007007","0","vo_svd","0","0","100700720"
"21","2.077","0","7","0","1","1007007","336","0","0","0","100700721"
"22","0","0","0","0","4","1007007","0","0","1","1.841","100700722"
"23","1.965","0","8","0","1","1007007","364","0","0","0","100700723"
"24","0","0","0","0","4","1007007","0","0","0","2.5","100700724"
"1","0","0","0","0","4","1007008","0","0","1","0.8","100700801"
"2","0","vo_svd_0801","0","0","2","1007008","0","vo_svd","0","0","100700802"
"3","2.027","0","1","0","1","1007008","356","0","0","0","100700803"
"4","0","0","0","0","4","1007008","0","0","1","3.309","100700804"
"5","0","vo_svd_0802","0","0","2","1007008","0","vo_svd","0","0","100700805"
"6","1.879","0","2","0","1","1007008","336","0","0","0","100700806"
