bb31417c67584f2d58c8594bf5bc4f69186249c6edf09d54414464ecf6ed5b69,2dc95aafe2fb6eb55db64c4f47f04f61160a71dcf43b2b86c1f9a32cbb9d3210,b8fd98cda5a774b22e9bd5ed3e26a19c5cfcad0ce63cce2b15902a2ef40dc37b,6a0573320cc2e80bd20e55ba635282c3c7ef716802b8d67f2d8390589a216c0f
"1","【加速】4以上：\n重複可能の行動速度アップ（【加速】数×5％）\n","4","10011"
"1","【加速】9以上：\nユニオンバースト発動時に【烈風】＋１（最大20）\nＴＰ上昇アップ（【烈風】数×2）\n","9","10012"
"1","【加速】15以上：\n【烈風】20：【烈風】をすべて消費して\nＴＰ1000回復\nダメージブースト＋10％\n","15","10013"
"2","【弱体】4以上：\n敵への継続ダメージアップ（【弱体】数×50％）\n","4","10021"
"2","【弱体】9以上：\n敵にデバフを付与するたびに敵に【衰弱】＋１\n（最大66）\n敵の物理/魔法被ダメアップ（【衰弱】数×2％）\n","9","10022"
"2","【弱体】15以上：\n敵の【衰弱】66：１秒ごとに最大ＨＰの5％の割合\nダメージ（最大100万）\n","15","10023"
"3","【会心】4以上：\n物理/魔法クリダメアップ（【会心】数×5％）\n物理/魔法クリティカルアップ（【会心】数×200）\n","4","10031"
"3","【会心】9以上：\nクリティカルするたびに敵に【看破】＋１（最大99）\n敵の物理/魔法被クリダメアップ（【看破】数×1％）\n","9","10032"
"3","【会心】15以上：\n敵の【看破】99：攻撃時追加ダメージ＋30％\n","15","10033"
"4","【強化】4以上：\nダメージブーストアップ（【強化】数×2％）\n","4","10041"
"4","【強化】9以上：\n味方からバフを受けるたびに【高揚】＋１（最大99）\n物理/魔法攻撃力アップ（【高揚】数×1％）\n","9","10042"
"4","【強化】15以上：\n【高揚】99：１秒ごとに物理/魔法攻撃力ダウンと\n物理/魔法防御力ダウン効果解除\n物理/魔法攻撃力アップ（現在値＋10％）\n","15","10043"
"5","【守備】4以上：\n全ダメージカット（【守備】数×2％）\n","4","10051"
"5","【守備】9以上：\n敵から攻撃かデバフを受けるたびに【闘志】＋１\n（最大15）\n与ダメアップ（【闘志】数×5％）\nＨＰ吸収アップ（【闘志】数×5）\n","9","10052"
"5","【守備】15以上：\n【闘志】15：【闘志】をすべて消費して\n与ダメ＋50％\nダメージブースト＋25％\n","15","10053"
