e3fe1f4ee2f1c5942b9c41e98f76d4b8a35ac9eb1c0349d4bf6f6339ee847c4c,0c7ccbc6c0c51ebeab5464ef87cae17b257c08c8066a4773a1de7a6a0d8ed19e,272038e9bd6d96081628dc98a91fa57edd396008a8fa010068d9c75b2841931a,14a3068402db9fd72c244bb5eb85946b1b8eee9c2f24dd7153e75b1dc4cde55d,5b1e6997ce936a0f2b3a3b6afeac2ebd5bd23342127c6d42ffdbb7a7e611514f,a3e6fff519c4b25eb6593144df6cbae9895b47ef0b6b52e54d85a0ef3f76668d,3c9edf54a05085f59cd1b3aa526391e8e35b2f104c3a9c2671cd603f0179f3e9,cd51636ed28f34abe551be3f6e3d87e9b52f16eb6e4bb0fd8a3f203060d698ba
"srt_dragon_in,srt_dragon_idle","","0","srt_inori_idle","","start_000-start_001,start_002/start_003-boss_emote_064-start_004","srt_kaya_idle","GAME_START"
"srt_dragon_idle","まずはオレの番だな！","2","srt_inori_idle","","","srt_kaya_idle","ENEMY_FIRST"
"srt_dragon_idle","「{0}」か\n「{1}」で始まるのは…","2","srt_inori_idle","","","srt_kaya_waiting","ENEMY_TURN1"
"srt_dragon_idle","「{0}」か\nうーん、「{1}」で始まる言葉ねえ…","2","srt_inori_idle","","","srt_kaya_waiting","ENEMY_TURN2"
"srt_dragon_idle","「{0}」か\nオッケー、次は「{1}」だな","2","srt_inori_idle","","","srt_kaya_waiting","ENEMY_TURN3"
"","","0","","srt_homare_help","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","srt_kaya_help","ENEMY_HELP"
"","","0","","","","srt_kaya_flash","ENEMY_FLASH"
"srt_dragon_react_1,srt_dragon_idle","「{0}」だ！","2","srt_inori_react_1,srt_inori_idle","","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT1"
"srt_dragon_react_1,srt_dragon_idle","「{0}」だな！","2","srt_inori_react_1,srt_inori_idle","","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT2"
"srt_dragon_react_1,srt_dragon_idle","「{0}」だぜ！","2","srt_inori_react_1,srt_inori_idle","","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT3"
"srt_dragon_react_1,srt_dragon_idle","「{0}」ってのはどうだ！","2","srt_inori_react_1,srt_inori_idle","","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT_GREAT1"
"srt_dragon_react_1,srt_dragon_idle","へっへーん！「{0}」だ！","2","srt_inori_react_1,srt_inori_idle","","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT_GREAT2"
"","","-1","","","","","ENEMY_SELECT_WAIT"
"","カヤぴぃ、「ん」がついてるですよ……","1","","","out_071","srt_kaya_shock","ENEMY_SELECT_N"
"srt_dragon_thinking","「{0}」ですか\n次は「{1}」で始まる言葉ですね","1","srt_inori_thinking","","","srt_kaya_waiting","PLAYER_TURN1"
"srt_dragon_thinking","「{0}」ですか\nうーん、「{1}」で始まる言葉は…","1","srt_inori_thinking","","","srt_kaya_waiting","PLAYER_TURN2"
"srt_dragon_thinking","なるほど「{0}」ですね\nふむふむ、「{1}」で始まる言葉は…","1","srt_inori_thinking","","","srt_kaya_waiting","PLAYER_TURN3"
"","","1","","","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","PLAYER_CUTIN_GREAT"
"","","1","","","sugoyomi_cutin_050,sugoyomi_cutin_052","","PLAYER_CUTIN_PRICONNE"
"srt_dragon_select_1,srt_dragon_idle","「{0}」です！","1","srt_inori_select_1,srt_inori_idle","","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT1"
"srt_dragon_select_2,srt_dragon_idle","「{0}」ですね！","1","srt_inori_select_2,srt_inori_idle","","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT2"
"srt_dragon_select_1,srt_dragon_idle","「{0}」なんてどうです！","1","srt_inori_select_1,srt_inori_idle","","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT_GREAT1"
"srt_dragon_select_2,srt_dragon_idle","ふふ～ん♪「{0}」です！","1","srt_inori_select_2,srt_inori_idle","","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT_GREAT2"
"srt_dragon_select_1,srt_dragon_idle","ふっふっふ、ずばり\n「{0}」です！","1","srt_inori_select_1,srt_inori_idle","","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT_PRECONNE1"
"srt_dragon_select_2,srt_dragon_idle","ひらめいたです！\n「{0}」ですね！","1","srt_inori_select_2,srt_inori_idle","","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT_PRECONNE2"
"","","-1","","","","","PLAYER_SELECT_WAIT"
"srt_dragon_miss,srt_dragon_thinking","はうっ！ま、間違ったです…","1","srt_inori_miss,srt_inori_thinking","","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","srt_kaya_react_3,srt_kaya_waiting","PLAYER_MISS"
"","おいおい、「ん」がついてるじゃねえか……","2","srt_inori_shock","","out_070","srt_kaya_react_4","PLAYER_SELECT_N"
"srt_dragon_thinking","どんどんいくですよ！","1","srt_inori_thinking","","rush","srt_kaya_infever","INFEVER"
"srt_dragon_select_1","「{0}」です！","1","srt_inori_select_1","","correct_028-correct_029,correct_037-correct_038","","FEVER_SELECT1"
"srt_dragon_select_2","「{0}」ですね！","1","srt_inori_select_2","","correct_030-correct_031,correct_035-correct_036","","FEVER_SELECT2"
"srt_dragon_miss","はうっ！ま、間違ったです…","1","srt_inori_miss","","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","","FEVER_MISS"
"srt_dragon_fever_attack","覚悟するです！","1","srt_inori_fever_attack","","rush_attack","srt_kaya_fever_damage","FEVER_DAMAGE"
"srt_dragon_win","あたしたちの勝ちですよ！！","1","srt_inori_win_1","","win_005-win_006,win_012-win_013","srt_kaya_lose","WIN_HP"
