0c0a4038db1afc348e099d6f8e2213313c34f63e27c7f0b143ee02d4a4fc498e,84359b59a89e6251b9ec656553c84566155e1885eecf5f8ebfc56ac13b077244,e2bffbc809625df38ce5e10c34f626bbc50ea4eaa5d4c3b21af59fe95e2b0250,01852eebeb788628f2d4d66c041143b96b0e2f7d36081f496df88ef10a66a444,29e7505f5eb1732a55fd04b92e5d4c787845299590e2d57826744c0f5ddacbf9,e8fa384421a48e55030ec64ec4aa5c2ca45aafefe6d6237e2e2667e09d742b4a,7deb171b6a116c0edd6cd0af434ff9662a2bfba42d3351bd00de82fde482ddd2,78281b8e52f3f0287cecb1f969aca14c201b8f02228d9dbb306c2a9d63a63149,fce0ea098a865768e01d1d3d8a44bfd1fa1772e9239002f48ba848547c805061,1390e43e22b881d39429bc5f95bb9276c9b867e70af27d4fc563f61449311ab2,d6e77cc98d4c74d6165882f6f8ec52b7c5bc7c6fdb9e66f34c385f43cea52ea1
"31","91002","25021","2","2","8","282001001","8","10","25012","1"
"31","91002","25021","2","2","8","282001002","8","10","25012","2"
"32","91002","25021","2","2","8","282001003","8","10","25012","3"
"32","91002","25021","2","2","8","282001004","8","10","25012","4"
"33","91002","25021","2","2","8","282001005","8","10","25012","5"
"33","91002","25021","2","2","8","282001006","9","10","25012","6"
"34","91002","25021","2","2","8","282001007","9","10","25012","7"
"35","91002","25021","2","2","8","282001008","9","10","25012","8"
"35","91002","25021","2","2","8","282001009","9","10","25012","9"
"37","91002","25021","2","2","8","282001010","10","30","25012","10"
"41","91002","25021","2","2","8","282001011","10","10","25012","11"
"43","91002","25021","2","2","8","282001012","11","10","25012","12"
"46","91002","25021","2","2","8","282001013","11","10","25012","13"
"48","91002","25021","2","2","8","282001014","12","10","25012","14"
"50","91002","25021","2","2","8","282001015","12","10","25012","15"
"53","91002","25021","2","2","8","282001016","13","10","25012","16"
"55","91002","25021","2","2","8","282001017","14","10","25012","17"
"58","91002","25021","2","2","8","282001018","14","10","25012","18"
"60","91002","25021","2","2","8","282001019","15","10","25012","19"
"62","91002","25021","2","2","8","282001020","15","30","25012","20"
"68","91002","25021","2","2","8","282001021","16","10","25012","21"
"70","91002","25021","2","2","8","282001022","16","10","25012","22"
"72","91002","25021","2","2","8","282001023","16","10","25012","23"
"75","91002","25021","2","2","8","282001024","17","10","25012","24"
"77","91002","25021","2","2","8","282001025","18","10","25012","25"
"79","91002","25021","2","2","8","282001026","18","10","25012","26"
"82","91002","25021","2","2","8","282001027","19","10","25012","27"
"84","91002","25021","2","2","8","282001028","19","10","25012","28"
"86","91002","25021","2","2","8","282001029","19","10","25012","29"
"89","91002","25021","2","2","8","282001030","20","30","25012","30"
"94","91002","25021","2","2","8","282001031","20","10","25012","31"
"96","91002","25021","2","2","8","282001032","21","10","25012","32"
"99","91002","25021","2","2","8","282001033","21","10","25012","33"
"101","91002","25021","2","2","8","282001034","22","10","25012","34"
"103","91002","25021","2","2","8","282001035","22","10","25012","35"
"106","91002","25021","2","2","8","282001036","23","10","25012","36"
"108","91002","25021","2","2","8","282001037","23","10","25012","37"
"111","91002","25021","2","2","8","282001038","24","10","25012","38"
"113","91002","25021","2","2","8","282001039","25","10","25012","39"
"115","91002","25021","2","2","8","282001040","25","30","25012","40"
"121","91002","25021","2","2","8","282001041","26","10","25012","41"
"123","91002","25021","2","2","8","282001042","27","10","25012","42"
"125","91002","25021","2","2","8","282001043","28","10","25012","43"
"128","91002","25021","2","2","8","282001044","28","10","25012","44"
"130","91002","25021","2","2","8","282001045","29","10","25012","45"
"132","91002","25021","2","2","8","282001046","30","10","25012","46"
"135","91002","25021","2","2","8","282001047","30","10","25012","47"
"137","91002","25021","2","2","8","282001048","31","10","25012","48"
"139","91002","25021","2","2","8","282001049","31","10","25012","49"
"142","91002","25021","2","2","8","282001050","31","30","25012","50"
