fab5dd1edb1dc155ba0911840bec8083952227b47f7638cfbcb06131cedd357c,8858c7126f58076d96dd7f2c36307aa0807eb49b52dd3474f43b49179a28646d,a74c5d981073e6402cd082323ba4e3b8bc76778253721385a751824fffb8adc9,4e03f5840b721ba5d85ff71ab7ac8d9e7bd91d190306b72cdca6f8fd4cfb8ed2,4569b2989019d92e5f5cb292b3f1d03d676ba1eb1721b95324f5a1f277580eb4,aba575d56575adcd3bb4a946d6667d464025bb4304435a9e2dbcbdfa59afb160,c734c9332de67499583258383dc8467c21c100a10588e26de7d0d6603ddcab95,4cd75613b32403dc69799bc17751e5c0061d345dcb25a21d8bfb967e5ca317f9,83a166d8f2ef8ef124a4f70455d9fe4cd9ed68735af5054c06181d2a1b7b2525,23723ca3696fdfc011dd8a6eaee6c62927c415c2a1b45a553520fac490bb284a,cd4bcd2d0efe94254c62ebc55a52acf79ea68d2c0840a9a84251e127e0b69c3d,ec2d878caacb329744ef563f2443534c878ce38eefefb9843d58b7368270d6bf
"5201322","0","0","10201201","70","1","1","0","5.5","5201321","5","610201102"
"5201323","15","600","10201201","0","3","2","3","1.5","0","5","610201103"
"0","0","0","10201201","0","1","3","0","1.5","0","5","610201104"
"0","0","0","10201501","70","1","1","0","5.5","0","5","610201105"
"0","15","600","10201501","0","3","2","3","1.5","0","5","610201106"
"0","0","0","10201501","0","1","3","0","1.5","0","5","610201107"
"5201332","0","600","10201251","0","2","1","3","5.5","5201331","5","610201152"
"5201333","0","0","10201251","65","1","2","0","1.5","0","5","610201153"
"0","0","0","10201251","0","1","3","0","1.5","0","5","610201154"
"0","0","600","10201551","0","2","1","3","5.5","0","5","610201155"
"0","0","0","10201551","65","1","2","0","1.5","0","5","610201156"
"0","0","0","10201551","0","1","3","0","1.5","0","5","610201157"
"5202322","0","600","10202201","0","2","1","3","5.5","5202321","5","610202102"
"5202323","0","0","10202201","70","1","2","0","1.5","0","5","610202103"
"0","0","0","10202201","0","1","3","0","1.5","0","5","610202104"
"0","0","600","10202501","0","2","1","3","5.5","0","5","610202105"
"0","0","0","10202501","70","1","2","0","1.5","0","5","610202106"
"0","0","0","10202501","0","1","3","0","1.5","0","5","610202107"
"5203322","0","600","10203201","0","2","1","3","5.5","5203321","5","610203102"
"5203323","0","0","10203201","66","1","2","0","1.5","0","5","610203103"
"0","0","0","10203201","0","1","3","0","1.5","0","5","610203104"
"0","0","600","10203501","0","2","1","3","5.5","0","5","610203105"
"0","0","0","10203501","66","1","2","0","1.5","0","5","610203106"
"0","0","0","10203501","0","1","3","0","1.5","0","5","610203107"
"5204322","0","600","10204201","0","2","1","3","5.5","5204321","5","610204102"
"5204323","0","0","10204201","60","1","2","0","1.5","0","5","610204103"
"0","0","0","10204201","0","1","3","0","1.5","0","5","610204104"
"0","0","600","10204501","0","2","1","3","5.5","0","5","610204105"
"0","0","0","10204501","80","1","2","0","1.5","0","5","610204106"
"0","0","0","10204501","0","1","3","0","1.5","0","5","610204107"
"5205322","0","600","10205201","0","2","1","3","5.5","5205321","5","610205102"
"5205323","0","0","10205201","65","1","2","0","1.5","0","5","610205103"
"0","0","0","10205201","0","1","3","0","1.5","0","5","610205104"
"0","0","600","10205501","0","2","1","3","5.5","0","5","610205105"
"0","0","0","10205501","66","1","2","0","1.5","0","5","610205106"
"0","0","0","10205501","0","1","3","0","1.5","0","5","610205107"
