c470ee6becfa360eb23d1afff2ec05fad1b3195990c27ffcad27a99c4a8cdf97,96b527eea23003e3bdd1d242bca49968ff26842a05c1ce856863be8f3f13b550,b2d31decb5172606991ee582e787e0b68815c0f66a90c40228b01d9d652e8947,86693df391eca5b6358b304132c74eab6abd1633d62d942ad306e51f83e46642,427c456955fd9b7404a3312e2341797ec8f35e7c92855f6b7c5a0c7a46d19040,6e3ff264757e6db7e0aaf3c6912a90315863a4842cfede0ab71a71284acb4e17,37f05de4fdb4135c66c20bb7dee9d088ebaf484f04d840e4649e23d6825c54f2,6afb41b900bb977aae043b12305cf6b1450aeeb91fe8df79248e746a819d4d48,6ed0332e198e7f57278a26e12572cd9d0d9a552ace6eb0271cd571572b6e96dd
"1","0","610201101","0","1.6","","1","0","50"
"1","200","610201151","0","1.8","","1","0","-75"
"1","0","610201201","0","1.6","","1","0","50"
"1","0","610201202","0","1.6","","1","0","50"
"1","0","610201203","0","1.6","","1","0","50"
"1","200","610201251","0","1.65","","1","0","-75"
"1","200","610201252","0","1.8","","1","0","-75"
"1","200","610201253","0","1.8","","1","0","-75"
"1","0","610201301","0","1.6","","1","0","50"
"1","0","610201302","0","1.6","","1","0","50"
"1","0","610201303","0","1.6","","1","0","50"
"1","200","610201351","0","1.65","","1","0","-75"
"1","200","610201352","0","1.8","","1","0","-75"
"1","200","610201353","0","1.8","","1","0","-75"
"2","0","610201401","1","1","","0","0","0"
"3","0","610201402","1","1","","0","0","0"
"4","0","610201403","1","1","","0","0","0"
"2","0","610201451","0","0.78","","0","-200","0"
"3","0","610201452","0","0.78","","0","-140","0"
"4","0","610201453","0","0.78","","0","-60","0"
"2","0","610201501","1","1","","0","0","0"
"3","0","610201502","1","1","","0","0","0"
"4","0","610201503","1","1","","0","0","0"
"2","0","610201551","0","0.78","","0","-200","0"
"3","0","610201552","0","0.78","","0","-140","0"
"4","0","610201553","0","0.78","","0","-60","0"
"1","190","610202101","0","1.7","","1","0","-45"
"1","190","610202201","0","1.4","","1","0","-55"
"1","190","610202202","0","1.7","","1","0","-45"
"1","190","610202203","0","1.7","","1","0","-45"
"1","190","610202301","0","1.4","","1","0","-55"
"1","190","610202302","0","1.7","","1","0","-45"
"1","190","610202303","0","1.7","","1","0","-45"
"2","0","610202401","0","1","","0","-200","0"
"3","0","610202402","0","1","","0","-140","0"
"4","0","610202403","0","1","","0","-60","0"
"5","0","610202404","0","1","","0","-60","0"
"2","0","610202501","0","1","","0","-200","0"
"3","0","610202502","0","1","","0","-140","0"
"4","0","610202503","0","1","","0","-60","0"
"5","0","610202504","0","1","","0","-60","0"
"1","190","610203101","0","1.03","","1","0","-80"
"1","190","610203201","0","0.66","","1","0","-42"
"1","190","610203202","0","1.03","","1","0","-80"
"1","190","610203203","0","1.03","","1","0","-80"
"1","190","610203301","0","0.66","","1","0","-42"
"1","190","610203302","0","1.03","","1","0","-80"
"1","190","610203303","0","1.03","","1","0","-80"
"2","0","610203401","0","0.78","","0","-200","0"
"3","0","610203402","0","0.78","","0","-140","0"
"4","0","610203403","0","0.78","","0","-60","0"
"5","0","610203404","0","0.78","","0","-30","0"
"2","0","610203501","0","0.78","","0","-200","0"
"3","0","610203502","0","0.78","","0","-140","0"
"4","0","610203503","0","0.78","","0","-60","0"
"5","0","610203504","0","0.78","","0","-30","0"
