44802c3e4ed401f3211a40de4e50fe2dbe63fed1b9cdac48f8ae8460d0dbe3da,f1fafc3f6afbfd71c37876cab66230cf8d321b3806999f0ca3556c395fb15258,adcd4a4ea0405dc505f35a1672fc9c7e76ba3a49e3bb0caac4d1895fc074de3c,dae4ab592998bd1022b655be1a5d49e67a17e6222ead5354b5169b3392981e31,71bd3ec32b84bb376e6db9595291c6ff6faa18e361341317ece74a2e1ef26f80,f68bfa474ed607b858e8cfda0e5aa6ebe1030686707ca8c4999ae2288a41a678,837a438387394920ee8e5a7855072a475eb43b40de651398a79308e60fdf6597,c7147387068c2ebb8aacb1c147f82b2fe787e7d0cce2bb5860db9633cf4f9b87,8397daec1852588f2a95449660bc51164cddfa3e6186453284a268152f4a79d5,50e8f60404295aff2d45d03c5126fb0d54b4935c12139b24f11f40710cf8322a,3f1bea0c02a3fbe4e3ef70ca8a59ff109584fcb8ebf8794659caafbc1934056a
"","","","","","1082","","イ","","",""
"","","","","","1107","","オ","","",""
"","","","ツ","","1176","","","","",""
"","ホ","","","","1189","ル","ー","","",""
"","","","","","1192","","ゥー","","",""
"","","","","","1245","","イ","","",""
"","","","","","1250","ちそ","","","ゃさ",""
"イトメ","イ","ナメア","ナ","ナイト","2013","メ","ト","ナイア","ア","トメア"
"ラドソ","ソ","ドソル","ン","ランド","2014","","ラ","ランル","ル","ンドル"
"そのと","","そのう","る","そるの","2015","","と","そるう","う","るのと"
"なのと","な","るのう","る","るなう","2016","う","と","るなと","の","のとう"
"ひうて","","ひてい","く","ひくう","2017","い","う","ひくて","","くうて"
"しん","","ふん","ふ","ふゃ","2019","し","ゃ","ふゃ","ん",""
"むぎし","わ","むゅわ","ゅ","むしわ","2020","む","し","ぎゅわ","ぎ","ぎしゅ"
"","","","","","2031","","","E","","S"
"","","","","AE","2032","","","","",""
"","","R","","","2033","","","A","",""
"","","I","","","2034","","","E","",""
"","","R","","","2036","","","UA","",""
"E","","L","","Y","2037","","","E","",""
"V","","L","","I","2038","","","E","",""
"","","I","","","2040","","","L","",""
"","","A","","","2041","","","","",""
"","","","","","2042","","","","","Y"
"","","A","","","2043","","","","","K"
"","","A","","","2045","","","","",""
"","","R","","","2046","","","","","Q"
"","","R","","","2047","","","A","",""
"","","A","","","2048","","","","","KQ"
"","","","","","2049","","","B","",""
"","","A","","T","2050","","","U","",""
"","","C","","P","2052","","","EI","",""
"","","A","","T","2053","","","I","",""
"","","","","S","2054","","","","",""
"","","R","","","2055","","","","",""
"","","","","","2056","","","V","",""
"","","WU","","","2058","","","","",""
"","","","","","2059","","","","","R"
"","","","","","2060","","","","","R"
"","","S","","","2062","","","","",""
"S","","E","","S","2063","","","A","",""
"","","A","","A","2064","","","","",""
"","","","","S","2065","","","A","",""
"","","","","","2066","","","","","C"
"","","","","","2067","","","B","",""
"","","","","","2068","","","I","","L"
"","","E","","","2069","","","","","C"
"D","","","","","2070","","","E","",""
"N","","","","I","2071","","","A","",""
"","","C","","A","2074","","","","",""
"","","A","","A","2077","","","","",""
"","","","ち","","2092","","","","し",""
"ム","","ァ","","ト","2130","","","ン","","フ"
"","視","","か","","2200","わ","聴言","","聞聴",""
"","","","ー","","2201","","","","ビブ",""
"","","","","","2202","","","","ル",""
"","麦","","","","2216","鯉","飯","","",""
"","し","","","","2261","う","ゅ","","",""
"","","","ぅ","","2264","","","","",""
"","","","","","2266","","ー","","",""
"","ひ","","ん","","2295","く","ふ","","き",""
"","","","","","2313","","","","だ",""
"","","ナ","","","3020","","","","","ル"
"","フ","","","","3066","","ェ","","",""
"","く","","","","3068","","","","",""
"","","","","","3073","が","","","",""
"","","","","","3084","","","","生",""
"","","","","","3158","","","","ア",""
"","","","","","3165","ひ","","","",""
"","","","","","3187","","","","か",""
"","","","オ","","3191","デ","","","シス",""
"","","","ま","","3193","","","","さ",""
"","","","","","3195","","","","","ブ"
"","","","","","3222","ス","","","",""
"","","","","","3238","","","","ず",""
"","","","","","3271","","","","帰",""
"","","","","","3277","","ク","","",""
"","","","","","3318","ア","","","",""
"","","","ち","","4029","","","","し",""
"","","","X","","4049","","","","",""
"","","","","","4052","","","","た",""
"","","","","","4077","","","","さ",""
"","","","帯","","4154","","","","",""
"","","","","","4157","","","そ","",""
"","","","","","4167","","","い","",""
"","","","","","4171","","","","","二"
"","","小","","倍","4194","","","","",""
"","","大","","約","4195","","","","",""
"","高","","","","4196","底","","","",""
"","","","","","4197","","","","","半"
"","","","","","4203","","","","く",""
"","","","","","4220","ウ","","","",""
"","","","","","4222","","ィ","","",""
"","セ","","","","4247","","","","",""
"","","","","","5010","ー","","","",""
"","","","","","5011","ワ","","","",""
"テカ","","","","ラモ","5030","","","","",""
"レカ","","","","オモ","5031","","","","",""
"","","","","","5051","ー","","","",""
"","","","","","5066","か","お","","ら",""
"","","","","","5100","ぶ","","","",""
"つ","","つ","","じ","5109","","","","","み"
"ー","","ウ","","タ","5140","","","ン","","カ"
"","","","ロ","","5147","","","","",""
"","","","","","5160","と","","","",""
"卯戌子","","戌酉卯","","戌酉子","5193","虎","牛","戌卯辰","","卯辰戌"
"","","","ト","","6060","","","","",""
"","","","","","6065","ほ","","","",""
"","","","","","6157","","","","ィ",""
"ト","","","","","6188","","","","",""
"","イ","","","","6203","ド","ン","","",""
"","","","ラ","","6216","ク","","","ジ",""
"","","ョ","","","6227","","","ウ","","チ"
