0af0647a5fb4afaf4f89f6041e0ea88eef82e93e0026b671409585e53eb06c2e,a038b2c99acf83d8484fec93057b60a73614a3f881feda0ed59be74af9273a8e,8ce7e315ffa65cefe7b956269aa91a8e46c140fbecd7079bd6d8d58166c3f41f,9e1658c9327ce285aa87ac7d7acee4563b77e9286a399312ecdd57e149ad84cd,71e3e50753ea802689354c48f8e39c79469c01123fc1a2002875dd08a8c47305
"1","10","31058","2","9105801"
"2","10","31020","2","9102001"
"3","10","31002","2","9100201"
"4","10","31055","2","9105501"
"5","10","31016","2","9101601"
"6","10","31124","2","9112401"
"7","10","31044","2","9104401"
"8","10","31023","2","9102301"
"9","10","31059","2","9105901"
"10","10","31042","2","9104201"
"11","10","31040","2","9104001"
"12","10","31021","2","9102101"
"13","10","31063","2","9106301"
"14","10","31065","2","9106501"
"15","10","31009","2","9100901"
"16","10","31017","2","9101701"
"17","10","31056","2","9105601"
"18","10","31053","2","9105301"
"19","10","31027","2","9102701"
"20","10","31108","2","9110801"
"21","10","31043","2","9104301"
"22","10","31125","2","9112501"
"23","10","31004","2","9100401"
"24","10","31037","2","9103701"
"25","10","31061","2","9106101"
"26","10","31018","2","9101801"
"27","10","31013","2","9101301"
"28","10","31011","2","9101101"
"29","10","31001","2","9100101"
"30","10","31030","2","9103001"
"31","10","31060","2","9106001"
"32","10","31015","2","9101501"
"33","10","31054","2","9105401"
"34","10","31109","2","9110901"
"35","10","31010","2","9101001"
"36","10","31066","2","9106601"
"37","10","31028","2","9102801"
"38","10","31008","2","9100801"
"39","10","31049","2","9104901"
"40","10","31047","2","9104701"
"41","10","31014","2","9101401"
"42","10","31094","2","9109401"
"43","10","31038","2","9103801"
"44","10","31048","2","9104801"
"45","10","31045","2","9104501"
"46","10","31022","2","9100601"
"47","10","31006","2","9100601"
"48","10","31005","2","9100501"
"49","10","31126","2","9112601"
"50","10","31092","2","9109201"
"51","10","31025","2","9102501"
"52","10","31031","2","9103101"
"53","10","31012","2","9101201"
"54","10","31026","2","9102601"
"55","10","31050","2","9105001"
"56","10","31003","2","9100301"
"57","10","31007","2","9100701"
"58","10","31029","2","9102901"
"59","10","31036","2","9103601"
"60","10","31093","2","9109301"
"61","10","31071","2","9107101"
"62","10","31110","2","9111001"
"63","10","31046","2","9104601"
