7885899aaccb623d6c7a8b0a2f42864e30e29f28106d1f3f51fc174e251b2051,6669683a4627f2f32c80b2a9b17146787171258dbca02d565ef22b75582c69aa,9934017387c51123b8950dc6959fdc8ea372744b53b7500fa129048176474053,8ef4114fda508fd5440b9ee422e78de505f3dff5a158d41274963906a505867e,3973b52f75534e635e8d92560ad0020a08ddccd9b614ef1e5083411b940b190a,6dd4f77ad46955983bd9743b4088380c8932a100856bfdd527d56b8bbe2cacd0,179d42373dcf126c690a2b39d7b16170d5bcdbe91aab75a20dff9a2a52fea644,e0b9736cb42a567c264e163108c7eab9cdfe8ffca3e31203408174d2be50b76d,dc363c225b8bb725362a5afafb4df595a137d6d822c8a3176dc3d70213845741
"1","32000101","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","7008","500000","1","32000101","1002","1010"
"1","32000102","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","7008","750000","2","32000102","1002","1010"
"1","32000103","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","7008","1000000","3","32000103","1002","1010"
"1","32000104","全プレイヤーでフレイヤを合計500,000回倒そう","7008","500000","4","32000104","1003","1010"
"1","32000105","全プレイヤーでフレイヤを合計750,000回倒そう","7008","750000","5","32000105","1003","1010"
"1","32000106","全プレイヤーでフレイヤを合計1,000,000回倒そう","7008","1000000","6","32000106","1003","1010"
"0","32000107","全プレイヤーでアラクネを合計1,000,000回倒そう","7008","1000000","7","32000107","1004","1010"
"0","32000108","全プレイヤーでアラクネを合計1,500,000回倒そう","7008","1500000","8","32000108","1004","1010"
"0","32000109","全プレイヤーでアラクネを合計2,000,000回倒そう","7008","2000000","9","32000109","1004","1010"
"1","32000110","宝石蜘蛛の群れに1回挑戦しよう","7007","1","10","32000110","1001","1009"
"1","32000111","バンディ・シスターズを1回倒そう","7007","1","11","32000111","1002","1009"
"1","32000112","フレイヤを1回倒そう","7007","1","12","32000112","1003","1009"
"0","32000113","アラクネを1回倒そう","7007","1","13","32000113","1004","1009"
