7310c6bc5769d8bdf99f9eb8552b6b2fdeb5e3b34a62e6e680c48cad9d41f372,3f96951f1d847ffc83b07607736a2213a8fb0c76a241faced1a29aaa9b5ee693,8511d0c67fc20231180c8891445b6697c4ca3e0566c17c95c8fc993e6bba3ea1,2732c329c09928fa8a41af1d9cd4e89089eccefcd0511802a18ed7dfb2ab1d35
"201","100101","107","301"
"203","100201","110","305"
"202","100301","101","301"
"201","100401","107","303"
"202","100501","108","302"
"204","100601","110","305"
"201","100701","108","302"
"203","100801","110","305"
"204","100901","109","304"
"203","101001","110","305"
"201","101101","106","301"
"204","101201","109","304"
"204","101301","109","304"
"203","101401","109","305"
"203","101501","110","305"
"201","101601","106","301"
"201","101701","107","301"
"204","101801","109","305"
"201","102001","102","301"
"201","102101","105","302"
"204","102201","109","304"
"201","102301","105","303"
"203","102501","110","305"
"201","102601","104","303"
"201","102701","105","301"
"201","102801","101","301"
"202","102901","108","302"
"201","103001","102","301"
"201","103101","102","303"
"202","103201","102","301"
"202","103301","104","303"
"201","103401","102","303"
"204","103601","109","304"
"201","103701","101","301"
"201","103801","106","301"
"201","104001","106","303"
"203","104201","110","305"
"202","104301","102","301"
"204","104401","109","304"
"203","104501","108","302"
"201","104601","103","301"
"202","104701","108","302"
"202","104801","104","301"
"202","104901","102","303"
"204","105001","109","304"
"201","105101","102","303"
"202","105201","108","302"
"201","105301","101","303"
"201","105401","107","303"
"201","105501","104","303"
"201","105601","108","302"
"201","105701","101","301"
"202","105801","102","302"
"201","105901","104","303"
"204","106001","109","304"
"201","106101","103","301"
"201","106301","106","301"
"201","106401","101","301"
"201","106501","107","301"
"202","106601","105","303"
"204","106701","109","305"
"202","106801","101","301"
"201","106901","101","301"
"204","107001","109","304"
"202","107101","101","301"
"202","107501","102","301"
"201","107601","104","303"
"203","107701","110","305"
"204","107801","109","304"
"201","107901","103","301"
"202","108001","104","301"
"201","108101","105","303"
"201","108201","107","303"
"204","108301","109","304"
"203","108401","110","305"
"201","108501","105","302"
"201","108601","105","303"
"201","108701","107","301"
"203","108801","110","305"
"201","108901","108","302"
"201","109001","105","301"
"202","109101","102","303"
"204","109201","110","304"
"204","109301","110","304"
"204","109401","110","304"
"203","109501","108","302"
"201","109601","103","301"
"201","109701","105","303"
"203","109801","110","305"
"203","109901","109","304"
"201","110001","106","301"
"204","110101","110","305"
"204","110201","109","304"
"201","110301","101","301"
"202","110401","102","301"
"201","110501","107","301"
"203","110601","110","305"
"201","110701","106","303"
"201","110801","103","301"
"201","110901","107","301"
"203","111001","110","305"
"204","111101","109","304"
"201","111201","107","303"
"201","111301","102","301"
"204","111401","109","304"
"202","111501","101","301"
"202","111601","108","302"
"204","111701","109","304"
"202","111801","102","302"
"201","111901","104","303"
"204","112001","109","304"
"203","112101","110","305"
"203","112201","109","305"
"201","112301","106","301"
"201","112401","101","301"
"202","112501","101","302"
"204","112601","109","304"
"201","112701","104","303"
"202","112801","104","303"
"201","112901","106","301"
"201","113001","104","303"
"202","113101","101","301"
"204","113201","109","304"
"204","113301","109","304"
"204","113401","109","304"
"203","113501","110","305"
"202","113601","102","301"
"204","113701","110","305"
"204","113801","109","304"
"201","113901","103","303"
"202","114001","101","301"
"201","114101","107","303"
"201","114201","101","303"
"201","114301","101","301"
"202","114401","102","301"
"202","114501","108","302"
"202","114601","102","303"
"201","114701","103","302"
"204","115001","109","304"
"201","115501","103","301"
"203","115601","110","305"
"203","115701","110","305"
"202","115801","102","301"
"202","115901","102","301"
"203","116001","110","305"
"201","116201","103","301"
"201","116301","107","301"
"203","116401","110","305"
"202","116501","105","303"
"201","116601","107","301"
"201","116701","106","303"
"201","116801","103","301"
