ce8201a3c12fb635c28c48c1c5df6e5b893ea80e4d612366a77f998412ecaf9d,d1537cf791e59cb55cccc92b937c9beea6a09e6b990c9a4185020231da5eb56f,fce1c34c02b13737fe81cac0151f41f71bbea93d2ff620bd6d63abe8e0b98945,38f07612e820fdb6538cd621074412245ae781a0dfd6db91da045d9d083249cd,6b78c17e73e336a28b50f7f8f9270718b5a566425c6ba44130f9369f2f61fb68,5d7e3d8912a5da14bae82a002c725b403ac41d68c29c2f4c443c72ddf02095a8,399c8615e197df0b7ef18151653e81961a90d5018826c5b10e0cddea510c48e0,14310d4ef641c6b07c32368b7f5116b8402457fb539152e4cfb879d0086ecfcb,4556feccd0b260ec431ae897f750c053c02f7e7d0b91db81c709cb1fbb6376a7,45b85f5b18a8b637351264c8967f972d483ee9732b6e7b00178cbb42a3ce9296
"懐かしき過去の結晶","0","0","オープニング","5110601","10138104","0","0","10110","0"
"リーダーはどっちだ！","8","1","オクトーの追想　その1","5110602","10138104","91002","0","10110","30"
"勝ちたい理由","8","1","オクトーの追想　その2","5110603","10138105","91002","0","10110","30"
"聞き上手な誓約女君","8","1","クリスティーナの追想　その1","5110604","10138108","91002","0","10110","30"
"秘めたる本当の実力……？","8","1","ダイゴの追想　その1","5110605","10138109","91002","0","10110","30"
"友と書いてライバルと読む","8","1","ラビリスタの追想　その1","5110606","10138110","91002","0","10110","30"
"悪と正義の高笑い","8","1","マサキの追想","5110607","10138112","91002","0","10110","30"
"プリンセスナイトとは","8","1","ラジラジの追想　その1","5110608","10138113","91002","0","10110","30"
"まだ見ぬ日々に想い馳せて","8","1","オクトーの追想　その3","5110609","10138114","91002","0","10110","30"
"跳躍王のお仕置き","8","1","ラジラジの追想　その2","5111602","10139103","91002","0","10111","30"
"二人なら絶対だって","8","1","クリスティーナの追想　その2","5111603","10139105","91002","0","10111","30"
"虎の尾を踏む","8","1","ダイゴの追想　その2","5111604","10139108","91002","0","10111","30"
"一番怪しい七冠は誰だ","8","1","ラビリスタの追想　その2","5111605","10139109","91002","0","10111","30"
"簡単すぎる問題","8","1","ネネカの追想","5111606","10139110","91002","0","10111","30"
"魔物使いは語る","8","1","オクトーの追想　その4","5111607","10139113","91002","0","10111","30"
"悪党たちの目指す未来","8","1","オクトーの追想　その5","5111608","10139113","91002","0","10111","30"
"過去を超える思い出を","16","0","エンディング","5111609","0","9000222","1","10111","1"
