5e62f4b7ea2879796804754de40147578207ff3549d2cd48667fd942d2d4fba1,9234f306f100cef50936772c0f4add6c7b284421d2c2a3be2621ecec404e7b70,620830bb94df65735fd50a6608d91ee11eac33728931df823a23d3eba0a59c83,67d8a5c8f5281cea013f3035844eb2df6fffe91f6f1b12cf8a74738ef37d2902,246aac42eaf554dbe983354c7206b2a671902c9df24fa0882f7e5579355d0958,bc75ff0a184529e826d9e3ad2e20851df2640b2179ec9d83a375537e37c18ad3,2e335a99f4d385c99f3738439b40c07f1b5b3836d254b11cdbe68a9efe2b794d,715f2788098e0f45c1597eca47ffdfee89198a1dba799ae1955d8f3d469d3351
"1","0","0","24","10101020","3050100","1","1"
"2","0","0","24","0","4010200","1","2"
"3","0","0","24","10401020","3030200","1","3"
"4","0","0","24","10401020","3050200","1","4"
"5","0","0","24","10401020","3040200","1","5"
"6","0","0","24","10401020","3020200","1","6"
"7","0","0","24","0","4010300","1","7"
"101","0","0","24","10101020","3030100","1","8"
"102","0","0","24","0","3010201","1","9"
"103","0","0","24","0","3020201","1","10"
"104","0","0","24","0","3010301","1","11"
"105","0","0","24","0","3030301","1","12"
"106","0","0","24","0","3040301","1","13"
"107","0","0","24","0","3050301","1","14"
"108","0","0","24","0","3020301","1","15"
"109","0","0","24","10401050","3030300","1","16"
"110","0","0","24","10401050","3040300","1","17"
"111","0","0","24","10401050","3050300","1","18"
"112","0","0","24","10401050","3020300","1","19"
"201","0","0","24","10101020","3010100","1","20"
"202","0","0","24","10101020","3020100","1","21"
"203","0","0","24","10101020","3030100","1","22"
"204","0","0","24","10101020","3040100","1","23"
"205","0","0","24","10101020","3050100","1","24"
"206","0","0","24","10101020","3010200","1","25"
"207","0","0","24","10101020","3020200","1","26"
"208","0","0","24","10101020","3030200","1","27"
"209","0","0","24","10101020","3040200","1","28"
"210","0","0","24","10101020","3050200","1","29"
"401","0","112","24","0","1010301","1","30"
"402","0","203","24","0","1020301","1","31"
"403","0","306","24","0","1030301","1","32"
"404","0","401","24","0","1040301","1","33"
"405","0","508","24","0","1050301","1","34"
"406","0","209","24","20101050","1020301","1","35"
"407","0","306","24","20101050","1030301","1","36"
"408","0","407","24","20101050","1040301","1","37"
"409","0","501","24","20101050","1050301","1","38"
"600","11001337","0","15","0","0","1","39"
"600","91002","0","8","0","0","150","40"
"700","11001338","0","15","0","0","1","41"
"799","91002","0","8","0","0","150","42"
"800","11001339","0","15","0","0","1","43"
"999","0","0","24","0","0","1","44"
