166ecd714c28608357d4c282933eea8e63187ba688e26a75fa1cf79990b06231,0d97184b1951389ee9fa5605b0fb0143a10a409df1d06fa09f86ac1f4c54cc7f,5ad93764ae223a863f6193c1c913cf1763d10d35721b71ecb1381a7626f52590,1a1ed953ee15f6b6813727b1b567f8b7b3df06b0ef9a67a6985fc392ba7cb2c4,497554bd1955ec204394d838112cd98982fb492bdee5620b011074ec03836f22,1e6d113aca8bfbca3069bdc4f3e59239e0af1817925abdb0c4cd004312ef559d,708d560772d9ac44add3695d6dd8099983cdff07c3b88d20e2fc539ceda65c10,fe989e8101d12ef93a915d0888bc63482210def3be31dc20cab1c525ae0d99f9,cf1cf755cd367c92e743db00a4ae6aa95e84d6dd30681e52653ca4148ef20217,25a62b2c93d3b69dab60686b06bbe7fd488ea75fa05fcd70b2af646e9fcd18c4
"0","12000","30000","1","90043","90001","0","10","10000","1"
"0","24000","30000","2","90047","90002","0","20","10000","2"
"0","24000","30000","3","90047","90002","0","20","10000","3"
"0","24000","30000","4","90047","90002","0","20","10000","4"
"0","24000","30000","5","90047","90002","0","20","10000","5"
"0","24000","30000","6","90047","90002","0","20","10000","6"
"0","24000","30000","7","90047","90002","0","20","10000","7"
"0","24000","30000","8","90047","90002","0","20","10000","8"
"0","24000","30000","9","90047","90002","0","20","10000","9"
"1","24000","30000","10","90047","90002","0","20","10000","10"
"2","48000","30000","11","90051","90003","90011","40","10000","11"
"3","48000","30000","12","90051","90003","90011","40","10000","12"
"4","48000","30000","13","90051","90003","90011","40","10000","13"
"5","48000","30000","14","90051","90003","90011","40","10000","14"
"6","48000","30000","15","90051","90003","90011","40","10000","15"
"7","48000","30000","16","90051","90003","90011","40","10000","16"
"8","48000","30000","17","90051","90003","90011","40","10000","17"
"9","48000","30000","18","90051","90003","90011","40","10000","18"
"10","48000","30000","19","90051","90003","90011","40","10000","19"
"11","48000","30000","20","90051","90003","90011","40","10000","20"
"12","72000","30000","21","90055","90004","90015","60","10000","21"
"13","72000","30000","22","90055","90004","90015","60","10000","22"
"14","72000","30000","23","90055","90004","90015","60","10000","23"
"15","72000","30000","24","90055","90004","90015","60","10000","24"
"16","72000","30000","25","90055","90004","90015","60","10000","25"
"17","72000","30000","26","90055","90004","90015","60","10000","26"
"18","72000","30000","27","90055","90004","90015","60","10000","27"
"19","72000","30000","28","90055","90004","90015","60","10000","28"
"20","72000","30000","29","90055","90004","90015","60","10000","29"
"21","72000","30000","30","90055","90004","90015","60","10000","30"
"22","96000","30000","31","90059","90005","90015","80","10000","31"
"23","96000","30000","32","90059","90005","90015","80","10000","32"
"24","96000","30000","33","90059","90005","90015","80","10000","33"
"25","96000","30000","34","90059","90005","90015","80","10000","34"
"26","96000","30000","35","90059","90005","90015","80","10000","35"
"27","96000","30000","36","90059","90005","90015","80","10000","36"
"28","96000","30000","37","90059","90005","90015","80","10000","37"
"29","96000","30000","38","90059","90005","90015","80","10000","38"
"30","96000","30000","39","90059","90005","90015","80","10000","39"
"31","96000","30000","40","90059","90005","90015","80","10000","40"
"33","144000","30000","41","90063","90005","90017","120","10000","41"
"35","144000","30000","42","90063","90005","90017","120","10000","42"
"37","144000","30000","43","90063","90005","90017","120","10000","43"
"39","144000","30000","44","90063","90005","90017","120","10000","44"
"41","144000","30000","45","90063","90005","90017","120","10000","45"
"43","144000","30000","46","90063","90005","90017","120","10000","46"
"45","144000","30000","47","90063","90005","90017","120","10000","47"
"47","144000","30000","48","90063","90005","90017","120","10000","48"
"49","144000","30000","49","90063","90005","90017","120","10000","49"
"51","144000","30000","50","90063","90005","90017","120","10000","50"
"53","180000","30000","51","90067","90006","90019","150","10000","51"
"55","180000","30000","52","90067","90006","90019","150","10000","52"
"57","180000","30000","53","90067","90006","90019","150","10000","53"
"59","180000","30000","54","90067","90006","90019","150","10000","54"
"61","180000","30000","55","90067","90006","90019","150","10000","55"
"63","180000","30000","56","90067","90006","90019","150","10000","56"
"65","180000","30000","57","90067","90006","90019","150","10000","57"
"67","180000","30000","58","90067","90006","90019","150","10000","58"
"69","180000","30000","59","90067","90006","90019","150","10000","59"
"71","180000","30000","60","90067","90006","90019","150","10000","60"
"74","216000","30000","61","90071","90007","90021","180","10000","61"
"77","216000","30000","62","90071","90007","90021","180","10000","62"
"80","216000","30000","63","90071","90007","90021","180","10000","63"
"83","216000","30000","64","90071","90007","90021","180","10000","64"
"86","216000","30000","65","90071","90007","90021","180","10000","65"
"89","216000","30000","66","90071","90007","90021","180","10000","66"
"92","216000","30000","67","90071","90007","90021","180","10000","67"
"95","216000","30000","68","90071","90007","90021","180","10000","68"
"98","216000","30000","69","90071","90007","90021","180","10000","69"
"101","216000","30000","70","90071","90007","90021","180","10000","70"
