31fb9a1fe0ef93b1411beecbb3f16cab954b6a517ddb0a9d81329e75512658b7,b117062cf2a38b064f10c07293ef391b439bf4cc1bb43a63382085b110dde4d1,a331b33c68df13966a8030c09ac25c14413bdeeda7b58dc627a541a94f2bfb49,54a0fad74c610fc153daeb25c17510115354cb8931315b97e5ec45da395eea57
"1001","戦闘不能になったキャラが0人以下で勝利","0","100101"
"1001","戦闘不能になったキャラが1人以下で勝利","1","100102"
"1001","戦闘不能になったキャラが2人以下で勝利","2","100103"
"1002","バトルの残り時間が1:15以上で勝利","74001","100201"
"1002","バトルの残り時間が1:10以上で勝利","69001","100202"
"1002","バトルの残り時間が1:00以上で勝利","59001","100203"
"1002","バトルの残り時間が0:50以上で勝利","49001","100204"
"1002","バトルの残り時間が0:45以上で勝利","44001","100205"
"1002","バトルの残り時間が0:40以上で勝利","39001","100206"
"1002","バトルの残り時間が0:30以上で勝利","29001","100207"
"1003","味方のTotal HPが100%以上で勝利","1000","100301"
"1003","味方のTotal HPが90%以上で勝利","900","100302"
"1003","味方のTotal HPが80%以上で勝利","800","100303"
"1003","味方のTotal HPが70%以上で勝利","700","100304"
"1003","味方のTotal HPが60%以上で勝利","600","100305"
"1003","味方のTotal HPが50%以上で勝利","500","100306"
"1003","味方のTotal HPが99%以上で勝利","990","100307"
