65afe792ccc538aa3951619782773d2502b9edc857359db279cd167a689a9b2d,8efbfefb0f56ca39b2a6e171c38d8f6005931911d10e3a79d8005181e766892c,2f31c36ec3d2640165b65797b667644b54d6947f27d72620c4449e124339afb3,443912d2bb68d1d9e29296191738373318c2034404d8e7e90f42606a3298b445,7f94c1372140c474e185ce4c8c9c7a0cccf21795a56f1edcdd0a029c64eaa9e4,fa181ff98c4f4cded4e9f49771d4f073bb99908b2d594dd20792a04f012a4927,262b7bf562be5a41898c0c94422f15e2984c57b2428f0b56e0f18bdb080dce54,23b2e5a5645388348110e5c25f02606974c4ec7a39b716fdd14bb08a1235f0f8,6261f431f96f1de06cc3b9562aa01eda35c3058d3c70d51a8d3f7cc10442e65f,4c519ca43c7ace9f17a2237af9360982e5ea01ee161f0c92a4dc508aee1cc1ad,6ea1631a933867a0f0374c8453ac9bfacad4ef24b6daac4787f6408de07b42af
"1","100","113511","64","-175","1.65","1","1010001","1","1","pkb_idle_normal"
"3","1","pkb_talk_wish","","","0.2","113511","1010002","","1",""
"21","0","vo_minigame_1006_top_101","0","","","vo_minigame_1006","1010003","","1",""
"11","8","今日も先生と一緒に\n頑張りましょうね～","0","0","0","113511","1010004","0","1","0"
"91","","","","","","0","1010005","","1",""
"3","1","pkb_idle_normal","","","0.2","113511","1010006","","1",""
"1","100","113511","64","-175","1.65","1","1020001","1","2","pkb_idle_normal"
"3","1","pkb_talk_wish","","","0.2","113511","1020002","","2",""
"21","0","vo_minigame_1006_top_102","0","","","vo_minigame_1006","1020003","","2",""
"11","6","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0","0","0","113511","1020004","0","2","0.5"
"93","","","","","","6","1020005","","2",""
"3","0","pkb_talk_fun","pkb_idle_normal","1","0.2","113511","1020006","","2",""
"91","","","","","","1020004","1020007","","2",""
"3","1","pkb_idle_normal","","","0.2","113511","1020008","","2",""
"1","100","113511","64","-175","1.65","1","1030001","1","3","pkb_idle_normal"
"3","0","pkb_smile","pkb_idle_normal","1","0.2","113511","1030002","0.2","3",""
"21","0","vo_minigame_1006_top_103","0","","","vo_minigame_1006","1030003","","3",""
"11","6","ケガには気を付けてね\n無理は禁物ですよ～♪","0","0","0","113511","1030004","0","3","0"
"93","","","","","","2","1030005","","3",""
"3","1","pkb_talk_wish","","","0.2","113511","1030006","","3",""
"91","","","","","","1030004","1030007","","3",""
"3","1","pkb_idle_normal","","","0.2","113511","1030008","","3",""
"5","100","3","64","-155","57","3","1040001","1","4","pkb_idle_normal_l"
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","3","1040002","0.2","4",""
"21","0","vo_minigame_1006_top_601","0","","","vo_minigame_1006","1040003","","4",""
"11","8","今日の練習も\n手加減しねえ！\nしっかりついてこい！","0","0","0","3","1040004","","4","0"
"91","","","","","","0","1040005","","4",""
"3","1","pkb_idle_normal_l","","","0.2","3","1040006","","4",""
"5","100","3","64","-155","57","3","1050001","1","5","pkb_idle_normal_l"
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","3","1050002","0.2","5",""
"21","0","vo_minigame_1006_top_602","0","","","vo_minigame_1006","1050003","","5",""
"11","8","おーし！\n気合いいれて\n練習すんぞー！","0","0","0","3","1050004","","5","0"
"93","","","","","","2","1050005","","5",""
"3","0","pkb_talk_handsup_l","pkb_idle_normal_l","1","0.2","3","1050006","0.2","5",""
"91","","","","","","1050004","1050007","","5",""
"3","1","pkb_idle_normal_l","","","0.2","3","1050008","","5",""
"5","100","3","64","-155","57","3","1060001","1","6","pkb_idle_normal_l"
