99e824639cb1e9166d8be074f6e93a0501296dac1082c5100e286c430703432c,0ab276cb1bf7b01d9cc06765a0bc3c491129579d26fca45eff547c08454335c5,a0a1c45f93a35d0cc2f2f573ee2b0fa627eaf9f68b1adeea408ebee8ca4c7876,812db57f499d6f2c4f8c4ae374c40e40a2c28a2791e9cdb8f6601d547f1d4038,d2895ce7e5e957ba184255bdb9e6f88227bff68b45aefcba9dd1d59918bb8b4c,e1bbdae64ca01b0caf1812f707226d8daf2c79fde5ddf21baf324728f9e751cd,e5682f173352e600a4a8e6d37bbe72ac353fb501eb2f811733ba947376dd9295,cc1221ed62d2f9a659984c8b6949e1235787b3eeee364807115dcc9197fed33b,e4916f8e4f26682e7ed810b9b0e8ba01cc3515c9d7b7c2636dac3e0c0ed15479,8e0c920c6f87b3aeef501f2e291f1f95ce2fe5cb337c4d20accbe9edd4af7053,aaaed931233e670560e56b59d4e2d44c6d143555f111cb4f7aab52afd4a332b5,e9a91f4750ae3e32c7525f5b2e1643e1e81bf7d4bf3dd2b7bdf80ce25cf50bfc,ab45a9b1e19f132020286e570efa537e245158148aa6e1cc23dfd44e8d451b1f,4da8c4655cfcf6d593040730a4a1b529784dfd77a8f3d482ebe80a4af1ceff51,4e77b56f3e51f4a50b2cf23f7afe8ac5992acc89895a6ec9aa5b62cdbc1f1684
"11002012","1","195","400","200010","400","雲をつらぬく山脈","雲海の山脈","10","501010001","0","4003001","4003002","45","31001"
"11005013","1","-110","300","200020","300","深い森の奥に存在する1本の大樹","密林の大樹","10","501010002","0","4003003","4003004","30","31002"
"11007014","1","-570","200","200030","200","断崖絶壁で発見された遺跡","断崖の遺跡","10","501010003","0","4003005","4003006","-190","31003"
"11011017","1","750","100","200040","100","大海原にそびえる謎の巨塔","蒼海の孤塔","10","501010004","0","4003007","4003008","-30","31004"
"11014014","1","465","100","200050","100","瘴気渦巻く常闇の孤峰","毒瘴の闇稜","10","501010005","0","4003009","4003010","20","31005"
"11026014","1","360","100","200060","100","厳峰に佇む竜の寝床","緑竜の骸嶺","10","501010006","0","4003011","4003012","90","31006"
"11035014","1","130","100","200070","100","天空の番人が静かに眠る聖城","天上の浮城","10","501010007","0","4003013","4003014","90","31007"
"11047014","1","-50","100","200080","100","砂の大瀑布が落ちゆく果ての都","砂瀑の底都","10","501010008","0","4003017","4003018","120","31008"
"11057014","1","-360","100","200090","100","紺碧の底に君臨する海王の城砦","紺碧の王砦","10","501010009","0","4003019","4003020","70","31009"
"11062014","1","0","100","0","0","四季彩りし霊狐の仙境","四彩の霊峰","10","501010010","0","4003021","4003022","0","31010"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","4003015","4003016","0","32001"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32002"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32003"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32004"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32005"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32006"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32007"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32008"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32009"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32010"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32011"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32012"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32013"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32014"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32015"
"0","1","0","100","0","100","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","10","0","31006","0","0","0","32016"
