939158fda773675a25e0f65727f38a78a5d2daf4283d99ffb6f98845fde48ca8,64b944c1a8c131cb26f01929a3c278c11603858b36fee586dbc8cf61995ba183,4a11da37f8f01713c9a2bff46d27173b03ca847a96c96db8de8269b615893aaf
"1","2","1"
"2","1","2"
"3","3","3"
"4","2","4"
"5","2","5"
"6","2","6"
"7","2","7"
"8","2","8"
"9","2","9"
"10","2","10"
"11","2","11"
"12","2","12"
"13","1","13"
"14","1","14"
"15","1","15"
"16","1","16"
"17","1","17"
"18","1","18"
"19","2","19"
"20","4","20"
"21","2","21"
"22","2","22"
"23","5","23"
"24","5","24"
"25","5","25"
"26","6","26"
"27","6","27"
"28","6","28"
"29","7","29"
"30","8","30"
"31","8","31"
"32","9","32"
"33","9","33"
"34","10","34"
"35","10","35"
"36","11","36"
"37","11","37"
"38","12","38"
"39","12","39"
