bcca9dd41afc7309b00a52d35ed90f182704237d40e4ca5bbd035617a1622552,c930e328ef7a9cc07d048ed93ebdb46ededc06a61af5a3dfa1aa3d84fbdf407e,bdd2faf127e985c136b77db2a349a9ece51a789c122fa7eb4a2917bf84a1d373,ac3e2fa4e9c55bacfa44414cc4330221baeb337ac9f17c6649cc0b540ce92ff8,6f5d039569ad77ed62871c2748128cbacdaaa5179f073e17926be23d4d9074e2,94e4757bc21b85d461e1d8ae77aef1fc0f874960735518761befc835f0d7614f,f92674e1c8817cb41a931cc9572d08aa9b147de106e7ce93350c97b318fd4b19,83c686ca2608c9883d78b7fc8924932ce3858ee8c64b02018705b83966ec3c50,7005af488e875c9c728f0c9d3b7ef14326718380f3bac8790d9b83201bb62e2d,cdaaa93283925879f4a55863e3ecf92efda5c227db41f86f02af1b4328ab0cb3,120242d9be583fcc0016724614a11831cf1d36d253fd343351b56bd68c617cec,0c8ab5a402d31e78874aa8d0259a3d1de6bbdb67a9a6bb71e7e03cf497021dc0,8d7f1a4cb86c2866111ffd383ba7695e3c4a5708ef7ede919aacf4d26e9a4710,80ee6a7732abeae0aa45d4eab8e765828258785097c501a88e4a4479d1e3161d,693f001ff6de7d5c0bc3f80ba465c376e6ecaeec09f4086136ad19d783abca22
"81010001","2019/01/18 14:59:59","10010","0","81010001","9001","0","0","3","ユイ、レイ、ヒヨリのシャドウを倒そう","601","2018/12/31 12:00:00","6011","0","103"
"81010002","2019/01/18 14:59:59","10010","0","81010002","9014","0","0","36","ボンノウを36個討滅しよう","601","2018/12/31 12:00:00","6011","0","104"
"81010003","2019/01/18 14:59:59","10010","0","81010003","9014","0","0","72","ボンノウを72個討滅しよう","601","2018/12/31 12:00:00","6011","0","105"
"81010004","2019/01/18 14:59:59","10010","0","81010004","9014","0","0","108","ボンノウを108個討滅しよう","601","2018/12/31 12:00:00","6011","0","106"
"81010005","2019/01/18 14:59:59","10010","0","81010005","9013","0","0","500000","スペシャルバトルのボスのHPを1080000まで減らそう","601","2018/12/31 12:00:00","6011","0","111"
"81010006","2019/01/18 14:59:59","10010","0","81010006","9013","0","0","1040000","スペシャルバトルのボスのHPを540000まで減らそう","601","2018/12/31 12:00:00","6011","0","113"
"81010007","2019/01/18 14:59:59","10010","0","81010007","9013","0","0","1580000","スペシャルバトルのボスを討滅しよう","601","2018/12/31 12:00:00","6011","0","115"
"81011001","2019/02/18 14:59:59","10011","0","81011001","9013","0","0","500000","スペシャルバトルのボスのHPを5000000まで減らそう","601","2019/01/31 12:00:00","6011","0","103"
"81011002","2019/02/18 14:59:59","10011","0","81011002","9013","0","0","1500000","スペシャルバトルのボスのHPを4000000まで減らそう","601","2019/01/31 12:00:00","6011","0","104"
"81011003","2019/02/18 14:59:59","10011","0","81011003","9013","0","0","1650000","スペシャルバトルのモード1をクリアしよう","601","2019/01/31 12:00:00","6011","0","105"
