be639e3d1340de2e943968912ece62f475bc564c912c61c901cc605ba986d8be,909b57dc9f781e24ccd937f78d2a42455cbfb1ca78050afb506938c9bac27f05,3e15a5c5a63fea29c06e4d718249b96ef4187b5aca336086dae27039cd8042c9,ea0a2cbe7587b08703b9dbe14ff55db2fdff1a8fa78b68e5613d5eee5d087576,11c117e4139d7667a55d7924f5e40afe5228a45077887e1056e384d2f0d55c1d,207f13d2d3e421a6181519d7469388d18c792287c986857fc30e41105e1e03d0
"1","1013206","118001","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"2","1013206","118001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00"
"3","1013206","118001","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00"
"4","1013206","105801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"5","1013206","105801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00"
"6","1013206","105801","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00"
"7","1013206","107501","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"8","1013206","107501","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00"
"9","1013206","107501","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00"
"10","1013206","111801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00"
"11","1013206","111801","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"13","1013206","121001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00"
"14","1013206","121001","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"16","1013206","180401","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"17","1013206","180401","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00"
"18","1013206","180401","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00"
"19","1013206","127901","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/11/30 12:00:00"
"20","1013206","127901","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"21","1013406","106601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"22","1013406","106601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"23","1013406","101401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"24","1013406","101401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"25","1013406","101201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
