91c24584f0be47103aa3393e59595f25ae7ba94679d917e9991733578351c807,82d43eae85ccf9efca420e345827092a8cac1a3f7227a6ae73dd390dcb05dd45,49969a7a299e2c4513e90273d8dd05644da09c479890343fb4d1adc1847b97eb,2e13a7e5261f963c0c2a4b5facdea8c2e52d8d2050f37b67381298cf423debcb,bcee9bcbfbc2c7edd8a22c0f408f3fbf5aff619b004185a9937c17d8e5bfad51,395fc4615ef3b0d563c72bda35989998aceb75841178cde5c36e8ac8ec99ed00,33f45167d337908258d4cabd19bfd244cd5509f570e3f0a1aae96c860fb263a0,33503e56870a2e8d00d1ed649e732bbaa1429df297d2f3f52581b2f7919e447c,df371762ec7282ae8faf079ed8a22dd977246aa5860fafbac550413bf3ecd252,0843971c589a2af4e4967408d159c25d9a6b3a1240262afecfca97582b391073
"0","0","10","90001","10000","1","1","90043","12000","30000"
"0","0","20","90002","10000","2","2","90047","24000","30000"
"0","0","20","90002","10000","3","3","90047","24000","30000"
"0","0","20","90002","10000","4","4","90047","24000","30000"
"0","0","20","90002","10000","5","5","90047","24000","30000"
"0","0","20","90002","10000","6","6","90047","24000","30000"
"0","0","20","90002","10000","7","7","90047","24000","30000"
"0","0","20","90002","10000","8","8","90047","24000","30000"
"0","0","20","90002","10000","9","9","90047","24000","30000"
"1","0","20","90002","10000","10","10","90047","24000","30000"
"2","90011","40","90003","10000","11","11","90051","48000","30000"
"3","90011","40","90003","10000","12","12","90051","48000","30000"
"4","90011","40","90003","10000","13","13","90051","48000","30000"
"5","90011","40","90003","10000","14","14","90051","48000","30000"
"6","90011","40","90003","10000","15","15","90051","48000","30000"
"7","90011","40","90003","10000","16","16","90051","48000","30000"
"8","90011","40","90003","10000","17","17","90051","48000","30000"
"9","90011","40","90003","10000","18","18","90051","48000","30000"
"10","90011","40","90003","10000","19","19","90051","48000","30000"
"11","90011","40","90003","10000","20","20","90051","48000","30000"
"12","90015","60","90004","10000","21","21","90055","72000","30000"
"13","90015","60","90004","10000","22","22","90055","72000","30000"
"14","90015","60","90004","10000","23","23","90055","72000","30000"
"15","90015","60","90004","10000","24","24","90055","72000","30000"
"16","90015","60","90004","10000","25","25","90055","72000","30000"
"17","90015","60","90004","10000","26","26","90055","72000","30000"
"18","90015","60","90004","10000","27","27","90055","72000","30000"
"19","90015","60","90004","10000","28","28","90055","72000","30000"
"20","90015","60","90004","10000","29","29","90055","72000","30000"
"21","90015","60","90004","10000","30","30","90055","72000","30000"
"22","90015","80","90005","10000","31","31","90059","96000","30000"
"23","90015","80","90005","10000","32","32","90059","96000","30000"
"24","90015","80","90005","10000","33","33","90059","96000","30000"
"25","90015","80","90005","10000","34","34","90059","96000","30000"
"26","90015","80","90005","10000","35","35","90059","96000","30000"
"27","90015","80","90005","10000","36","36","90059","96000","30000"
"28","90015","80","90005","10000","37","37","90059","96000","30000"
"29","90015","80","90005","10000","38","38","90059","96000","30000"
"30","90015","80","90005","10000","39","39","90059","96000","30000"
"31","90015","80","90005","10000","40","40","90059","96000","30000"
"33","90017","120","90005","10000","41","41","90063","144000","30000"
"35","90017","120","90005","10000","42","42","90063","144000","30000"
"37","90017","120","90005","10000","43","43","90063","144000","30000"
"39","90017","120","90005","10000","44","44","90063","144000","30000"
"41","90017","120","90005","10000","45","45","90063","144000","30000"
"43","90017","120","90005","10000","46","46","90063","144000","30000"
"45","90017","120","90005","10000","47","47","90063","144000","30000"
"47","90017","120","90005","10000","48","48","90063","144000","30000"
"49","90017","120","90005","10000","49","49","90063","144000","30000"
"51","90017","120","90005","10000","50","50","90063","144000","30000"
"53","90019","150","90006","10000","51","51","90067","180000","30000"
"55","90019","150","90006","10000","52","52","90067","180000","30000"
"57","90019","150","90006","10000","53","53","90067","180000","30000"
"59","90019","150","90006","10000","54","54","90067","180000","30000"
"61","90019","150","90006","10000","55","55","90067","180000","30000"
"63","90019","150","90006","10000","56","56","90067","180000","30000"
"65","90019","150","90006","10000","57","57","90067","180000","30000"
"67","90019","150","90006","10000","58","58","90067","180000","30000"
"69","90019","150","90006","10000","59","59","90067","180000","30000"
"71","90019","150","90006","10000","60","60","90067","180000","30000"
"74","90021","180","90007","10000","61","61","90071","216000","30000"
"77","90021","180","90007","10000","62","62","90071","216000","30000"
"80","90021","180","90007","10000","63","63","90071","216000","30000"
"83","90021","180","90007","10000","64","64","90071","216000","30000"
"86","90021","180","90007","10000","65","65","90071","216000","30000"
"89","90021","180","90007","10000","66","66","90071","216000","30000"
"92","90021","180","90007","10000","67","67","90071","216000","30000"
"95","90021","180","90007","10000","68","68","90071","216000","30000"
"98","90021","180","90007","10000","69","69","90071","216000","30000"
"101","90021","180","90007","10000","70","70","90071","216000","30000"
