021b06802d82f85934d7702a1618601ad99a5038ab34769594aede85ccbe1e7d,099efbc548cf90ee0ce710fa5998323b7af7607c01bf164f548c7b75b465485c,cb984853f28122669588179e6105f6f42ba3d0799a70156e47851553c8026767,ad6902b60d6452e13eccac27842188562e3e80bc7bb7a10fdaf058fd409d4dfd,ca4743cf0467e76a0456422fae1d3f39a9a434fecbe134d0734e1fb272ed705f,b111edadd8e4ba4060bfa57199a0f0ecceadd924ea19eed27b2fc53bc1fa7bd4,d0a52b80768c4a58eb6f7437a3398aba427762e7673f3a8d40089ddeaedaa862,d28dc1dab44f8a2b3b1742094801d40f68b21f14335ffcbec95fe6d1291a22be,3baa9478dd3a8e02a53ef966d582cc6d8dbf59074b841881711a97b6966b0119,07badbc9f16e2d14c86a904a21e442b74d6ead6677b2a90c55a7e239ca068dfd,3db877a416b9d16ba518e7fc3f8894db84bdce9621ddfdb6be4615d311f2acc7,f43be1e533ff5829549392648afa2e2fb2b4472c74d171123145dfb55b8ef36b,40777a1b6045ea659c8a0bddbf03c6041133727e96c7e14a558b84cbf47d9b8a
"いのしし","いぬ","0","0","0","1","0","おおかみ","0","0","1","3110001","ぶた"
"二","四","0","0","0","1","0","一","0","0","1","3110002","三"
"九","七","0","1","0","1","0","十","0","0","1","3110003","八"
"要","也","0","0","0","1","0","花","0","0","1","3110004","亭"
"ぱかぱか","もぐもぐ","0","0","0","1","0","めそめそ","0","0","1","3110006","がつがつ"
"ものがへこむ","批判をする","0","0","0","1","0","犬の鳴き声","0","0","1","3110007","針で縫う"
"十","口","0","1","0","0","0","田","0","0","1","3110009","木"
"だが","よって","0","0","0","1","0","しかし","0","0","1","3110010","それで"
"身長な行動","身長が伸びる","0","0","0","1","0","服を身長する","0","0","1","3110011","身長をはかる"
"鼻血（はなじ）","自信（じしん）","0","0","0","1","0","身近（みじか）","0","0","1","3110012","地面（じめん）"
"ば","さ","0","0","0","1","0","ま","0","0","1","3110013","た"
"金","火","0","0","0","1","0","土","0","0","1","3110015","月"
"ストライク","クイーン","0","0","0","1","0","プリンセス","0","0","1","3111001","ブレイド"
"オール","エクスプロージョン","0","0","0","1","0","ヒール","0","0","1","3111002","アタック"
"G","J","0","0","1","1","0","F","0","0","0","3120001","H"
"めおと","ふじん","0","0","0","1","0","ふうふ","0","0","1","3120002","ふさい"
"礼","酒","0","1","0","1","0","無","0","0","1","3120006","講"
"王","四","0","1","0","1","0","天","0","0","1","3120007","山"
"空","想","0","1","0","1","0","絵","0","0","1","3120008","事"
"トマト","カボチャ","0","0","0","1","0","ナス","0","0","1","3120010","アスパラガス"
"盆","夏","0","1","1","1","0","新年","0","0","0","3120011","春"
"西","南","0","0","0","1","0","瓜","0","0","1","3120012","東"
"豚に真珠","鬼に金棒","0","1","0","1","0","猫に小判","0","0","1","3120013","馬の耳に念仏"
"半","全","0","1","0","1","0","自","0","0","0","3120014","傍"
"る","ろす","0","1","1","0","0","しい","0","0","1","3120015","がる"
"いらっしゃる","なさる","0","1","0","1","0","存じ上げる","0","0","0","3120016","申し上げる"
"クソ猫","クソ眼鏡","0","0","0","1","0","ロリババア","0","0","1","3121001","クソエルフ"
"クリエイション","アヴァロン","0","0","0","1","0","オブジェクト","0","0","1","3121002","ミラー"
"梅","倍","0","0","0","1","0","塩","0","0","1","3130001","暗"
"夏","冬","0","1","1","1","0","春","0","0","0","3130002","秋"
"四面楚歌","良妻嫌母","0","0","0","1","0","前代未聞","0","0","1","3130004","五里夢中"
"公明正大","一期一得","0","0","0","1","0","無我夢中","0","0","1","3130005","自我自賛"
"山止水明","単刀直入","0","1","0","1","0","怪刀乱麻","0","0","1","3130006","危機一発"
"三位一体","興味深々","0","1","0","1","0","以心伝心","0","0","1","3130007","意気消沈"
"念","温","0","1","0","1","0","朴","0","0","1","3130010","仁"
"壇","独","0","1","0","1","0","土","0","0","1","3130011","場"
"楽","雑","0","1","0","1","0","我","0","0","1","3130013","多"
"まめ","ただみ","0","0","0","1","0","ちゅうじつ","0","0","1","3130014","りちぎ"
"もずく","たまねぎ","0","0","0","1","0","わかめ","0","0","1","3130016","たけのこ"
