114df293d667e1a290b3480f499ddfbce1eb963786fafd7e579c1cd39583a2f1,2435dcfa059e27b1d1594a2e84cd65c50384d8aa2ce22d9bfcb6beeb4d1ac5ad,f846b36c29ec01548b393e87cbd2257dae753c3e1351d3a2d4631a6b982702ab,8a2d9d264a81c7c62bfcb597f47a69ecf88eacd6c8eea0bf225e68b7bc612e30,e243b000cde748c1a531d8a6a890caab8bdbf35713c7aec8c7f8b0ed87e10e37,8e4982951d9d504c5190397fdcb14f0f5089e98863b69809cff6aa3f85368a68,4f20356361377ae5651a6e2e754320d4e4e26f3bd9fc393419d034f2e7fe4704,bb855ca640379480e89ec6c493c78fc9a459a96bfa423317260964f87bb3de69,1432e457e72fa8f92644919a9a54ed9d8151348ffd1d7ab8b00bb1cfdc128b7b,c40f01bd40d23811f189b7f37df5486586577dcdf56b48209d24b26599b43a3b,3341b9859546e766f440dff1d08ecd5e83e20796694ed456c4b7ece08dda11ea
"102611","1","ttk_idle_def","100","5","-120","850","1","1","1010001","1"
"2","","","0","31","1","0","1","1","1010002","2"
"1","","","-120","31","1","-80","1","1","1010003","1"
"","","","","93","","","","1","1010004","1"
"vo_minigame_1005_top_000","","","0","21","","0","","1","1010005","vo_minigame_1005"
"ttk_doya","0.3","","ttk_idle_doya","3","1","0","0.3","1","1010006","102611"
"任された仕事は\nきちんとやるよ","0","","","11","","8","0","1","1010007","102611"
"","","","","91","","","","1","1010008","0"
"102611","1","ttk_idle_def","100","5","-120","850","1","2","1020001","1"
"2","","","0","31","1","0","1","2","1020002","2"
"1","","","-120","31","1","-80","1","2","1020003","1"
"","","","","93","","","","2","1020004","1"
"vo_minigame_1005_top_001","","","0","21","","0","","2","1020005","vo_minigame_1005"
"ttk_idle_smile","0.3","","ttk_idle_def","3","1","0","0.3","2","1020006","102611"
"あたしの前に\n現れたこと\n後悔させてあげる","0","","","11","","8","0","2","1020007","102611"
"","","","","91","","","","2","1020008","0"
"102611","1","ttk_idle_def","100","5","-120","850","1","3","1030001","1"
"2","","","0","31","1","0","1","3","1030002","2"
"1","","","-120","31","1","-80","1","3","1030003","1"
"","","","","93","","","","3","1030004","1"
"vo_minigame_1005_top_002","","","0","21","","0","","3","1030005","vo_minigame_1005"
"ttk_joy","0.3","","ttk_idle_joy","3","1","0","0.1","3","1030006","102611"
"コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","0","","","11","","8","0","3","1030007","102611"
"","","","","93","","","","3","1030008","2.2"
"ttk_talk_sad","0.3","","","3","","1","0.3","3","1030009","102611"
"","","","","93","","","","3","1030010","3"
"ttk_idle_def","0.3","","","3","","1","0.3","3","1030011","102611"
"","","","","91","","","","3","1030012","0"
"102611","1","ttk_idle_def","100","5","-120","850","1","4","1040001","1"
"2","","","0","31","1","0","1","4","1040002","2"
"1","","","-120","31","1","-80","1","4","1040003","1"
"","","","","93","","","","4","1040004","1"
"vo_minigame_1005_top_003","","","0","21","","0","","4","1040005","vo_minigame_1005"
"ttk_shock","0.3","","ttk_idle_shock","3","1","0","0.3","4","1040006","102611"
"ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","0","","","11","","8","0","4","1040007","102611"
"","","","","93","","","","4","1040008","5"
"ttk_idle_def","0.3","","","3","","1","0.3","4","1040009","102611"
"","","","","93","","","","4","1040010","0.7"
"102611","1","ttk_idle_def","100","5","-120","850","1","5","1050001","1"
"2","","","0","31","1","0","1","5","1050002","2"
"1","","","-120","31","1","-80","1","5","1050003","1"
"","","","","93","","","","5","1050004","1"
"vo_minigame_1005_top_004","","","0","21","","0","","5","1050005","vo_minigame_1005"
"ttk_surprise","0.3","","","3","","0","0.3","5","1050006","102611"
"うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","0","","","11","","8","0","5","1050007","102611"
"","","","","93","","","","5","1050008","0.9"
"ttk_talk_anger","0.3","","","3","","1","0.3","5","1050009","102611"
"","","","","93","","","","5","1050010","0.8"
"ttk_sad","0.3","","ttk_talk_sad","3","1","0","0.3","5","1050011","102611"
"","","","","93","","","","5","1050012","5"
"ttk_idle_def","0.3","","","3","","1","0.3","5","1050013","102611"
"","","","","91","","","","5","1050014","0"
"102611","1","ttk_idle_def","100","5","-120","850","1","6","1060001","1"
"2","","","0","31","1","0","1","6","1060002","2"
"1","","","-120","31","1","-80","1","6","1060003","1"
"","","","","93","","","","6","1060004","1"
"vo_minigame_1005_top_005","","","0","21","","0","","6","1060005","vo_minigame_1005"
"ttk_idle_worry","0.3","","","3","","1","0.3","6","1060006","102611"
"こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","0","","","11","","8","0","6","1060007","102611"
"","","","","93","","","","6","1060008","7"
"ttk_amz","0.3","","ttk_idle_def","3","1","0","0.3","6","1060009","102611"
"","","","","91","","","","6","1060010","0"
