48e3b41d3c6ef905d5da1054b2b2b70ea21292bb63bb7229bda79b43d85fdbb6,24b81176f557c3cbfb001e2d5b7207d636bd83a3995248eb696e08a227b31c14,71b67c68af8d0ccec2554edd797de775d3d95c7f95ea99e125f599271095eb92,df54f4d61c7621f9eaebd24235748635d3725fc7a42587301817c189310d60ad,acea3e46f7b75ff9e1a3ae56c231e5c158f964bcd23ac0aed091594ceeee4b1e,47be2b0fc4f8a7f626b9b17f47f06964d76f5f5a10bdf8930a25b84a5fe97824,48aa8ed7b08320c6e9f44e59a7d23f3bac14602702905944617aac6ef204960c,06ca03f2efb663bfa5dfec97e12e5a6c20a820bbaeb3a90ce348394079a576b0,82cff6836a14945a0d9b951bba77d3a170899264f139edee06366a046bfd353a,2759a75f81e9525948b5c978a47d6667bf96d239f3a3bf32372b43cce1c7bf58,8234059c92d5d47f17b7ae5cba974f634aa5260c489f5bfc01f9f424ec8f459c,f7ce7d1f714164124406b772efda8192444d71ed1801396d743ceffb8eb28c0a,3743371c68eb6a157179fc68fecd7856ffca3c6c8c9dce7a2bf5ba0308bbea10,b3caa8ad0f333d6a1f0a1cbc8ffde3dee1b24736e777d4033125f158cf061b9a,699767d543e307aa6565e13379eb148695dabf7d97c4641bc64f54a45863b840,6849aaeb34f92cd617bb7fbbed322e394e5ae000530ff4b36142c2eee5305aa5
"20000","0","12","1","1","プリンを15種類食べよう","0","0","0","0","0","0","15","0","94002","0"
"30000","0","12","2","1","プリンを30種類食べよう","0","0","0","0","0","0","30","0","94002","0"
"50","0","8","3","1","プリンを40種類食べよう","0","0","0","0","0","0","40","0","91002","0"
"50000","0","12","4","1","プリンを50種類食べよう","0","0","0","0","0","0","50","0","94002","0"
"50","0","8","5","1","プリンを55種類食べよう","0","0","0","0","0","0","55","0","91002","0"
"100000","0","12","6","1","プリンを60種類食べよう","0","0","0","0","0","0","60","0","94002","0"
"1","91002","15","7","1","プリンを全66種類食べよう","0","0","0","0","0","100","66","0","11001164","8"
"50000","0","12","8","2","プリンノートを25％コンプリートしよう","0","0","0","0","0","0","25","0","94002","0"
"50","0","8","9","2","プリンノートを50％コンプリートしよう","0","0","0","0","0","0","50","0","91002","0"
"100000","0","12","10","2","プリンノートを75％コンプリートしよう","0","0","0","0","0","0","75","0","94002","0"
"1","11001165","16","11","2","プリンノートを100％コンプリートしよう","8","91002","0","0","100","1","100","0","9000100","15"
