125778d917a9c3b12a70ed8c4c3401dd8ea8348749ac1f1dd34cc917c27295e9,1cb7a42d04a028a00e2779dc488b618fa4463d6cc518e0ac97d6eb4ec5430d50,97f3283f355d784744cc4c1253a2e6a1fc55dcc5e25449d230e7dd97ab58edba,37c2bdf54cfe5aa6ecc7b017378b0983baba53fad4b0e66d55a1b116f80f5874,66cc01c16589fa2990040f3598cfc29cdf47feb70e68b28a5a2294a2e3cc2788,9c7c0195b50b15323764419e730a4559653aa5f39b3ef82aceb2d23a65ec4353,36bbb7efed226e206abb45447dea8bdd2797c246a6cdb1e262eeb0432f605eea
"306700","1","1","81001105","0","1001101","0"
"306700","1","1","81001106","0","1001102","0"
"306800","1","1","81001205","0","1001201","0"
"306800","1","1","81001206","0","1001202","0"
"307000","1","1","81001305","0","1001301","0"
"307000","1","1","81001306","0","1001302","0"
"307500","1","1","81001405","0","1001401","0"
"307500","1","1","81001406","0","1001402","0"
"307300","1","1","81001505","0","1001501","0"
"307300","1","1","81001506","0","1001502","0"
"307700","1","1","81001605","0","1001601","0"
"307700","1","1","81001606","0","1001602","0"
"307400","1","1","81001705","0","1001701","0"
"307400","1","1","81001706","0","1001702","0"
"307900","1","1","81001805","0","1001801","0"
"307900","1","1","81001806","0","1001802","0"
"307800","1","1","81001905","0","1001901","0"
"307800","1","1","81001906","0","1001902","0"
"308100","1","1","81002005","0","1002001","0"
"308100","1","1","81002006","0","1002002","0"
"308000","1","1","81002101","0","1002101","0"
"308000","1","1","81002102","0","1002102","0"
"308300","1","1","81002205","0","1002201","0"
"308300","1","1","81002206","0","1002202","0"
"308200","1","1","81002301","0","1002301","0"
"308200","1","1","81002302","0","1002302","0"
"304705","1","1","81002405","0","1002401","0"
"304705","1","1","81002406","0","1002402","0"
"308400","1","1","81002501","0","1002501","0"
"308400","1","1","81002502","0","1002502","0"
"305004","1","1","81002605","0","1002601","0"
"305004","1","1","81002606","0","1002602","0"
"308600","1","1","81002701","0","1002701","0"
"308600","1","1","81002702","0","1002702","0"
"305205","1","1","81002805","0","1002801","0"
"305205","1","1","81002806","0","1002802","0"
"309300","1","1","81002901","0","1002901","0"
"309300","1","1","81002902","0","1002902","0"
"305500","1","1","81003005","0","1003001","0"
"305500","1","1","81003006","0","1003002","0"
"310000","1","1","81003101","0","1003101","0"
"310000","1","1","81003102","0","1003102","0"
"306000","1","1","81003205","0","1003201","0"
"306000","1","1","81003206","0","1003202","0"
"310300","1","1","81000605","0","1003301","0"
"310300","1","1","81003301","0","1003302","0"
"306700","1","1","81001105","0","1003401","0"
"306700","1","1","81001106","0","1003402","0"
"310500","2.5","2.5","100021","0","1003501","0"
"310500","2.5","2.5","100531","0","1003502","0"
"310600","0.4","0.4","81003601","0","1003601","0"
"310600","0.4","0.4","81003602","0","1003602","0"
"306800","1","1","81001205","0","1003701","0"
"306800","1","1","81001206","0","1003702","0"
"310700","1.2","1.2","81003801","0","1003801","0"
"310700","1.2","1.2","81003802","0","1003802","0"
"307000","1","1","81001305","0","1003901","0"
"307000","1","1","81001306","0","1003902","0"
"310800","1","1","81004001","0","1004001","0"
"310800","1","1","81004002","0","1004002","0"
"307300","1","1","81001505","0","1004101","0"
"307300","1","1","81001506","0","1004102","0"
"311100","1","1","81004201","0","1004201","0"
"311100","1","1","81004202","0","1004202","0"
"307800","1","1","81001905","0","1004301","0"
"307800","1","1","81001906","0","1004302","0"
"311300","1","1","81004401","0","1004401","0"
"311300","1","1","81004402","0","1004402","0"
"308000","1","1","81002101","0","1004501","0"
"308000","1","1","81002102","0","1004502","0"
"311400","1","1","81004601","0","1004601","0"
"311400","1","1","81004602","0","1004602","0"
"308200","1","1","81002301","0","1004701","0"
"308200","1","1","81002302","0","1004702","0"
"311500","1","1","81002405","0","1004801","0"
"311500","1","1","81002406","0","1004802","0"
"308400","1","1","81002501","0","1004901","0"
"308400","1","1","81002502","0","1004902","0"
"311600","1.4","1.4","81005001","0","1005001","-28"
"311600","1.4","1.4","81005002","0","1005002","-28"
"308600","1","1","81002701","0","1005101","0"
"308600","1","1","81002702","0","1005102","0"
"312100","1","1","81000605","0","1005201","0"
"312100","1","1","81003301","0","1005202","0"
"307400","1","1","81001705","0","1005301","0"
"307400","1","1","81001706","0","1005302","0"
"312200","1","1","81003005","0","1005401","0"
"312200","1","1","81003006","0","1005402","0"
"309300","1","1","81002901","0","1005501","0"
"309300","1","1","81002902","0","1005502","0"
"312300","1","1","81005601","0","1005601","0"
"312302","1","1","81005602","0","1005602","0"
"310000","1","1","81003101","0","1005701","0"
"310000","1","1","81003102","0","1005702","0"
"312600","1.75","1.75","100021","0","1005801","0"
"312600","1.75","1.75","100531","0","1005802","0"
"312700","1","1","101821","0","1005901","0"
"312700","1","1","101841","0","1005902","0"
"310300","1","1","81000605","0","1006001","0"
"310300","1","1","81003301","0","1006002","0"
"312800","0.65","0.65","81006101","0","1006101","-27"
"312800","0.65","0.65","81006102","0","1006102","-27"
"310500","2.5","2.5","100021","0","1006201","0"
"310500","2.5","2.5","100531","0","1006202","0"
"310600","0.4","0.4","81003601","0","1006301","0"
"310600","0.4","0.4","81003602","0","1006302","0"
"313200","1","1","81006401","0","1006401","-30"
"313200","1","1","81006402","0","1006402","-30"
"310700","1.2","1.2","81003801","0","1006501","0"
"310700","1.2","1.2","81003802","0","1006502","0"
"313100","0.7","0.7","81006601","0","1006601","-25"
"313100","0.7","0.7","81006602","0","1006602","-25"
"310800","1","1","81004001","0","1006701","0"
"310800","1","1","81004002","0","1006702","0"
"313300","1.25","1.25","81006801","0","1006801","-26"
"313300","1.25","1.25","81006802","0","1006802","-26"
"311100","1","1","81004201","0","1006901","0"
"311100","1","1","81004202","0","1006902","0"
"314001","1.25","1.25","81007001","0","1007001","-30"
"314002","1.25","1.25","81007002","0","1007002","-30"
"311300","1","1","81004401","0","1007101","0"
"311300","1","1","81004402","0","1007102","0"
"314100","0.77","0.77","81007201","0","1007201","-27"
"314100","0.77","0.77","81007202","0","1007202","-27"
"311400","1","1","81004601","0","1007301","0"
"311400","1","1","81004602","0","1007302","0"
"314200","1.33","1.33","81007401","0","1007401","-33"
"314200","1.33","1.33","81007402","0","1007402","-33"
"311500","1","1","81002405","0","1007501","0"
"311500","1","1","81002406","0","1007502","0"
"314300","1.7","1.7","81007601","0","1007601","-20"
"314300","1.7","1.7","81007602","0","1007602","-20"
"311600","1.4","1.4","81005001","0","1007701","-28"
"311600","1.4","1.4","81005002","0","1007702","-28"
"314400","1.25","1.25","81007801","0","1007801","-33"
"314400","1.25","1.25","81007802","0","1007802","-33"
"312100","1","1","81000605","0","1007901","0"
"312100","1","1","81003301","0","1007902","0"
"314500","1","1","81003006","0","1008001","-20"
"314500","1","1","81008002","0","1008002","-20"
"312200","1","1","81003005","0","1008101","0"
"312200","1","1","81003006","0","1008102","0"
"314600","1.6","1.6","81003205","0","1008201","-25"
"314600","1.6","1.6","81003206","0","1008202","-25"
"312300","1","1","81005601","0","1008301","0"
"312302","1","1","81005602","0","1008302","0"
"314700","1","1","100111","0","1008401","0"
"314700","1","1","100431","0","1008402","0"
"314800","0.9","0.9","81008501","0","1008501","0"
"314800","0.9","0.9","81008504","0","1008502","0"
"312600","1.75","1.75","100021","0","1008601","0"
"312600","1.75","1.75","100531","0","1008602","0"
"312700","1","1","101821","0","1008701","0"
"312700","1","1","101841","0","1008702","0"
"315100","0.8","0.8","81008801","0","1008801","-20"
"315100","0.8","0.8","81008802","0","1008802","-20"
"312800","0.65","0.65","81006101","0","1008901","-27"
"312800","0.65","0.65","81006102","0","1008902","-27"
"315400","0.85","0.85","102994","0","1009001","-25"
"315400","0.85","0.85","102997","0","1009002","-25"
"313200","1","1","81006401","0","1009101","-30"
"313200","1","1","81006402","0","1009102","-30"
"316000","0.95","0.95","103021","0","1009201","-20"
"316000","0.95","0.95","103011","0","1009202","-20"
"313100","0.7","0.7","81006601","0","1009301","-25"
"313100","0.7","0.7","81006602","0","1009302","-25"
"316200","1.5","1.5","102091","0","1009401","-20"
"316200","1.5","1.5","102111","0","1009402","-20"
"313300","1.25","1.25","81006801","0","1009501","-26"
"313300","1.25","1.25","81006802","0","1009502","-26"
"316300","0.77","0.77","102591","0","1009601","-27"
"316300","0.77","0.77","102601","0","1009602","-27"
"314001","1.25","1.25","81007001","0","1009701","-30"
"314002","1.25","1.25","81007002","0","1009702","-30"
"316400","0.8","0.8","81000405","0","1009801","-27"
"316400","0.8","0.8","81000406","0","1009802","-27"
"314100","0.77","0.77","81007201","0","1009901","-27"
"314100","0.77","0.77","81007202","0","1009902","-27"
"316500","0.95","0.95","81010001","0","1010001","-20"
"316500","0.95","0.95","81010002","0","1010002","-20"
"314200","1.33","1.33","81007401","0","1010101","-33"
"314200","1.33","1.33","81007402","0","1010102","-33"
"316700","0.8","0.8","81010201","0","1010201","-27"
"316700","0.8","0.8","81010202","0","1010202","-27"
"314300","1.7","1.7","81007601","0","1010301","-20"
"314300","1.7","1.7","81007602","0","1010302","-20"
"318000","1","1","100091","0","1010401","-20"
"318000","1","1","100381","0","1010402","-20"
"314400","1.25","1.25","81007801","0","1010501","-33"
"314400","1.25","1.25","81007802","0","1010502","-33"
"318200","1","1","101361","0","1010601","-27"
"318200","1","1","102961","0","1010602","-27"
"314500","1","1","81003006","0","1010701","-20"
"314500","1","1","81008002","0","1010702","-20"
"318100","1.1","1.1","81001505","0","1010801","-17"
"318100","1.1","1.1","81010802","0","1010802","-17"
"314600","1.6","1.6","81003205","0","1010901","-25"
"314600","1.6","1.6","81003206","0","1010902","-25"
"318500","0.7","0.7","101581","0","1011001","-25"
"318500","0.7","0.7","103141","0","1011002","-25"
"318600","0.92","0.92","103151","0","1011101","-28"
"318600","0.92","0.92","103161","0","1011102","-28"
"314700","1","1","100111","0","1011201","0"
"314700","1","1","100431","0","1011202","0"
"314800","0.9","0.9","81008501","0","1011301","0"
"314800","0.9","0.9","81008504","0","1011302","0"
"318300","1.1","1.1","81011401","0","1011401","-27"
"318300","1.1","1.1","81011402","0","1011402","-27"
"315100","0.8","0.8","81008801","0","1011501","-20"
"315100","0.8","0.8","81008802","0","1011502","-20"
"318800","1.18","1.18","102091","0","1011601","0"
"318800","1.18","1.18","102111","0","1011602","0"
"315400","0.85","0.85","102994","0","1011701","-25"
"315400","0.85","0.85","102997","0","1011702","-25"
