86cd6fd996df28b3e9dd039e107be60ddfa4afc7df3ddd0d3162c7fa7d0f8b4f,23e7ae2182925f65369b7e2d5f52735e06751103bfae8dcde7b1863adf728a50,54d8508646b0befad55c73a83ed7fa510da0bb9f5c2250cad855139fedc35aca,88077d1a41aadde57bc15a574bbc198357bde4ec84cf12220079bd81f2d4b716,90c83341847fc5cc948b08e182d0dc0fdcc95679c6ea45fb0a63a84d2af623c7,d1fccc6e94890a5fde83b6b41f0a0e9957304f07011644012505c902efef536e,66e19d266201d9f9bfd68c55002bf39421ecd9ee1160fc4d1bd4001c22b56e47
"1101","2","2","0","11011","ギルド管理協会です！どんなお仲間をお探しですか？","11012"
"1102","2","2","0","11021","ギルド管理協会です！どんなお仲間をお探しですか？","11022"
"1103","2","2","0","11031","ギルド管理協会です！どんなお仲間をお探しですか？","11032"
"1104","2","2","0","11041","ギルド管理協会です！どんなお仲間をお探しですか？","11042"
"1105","4","4","0","11051","魔物たちが集まる闘技場を見つけた！","11052"
"1107","7","7","11071","11073","不思議な石板を発見！どうする？","11072"
"1108","8","8","0","11082","ダンジョンで迷った！どっちに進む？","11081"
"1109","4","4","0","11091","魔物たちが集まる闘技場を見つけた！","11092"
"1110","3","3","11103","11101","じゃんけん……ぽん！","11102"
"1111","10","10","0","11111","箱の中から声が聞こえる……","11112"
"1112","11","11","0","11121","イベント会場に魔物が現れた！","11122"
"1113","4","4","0","11131","魔物たちが集まる闘技場を見つけた！","11132"
"1117","4","4","0","11171","魔物たちが集まる闘技場を見つけた！","11172"
"1314","5","5","0","13141","釣りスポットを発見！","0"
"1315","9","9","0","13151","絶好のピクニック日和だ！","0"
"1316","6","6","0","13161","スロットマシンだ！挑戦する？","0"
"2314","5","5","0","23141","ラッキー！もう一回釣れるぞ！","0"
"2315","9","9","0","23152","料理ができた！でも、まだ材料はあるぞ！","23151"
"2316","6","6","0","23162","もう一勝負だ！","23161"
"3314","5","5","0","33141","ラストもう一回！","0"
"3315","9","9","0","33152","完璧！でも、まだまだ材料はあるぞ！","33151"
"3316","6","6","0","33162","ラスト一発！","33161"
