215c0f9d9e18a65c7db4b88ea906a967d8a1c9643dc98ac923e64cb5d9618337,f6763c63856bc22c521851ced994d6d334a8ca5132740ccb802f6f428e74e5c8,91b309dfa08c21bee21c7660f6e8b6c49228d2d3dead6fce57b9fc8e8102badb,544a1f615b786753075db39cd3f81421298028c19c98ec88b1213fb5b2c17cb3,d9aeafcd3f429b614e47c2791f378b24d0fe1b8d2aae493722ba280c68deafa7,43bc17f3d4e4fc34dd14c6ea37d3dfdb443e89cedb126005e4331e323ed0ee57,50bf1c67d70dc0980d6074d850fb095fe5568d58121d5a353062b8738eb9c3ac,9a28bdc8cf528180a3d5f43e103608a776df85656e01e5e191284d2ee05b53d2,764cbba0ba8e6ada10abf1d8c79297e380fe02fa6827c82bdc10cd6727578111
"1","1","1","1","3","2","0","1","唯一無二の"
"1","1","1","2","3","2","0","1","完全無欠の"
"1","1","1","3","3","2","1","1","ランドソル最速の"
"1","1","1","4","3","2","0","1","明鏡止水の"
"1","1","1","5","3","2","0","1","史上最速の"
"1","1","1","6","3","2","0","1","最強最速の"
"1","1","1","7","3","2","2","1","アルティメット"
"1","1","1","8","3","2","0","1","百点満点"
"1","1","1","9","3","2","0","1","最優秀"
"1","1","1","10","3","2","0","1","一騎当千の"
"1","1","1","11","3","2","0","1","唯一無二の"
"1","1","1","12","3","2","0","1","天下無双の"
"1","1","0","13","3","2","0","1","泰然自若の"
"1","1","0","14","3","2","0","1","ハイパー"
"1","1","0","15","3","2","0","1","光速の"
"1","1","0","16","3","2","0","1","稀代の"
"1","1","0","17","3","2","0","1","極限の"
"1","1","0","18","3","2","0","1","至高の"
"1","1","0","19","3","2","0","1","煌めく"
"1","1","0","20","3","2","0","1","百戦錬磨の"
"1","1","0","21","3","2","0","1","疾風迅雷の"
"1","1","0","22","3","2","0","1","電光石火の"
"1","0","1","23","3","2","0","1","変幻自在の"
"1","0","1","24","3","2","0","1","空前絶後の"
"1","0","1","25","3","2","0","1","レペゼン"
"1","0","1","26","3","2","0","1","音速の"
"1","0","1","27","3","2","0","1","常識外れの"
"1","0","1","28","3","2","0","1","獅子奮迅の"
"1","0","1","29","3","2","2","1","勇猛果敢なる"
"1","0","1","30","3","2","2","1","威風堂々たる"
"1","0","1","31","3","2","0","1","急がば回れ"
