07b790787fbc94878180b2edd2ae88504597c5d38a739dfc368014f5da6e0bc1,debdc86b5151cb50fe19d561464441a2ea174c8d8adfd093cbedf82bc12e16ab,54230f7824512273a0ac67c9e0c3f36cc6c585f85da044d6d8f10cf9c97dbc5d,67c986220b27673cc67564ac6deaeb30f7ac6182ba56982659b1e1c500669dd0,3b22da3a17bc37cd2499af6d2d3e34955e51d9ce8e29985ebf79f32f988a42c9,78db4bb2b867a29d1e74bbaa2f5b1d3339b59c3896125c25ac4ffea9e8cd34f9,dc67030e58351023bd45639ab204c098ba504f2a604d07ae29ffbbf12d5a7655,bad54be32a72a0ceac0f6a80cdf905815710e8e8ab0f368355bfe40672d4b1df
"1","20000","1","2","21952","1","96001","1"
"1","10000","1","2","21904","1","96001","2"
"1","10000","1","2","41000","1","96001","3"
"1","2000","5","2","31803","5","96001","4"
"1","1500","5","2","31215","5","96001","5"
"1","1500","5","2","31210","5","96001","6"
"1","1500","5","2","31211","5","96001","7"
"1","1250","10","2","90005","5","96001","8"
"1","500","20","4","140001","10","96001","9"
"1","500","10","2","25001","5","96001","10"
"1","100","5","4","150003","5","96001","11"
"1","130","5","4","150004","5","96001","12"
"1","150","5","4","150005","5","96001","13"
"1","180","5","4","150006","5","96001","14"
"1","200","5","4","150007","5","96001","15"
"1","230","5","4","150008","5","96001","16"
"1","500","5","2","20004","100","96001","17"
"1","200","5","2","22003","100","96001","18"
"1","1000","0","2","20004","100","96001","19"
"1","400","0","2","22003","100","96001","20"
"2","20000","1","2","21952","1","96002","21"
"2","10000","1","2","21904","1","96002","22"
"2","10000","1","2","41000","1","96002","23"
"2","1500","5","2","31233","5","96002","24"
"2","1500","5","2","31229","5","96002","25"
"2","1500","5","2","31225","5","96002","26"
"2","1250","10","2","90005","5","96002","27"
"2","500","20","4","140001","10","96002","28"
"2","500","10","2","25001","5","96002","29"
"2","100","5","4","150003","5","96002","30"
"2","130","5","4","150004","5","96002","31"
"2","150","5","4","150005","5","96002","32"
"2","180","5","4","150006","5","96002","33"
"2","200","5","4","150007","5","96002","34"
"2","230","5","4","150008","5","96002","35"
"2","500","5","2","20004","100","96002","36"
"2","200","5","2","22003","100","96002","37"
"2","1000","0","2","20004","100","96002","38"
"2","400","0","2","22003","100","96002","39"
"3","20000","1","2","21952","1","96003","40"
"3","10000","1","2","21905","1","96003","41"
"3","10000","1","2","41000","1","96003","42"
"3","2000","5","2","31805","5","96003","43"
"3","1500","5","2","31240","5","96003","44"
"3","1500","5","2","31238","5","96003","45"
"3","1500","5","2","31236","5","96003","46"
"3","2500","5","2","90005","10","96003","47"
"3","2500","5","4","140001","50","96003","48"
"3","500","5","2","25001","5","96003","49"
"3","500","5","4","150003","30","96003","50"
"3","650","5","4","150004","30","96003","51"
"3","750","5","4","150005","30","96003","52"
"3","900","5","4","150006","30","96003","53"
"3","1000","5","4","150007","30","96003","54"
"3","1150","5","4","150008","30","96003","55"
"3","2500","5","2","20004","500","96003","56"
"3","1000","5","2","22003","500","96003","57"
"3","1000","0","2","20004","100","96003","58"
"3","400","0","2","22003","100","96003","59"
"4","20000","1","2","21952","1","96004","60"
"4","10000","1","2","21905","1","96004","61"
"4","10000","2","2","41000","1","96004","62"
"4","2000","5","2","31807","5","96004","63"
"4","1500","5","2","31245","5","96004","64"
"4","1500","5","2","31248","5","96004","65"
"4","1500","5","2","31250","5","96004","66"
"4","1500","5","2","31091","5","96004","67"
"4","2500","5","2","90005","10","96004","68"
"4","2500","10","4","140001","50","96004","69"
"4","1000","10","2","25001","10","96004","70"
"4","500","5","4","150003","30","96004","71"
"4","650","5","4","150004","30","96004","72"
"4","750","5","4","150005","30","96004","73"
"4","900","5","4","150006","30","96004","74"
"4","1000","5","4","150007","30","96004","75"
"4","1150","5","4","150008","30","96004","76"
"4","1300","5","4","150009","30","96004","77"
"4","2500","5","2","20004","500","96004","78"
"4","1000","5","2","22003","500","96004","79"
"4","1000","0","2","20004","100","96004","80"
"4","400","0","2","22003","100","96004","81"
"5","20000","1","2","25101","1","96005","82"
"5","20000","1","2","21952","1","96005","83"
"5","10000","1","2","21905","1","96005","84"
"5","10000","2","2","41000","1","96005","85"
"5","1500","5","2","31200","5","96005","86"
"5","1500","5","2","31253","5","96005","87"
"5","1500","5","2","31255","5","96005","88"
"5","1500","5","2","31256","5","96005","89"
"5","2500","5","2","90005","10","96005","90"
"5","2500","10","4","140001","50","96005","91"
"5","1000","10","2","25001","10","96005","92"
"5","500","5","4","150003","30","96005","93"
"5","650","5","4","150004","30","96005","94"
"5","750","5","4","150005","30","96005","95"
"5","900","5","4","150006","30","96005","96"
"5","1000","5","4","150007","30","96005","97"
"5","1150","5","4","150008","30","96005","98"
"5","1300","5","4","150009","30","96005","99"
"5","2500","5","2","20004","500","96005","100"
"5","1000","5","2","22003","500","96005","101"
"5","1000","0","2","20004","100","96005","102"
"5","400","0","2","22003","100","96005","103"
"6","20000","1","2","25101","1","96006","104"
"6","20000","1","2","21952","1","96006","105"
"6","10000","1","2","21905","1","96006","106"
"6","10000","2","2","41000","1","96006","107"
"6","1500","5","2","31262","5","96006","108"
"6","1500","5","2","31266","5","96006","109"
"6","1500","5","2","31269","5","96006","110"
"6","1500","5","2","31271","5","96006","111"
"6","2500","5","2","90005","10","96006","112"
"6","2500","10","4","140001","50","96006","113"
"6","1000","10","2","25001","10","96006","114"
