66d01e40ff9ab07e9f09411746b7afef3c3deb71ba6168b2c3179b3a9815be93,ec1cc4bd4e7c8d06a1dca7e9924949aaa49d4e908c994982d251c30e9747ca70,0194546472b68102ca67e09edf39621505a13206d663d53c7bc83b45270cb377,856df073fd526c178de7e2307954b04770ce02e70334949dace6eb3bcbbf06a5,4f0e1c5b53acb857e4825cc55e6e9194a588c314466ffafe2e2a389114044d35,9c95df0e9a844f6a52989a5f06456d9ead341a7fb56fb63cf383ce9fc2866c52,dcbf0992555c794e0d33626a6337d93c1af93944d710026f61b677416cc89d06,d93d953861b0b138ec4545a1a542d396a5f1580f4619b8167692795acf01809b,055b19e9c40214a66d37e0c3b75dcaaee893da7fad657d2242879cfe63c08621,a6473fd51700aa198a7a77d0493c22543df976e3d8cbc991c15bdb725e7e214f,3e82727a2d25136859e2e79c5a1c29eed7f6ab44b559874cc63d30c2b001f551
"2","1007001","2.08","113511","100","0","5","-750","1007001001","svd_idle_normal","-300"
"1","1007001","2.08","113411","100","1","5","750","1007001002","svd_idle_normal","-300"
"3","1007001","1","333","0","0","5","0","1007001003","svd_white_loop","0"
"333","1007001","0","1","1","0","6","1","1007001004","","0"
"113511","1007001","","2","0","","7","0","1007001005","",""
"113511","1007001","","-750","-300","","2","0.5","1007001006","","0"
"113411","1007001","0","1","1","0","6","1","1007001007","","0"
"1","1007001","0","11","-140","","31","-40","1007001008","","0.8"
"11","1007001","","2","0","","34","0","1007001009","",""
"113411","1007001","","6","0","","7","0","1007001010","",""
"113411","1007001","","750","-300","","2","0.5","1007001011","","0"
"4","1007001","0","14","-250","","31","-40","1007001012","","1"
"5","1007001","0","15","250","","31","-40","1007001013","","1"
"1","1007001","","","","","93","","1007001014","",""
"333","1007001","0.8","1","1","0","6","1","1007001015","","0.4"
"113511","1007001","0.2","svd_idle_see_pre","0","0","3","svd_idle_see","1007001016","","1"
"113411","1007001","","640","-300","","2","1.1","1007001017","","0"
"113511","1007001","","-600","-300","","2","1.1","1007001018","","0"
"1","1007001","","","","","93","","1007001019","",""
"11","1007001","","1","","","32","","1007001020","",""
"0","1007001","","","","","91","","1007001021","",""
"113511","1007001","","240","260","","94","0","1007001022","","80"
"11","1007001","","0","","","32","","1007001023","",""
"113511","1007001","0.2","svd_run","1","","3","","1007001024","",""
"113511","1007001","","0","1.2","","7","0","1007001025","",""
"113511","1007001","","-250","-300","","2","1.2","1007001026","","0"
"113411","1007001","0.2","svd_run","1","","3","","1007001027","",""
"113411","1007001","","0","1.2","","7","0","1007001028","",""
"113411","1007001","","250","-300","","2","1.2","1007001029","","0"
"113411","1007001","0.2","1","1","0","6","1","1007001030","","1"
"1.2","1007001","","","","","93","","1007001031","",""
"0","1007001","","","","","91","","1007001032","",""
"113511","1007001","0.2","svd_kime_eriko","0","","3","","1007001033","",""
"113411","1007001","0.2","svd_kime_shizuru","0","","3","","1007001034","",""
"1.4","1007001","","","","","93","","1007001035","",""
"14","1007001","","1","","","32","","1007001036","",""
"15","1007001","","1","","","32","","1007001037","",""
"0.6","1007001","","","","","93","","1007001038","",""
"113411","1007001","0.2","svd_idle_joy1","1","","3","","1007001039","",""
