8861793a6e6579560587e440556157736708d64953243758623de5c8bd70514e,7b6922c99a3ccf09a6f8e8ad7764ae4d568c56a515ca1e4c08491eba61ea6b6a,f0603fa746254e48b7f1f61cb10819432db4f2d10271c2f42b48bc93c4e5565e,ac4fb894a6aa1250cca38a7b6c5a2d96a2be8850106dbe1849e2cff0bfe98496,b2d7df948726e1c7571558a8c3aa6e338e911e091f63e90f0e7dd40708a8f889,2c20fbf716a321b74b58f4978c3ccf6f89c251d535f64db8c5be2c204e076ab0,f864118819ab4e7a5783344f62597f2b99a0cb237f3435b8b688502702af3595
"11011","0","2","11012","ギルド管理協会です！どんなお仲間をお探しですか？","1101","2"
"11021","0","2","11022","ギルド管理協会です！どんなお仲間をお探しですか？","1102","2"
"11031","0","2","11032","ギルド管理協会です！どんなお仲間をお探しですか？","1103","2"
"11041","0","2","11042","ギルド管理協会です！どんなお仲間をお探しですか？","1104","2"
"11051","0","4","11052","魔物たちが集まる闘技場を見つけた！","1105","4"
"11073","11071","7","11072","不思議な石板を発見！どうする？","1107","7"
"11082","0","8","11081","ダンジョンで迷った！どっちに進む？","1108","8"
"11091","0","4","11092","魔物たちが集まる闘技場を見つけた！","1109","4"
"11101","11103","3","11102","じゃんけん……ぽん！","1110","3"
"11111","0","10","11112","箱の中から声が聞こえる……","1111","10"
"11121","0","11","11122","イベント会場に魔物が現れた！","1112","11"
"11131","0","4","11132","魔物たちが集まる闘技場を見つけた！","1113","4"
"11171","0","4","11172","魔物たちが集まる闘技場を見つけた！","1117","4"
"13141","0","5","0","釣りスポットを発見！","1314","5"
"13151","0","9","0","絶好のピクニック日和だ！","1315","9"
"13161","0","6","0","スロットマシンだ！挑戦する？","1316","6"
"23141","0","5","0","ラッキー！もう一回釣れるぞ！","2314","5"
"23152","0","9","23151","料理ができた！でも、まだ材料はあるぞ！","2315","9"
"23162","0","6","23161","もう一勝負だ！","2316","6"
"33141","0","5","0","ラストもう一回！","3314","5"
"33152","0","9","33151","完璧！でも、まだまだ材料はあるぞ！","3315","9"
"33162","0","6","33161","ラスト一発！","3316","6"
