3dabf6c840b53eeaaf0f039b90216e0efdf1d72aa6cf9bcf2735881181a4c8c0,70f967a19ec98bace16b729e4ab90a18822d02edf5b9960db41787cc56607812,d045ab806b86d542fdca569aca1ed74f9ad18a9468cdb8d31c4f2498ce78ca58,32c0b57dd08ac03a6e9ab0add2b4c4bed06c62073d6d88fcbc66979a7616f85a,05acdd530f5e0647b4654bda50e2c37b8ddf07b38d585e95d7dde5a5b2c3a2b3,648fc658e9c686010af6a5deab4804b27cc9cc310ac02a43753b0f0a0b2d70a1,89a6681cc97dc89be5061d6855659eacb2f88f37b7b8735c9ecd8847e441d79d,fca44c0423daa1b676dd6cdd95e402de27362e427be2cf0029b909e35cab3084
"0","0","0","短時間、障害物バリアを展開！","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","3","2001","101"
"5","5","0","中時間、スピードとジャンプ小アップ！","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","3","102"
"6","0","0","短時間、スピード中アップ！","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","4","1","103"
"0","0","0","中時間、障害物バリアを展開！","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","5","2001","104"
"3","0","0","中時間、スピード小アップ！","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","6","1","105"
"4","0","0","中時間、対戦相手のスピード小ダウン！","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","6","1001","106"
"17","16","0","中時間、スピードとジャンプ特大アップ！","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","5","3","107"
"8","0","0","ラウンド中、スピード中アップ！","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","40","1","108"
"30","0","0","短時間、スピード特大アップ！","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","4","1","109"
"10","0","0","ラウンド中、対戦相手が大きく減速！","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","40","1001","110"
"0","0","0","ごく短時間、障害物バリアを展開！","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","1","2001","111"
"15","0","0","短時間、先頭の対戦相手が大きく減速！","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","4","1004","112"
"5","0","0","中時間、スピード小アップ！","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","6","1","113"
"5","0","0","中時間、ジャンプ小アップ！","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","5","2","114"
"0","0","0","長時間、バリアで能力ダウンを防ぐ！","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","7","2002","115"
"3","0","0","累積で、スピード小アップ！","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","25","1","116"
"3","0","0","累積で、対戦相手が小さく減速！","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","25","1001","117"
"30","20","0","長時間、スピードとジャンプ特大アップ！","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","7","3","118"
"15","0","0","短時間、先頭の対戦相手が大きく減速！","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","4","1004","119"
"0","0","0","長時間、バリアで能力ダウンを防ぐ！","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","7","2002","120"
"30","0","0","長時間、ジャンプ特大アップ！","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","12","2","121"
"15","0","0","累積で、先頭の対戦相手が大きく減速！","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","30","1004","122"
"11","2","8","短時間大きく加速した後、ごく短時間減速！","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","4","4","123"
"9","0","0","長時間、スピード中アップ！","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","8","1","124"
"0","0","0","短時間、障害物バリアを展開！","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","4","2001","125"
"3","0","0","累積で、対戦相手が小さく減速！","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","30","1001","126"
"22","0","0","長時間、スピード特大アップ！","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","10","1","127"
"30","0","0","短時間、ジャンプ特大アップ！","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","4","2","128"
"20","0","0","短時間、対戦相手のスピード特大ダウン！","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","3","1001","129"
"30","0","0","短時間、スピード特大アップ！","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","4","1","130"
