bee49ca172a756fd6d7b9095012c302c06938d21bf2c33ceef2076e374cff21e,4c1d62bab285da3f4527ae9ac28a87ebc59398c01bbd5cd7929820a10042079e,32ef21a8b29026f5fe4f0de56b55eb04cd78efdced7732d1d40bbc534af5dd68,1ad26aa212ea3f99829474dc3211409920a499439b395cc6704125a978dacba2,20f420f43bfe22ee50b31d6c4b5c85f0a512b2e19fba2a8da5cf5dca1ea9ea64
"1045","1048","1","1037","1025"
"1006","1004","2","1062","1003"
"1006","1007","3","1029","1003"
"1062","1045","4","1025","1047"
"1022","1013","5","1003","1043"
"1019","1004","6","1048","1006"
"1003","1033","7","1037","1062"
"1059","1053","8","1050","1056"
"1034","1011","9","1030","1001"
"1026","1023","10","1046","1063"
"1044","1038","11","1014","1020"
"1040","1049","12","1008","1017"
"1020","1044","13","1017","1023"
"1020","1038","14","1001","1017"
"1008","1048","15","1036","1030"
"1011","1038","16","1004","1044"
"1022","1011","17","1005","1043"
"1047","1016","18","1042","1046"
"1063","1028","19","1041","1014"
"1058","1055","20","1061","1052"
"1024","1001","21","1031","1025"
"1005","1063","22","1064","1024"
"1044","1000","23","1066","1040"
"1010","1038","24","1076","1000"
"1043","1019","25","1077","1003"
"1068","1069","26","1071","1070"
"1090","1091","27","1089","1092"
"1099","1100","28","1097","1098"
"1103","1104","29","1101","1102"
"1107","1108","30","1105","1106"
"1090","1091","31","1088","1089"
