311fc1c89490c718906636528f7e9dfc3f8aea8fb4bcbf6005b2b35f51ce1fe1,d71b35bb0ed8bead3c609cb65d178981559d106ecfda0b52cac22b3cdc922b80,a3010de2fa05792041b798a2edcbe4ae09ab19738e94309724ab81116a03e578,2806530c954e700cba0a5c1ebcf893a70eb4d734c2becbc74b3632895bacd4ab,92bac4f1d4b3a11fcde648df6e0242af9ac1aa458e3698cd71fcf8ff31d38301,0351ae940986f178395ff4855132a746b7970b80b831fd683ac2983f58c47453,d0c1a38139cb53734e7c6088b50a2e8cb88eae2501e943554d2bc1e7d8688b5a,71f98badf10a874f42e0a5a1ac817d908fee5b8e39dbea9a12559029d2ea9409
"1.ジュノー平野","bgm_M61","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11001","1.ジュノー平野","bgm_M61"
"2.パラス高原","bgm_M61_02","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11002","2.パラス高原","bgm_M61"
"3.ヘーベ丘陵","bgm_M61_03","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11003","3.ヘーベ丘陵","bgm_M61"
"4.ベスタ渓谷","bgm_M61_04","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11004","4.ベスタ渓谷","bgm_M61"
"5.ケレス森林","bgm_M62_01","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11005","5.ケレス森林","bgm_M62"
"6.フローラ湖畔","bgm_M62_02","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11006","6.フローラ湖畔","bgm_M62"
"7.メティス大瀑布","bgm_M62_03","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11007","7.メティス大瀑布","bgm_M62"
"8.イリス樹海","bgm_M42_02","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11008","8.イリス樹海","bgm_M42"
"9.フリガ雪原","bgm_M58","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11009","9.フリガ雪原","bgm_M58"
"10.ロレッタ海岸","bgm_M101","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11010","10.ロレッタ海岸","bgm_M101"
"11.ゲヌア砂漠","bgm_M93","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11011","11.ゲヌア砂漠","bgm_M93"
"12.ボノニア砂丘","bgm_M94","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11012","12.ボノニア砂丘","bgm_M94"
"13.ドロテア湿地","bgm_M118","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11013","13.ドロテア湿地","bgm_M118"
"14.ウジェニア熱地","bgm_M95","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11014","14.ウジェニア熱地","bgm_M95"
"15.タリア火山","bgm_M96","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11015","15.タリア火山","bgm_M96"
"16.テミス銀嶺","bgm_M140","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11016","16.テミス銀嶺","bgm_M140"
"17.フィデス氷原","bgm_M141","101","2015/12/17 15:00:00","2030/12/17 14:59:59","11017","17.フィデス氷原","bgm_M141"
"18.ファエトン\n　　　　　原野・北部","bgm_M179","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11018","18.ファエトン原野・北部","bgm_M179"
"19.ファエトン\n　　　　　原野・南部","bgm_M179","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11019","19.ファエトン原野・南部","bgm_M179"
"20.カスタリア\n　　　　　樹林・西部","bgm_M180","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11020","20.カスタリア樹林・西部","bgm_M180"
"21.カスタリア\n　　　　　樹林・東部","bgm_M180","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11021","21.カスタリア樹林・東部","bgm_M180"
"22.マティルド\n　　　　　岩峯・南部","bgm_M232","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11022","22.マティルド岩峯・南部","bgm_M232"
"23.マティルド\n　　　　　岩峯・北部","bgm_M232","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11023","23.マティルド岩峯・北部","bgm_M232"
"24.レディウス\n　　　　　群峰・西麓","bgm_M233","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11024","24.レディウス群峰・西麓","bgm_M233"
"25.レディウス\n　　　　　群峰・東麓","bgm_M233","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11025","25.レディウス群峰・東麓","bgm_M233"
"26.ペテロ大森林・西部","bgm_M260","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11026","26.ペテロ大森林・西部","bgm_M260"
"27.ペテロ大森林・東部","bgm_M260","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11027","27.ペテロ大森林・東部","bgm_M260"
"28.ディズタル\n　　　　　河食岸・北部","bgm_M278_E28","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11028","28.ディズタル河食岸・北部","bgm_M278"
"29.ディズタル\n　　　　　河食岸・南部","bgm_M278_E29","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11029","29.ディズタル河食岸・南部","bgm_M278"
"30.フテラ断崖・北部","bgm_M293","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11030","30.フテラ断崖・北部","bgm_M293"
"31.フテラ断崖・南部","bgm_M293","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11031","31.フテラ断崖・南部","bgm_M293"
"32.ファスキア\n　　　　　　森林・南部","bgm_M339","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11032","32.ファスキア森林・南部","bgm_M339"
