4e5dd8e546169069e97c8dd5acd6d1766f237620f0a5feb8184552ce5dc63a8d,ce1f3a91541c99a6d7528360e52e9dd860e72429845df35562394a30051f7a72,92ec3e557e1f028a90622a294b722d1ec642f269aad47e56519ca68b579cb76e,b686e199abd457280daa12fff17bb74625bc745c8a8df760eae19439a0b6507d,35a99d05607ae5c86b1c3b6301bf8962bb733f2a4fe46cbdec099a1fa647d834,858b3b62f7be36d4c1aed4614135210d3bd435efec509a1c532c8b0bc54d04a0,ef594f14f081a75a5effa7ed480fc5cbce7c3d1c48b47ed681f7db96949ab2a7,ac8bcff9d018273c4a7e2e34530753343c2054002e4cc4c169c02d1d30014f36
"101071","101281","1","101431","101101","101101","101581","100101"
"101101","102341","2","102431","102101","102071","101581","100101"
"102071","102342","3","102432","103071","102101","102581","100101"
"102101","103341","4","103431","103101","103071","102582","100101"
"103071","103342","5","103432","103072","103101","103581","100101"
"103552","103343","6","103432","104101","103072","103582","100101"
"103072","104341","7","103583","104102","104101","103552","100101"
"104551","104342","8","104101","104103","104102","103553","100101"
"104552","104343","9","104102","104104","104103","104551","100101"
"104553","104284","10","104103","105101","104104","104552","100101"
"105551","105341","11","104344","105102","105101","104554","100101"
"105552","105282","12","105341","105103","105102","105551","100101"
"105553","105343","13","105342","105104","105103","105552","100101"
"105554","105344","14","105343","105105","105104","105553","100101"
"105555","105285","15","105344","105106","105105","105554","100101"
"105556","105286","16","105285","105107","105106","105555","100101"
"105557","105287","17","105286","106101","105107","105556","100101"
"106551","106281","18","105287","106102","106101","105557","100101"
"106552","106282","19","106281","106103","106102","106551","100101"
"106553","106283","20","106282","107101","106103","106552","100101"
"107551","107281","21","106283","107102","107101","106553","100101"
"107552","107282","22","107281","107103","107102","107551","100101"
"107553","107283","23","107282","108101","107103","107552","100101"
"108551","108401","24","107283","108102","108101","107553","100101"
"108552","108312","25","108401","108103","108102","108551","100101"
"108553","108403","26","108312","108104","108103","108552","100101"
"108554","108494","27","108403","109101","108104","108553","100101"
"109551","109401","28","108494","109102","109101","108554","100101"
"109552","109282","29","109401","109103","109102","109551","100101"
"109553","109493","30","109282","109104","109103","109552","100101"
"109554","109494","31","109493","10010032","109104","109553","100101"
"10055032","10028032","32","109494","10010033","10010032","109554","100101"
"10055033","10028033","33","10028032","10010034","10010033","10055032","100101"
"10055034","999999","34","10028033","999999","10010034","10055033","100101"
"101611","101371","1","101521","101251","101251","101581","100201"
"101611","102371","2","102461","102252","102251","101611","100201"
"102612","102372","3","102521","103251","102252","102581","100201"
"102613","103521","4","103521","103252","103251","102614","100201"
"103612","103371","5","103461","103222","103252","103581","100201"
"103613","103372","6","103522","104251","103222","103613","100201"
"103614","104371","7","103614","104252","104251","103461","100201"
"104611","104372","8","104461","104253","104252","103614","100201"
"104612","104523","9","104522","104254","104253","104611","100201"
"104613","104373","10","104523","105251","104254","104612","100201"
"105581","105371","11","104373","105252","105251","104613","100201"
"105582","105522","12","105371","105253","105252","105581","100201"
"105583","105462","13","105372","105254","105253","105582","100201"
"105584","105374","14","105373","105255","105254","105583","100201"
"105585","105463","15","105374","105256","105255","105584","100201"
"105586","105524","16","105463","105257","105256","105585","100201"
"105587","105464","17","105524","106251","105257","105586","100201"
"106581","106461","18","105464","106252","106251","105587","100201"
"106582","106521","19","106461","106253","106252","106581","100201"
"106583","106462","20","106372","107251","106253","106582","100201"
"107581","107461","21","106462","107252","107251","106583","100201"
"107582","107462","22","107461","107253","107252","107581","100201"
"107583","107463","23","107462","108251","107253","107582","100201"
"108581","108371","24","107463","108252","108251","107583","100201"
"108582","108372","25","108371","108253","108252","108581","100201"
"108583","108373","26","108372","108254","108253","108582","100201"
