11b212eaedba449f3d91f07f85bae82b49d3ab86a6fb1cbdcb8b46e1404b26fd,fd3a5288be094a891836c562d85acf78d1c8d56d70842f36120ba4b965241b44,746f5228715bac271f84f012a6530b081402e2d1c8273908ad939c318e388097,4fb59cdd39cda7e151ba1f95a29f15e79a7c0311c4d6f83d19e1eaeffedb15e7,bc3ca52771c81e22b16639b092f7c37dd99abaaa669b8b66702d194daf060883,5513e8f906a894f3c0df2a3071e4935cd0cd7f19b0f6cf95373d76910d0c8eaf,45fdf3ad2ea3992617de325e09e492e56bd2bdbf59adc4f021a81b2d99e35516,2600933dc5e9102f0dc54876bfa1f421005a5add1709faacdec1f49752fbc878,a2c3404c81a7bddb5ff87f08627213a579febf373e5a8be2f54e8c32d8b36171,a2016e959a0519bec1f2b0e74666bf0c1107fe29a8480e4862b6c7ee38d2b223,56c63c6500652ceb9366fc4dbf5e9abd9ff3637981693d6f92b85419be240c29
"0","1001","2","0","1","10011105","0","1","10011","pt","0"
"1","1002","2","0","1","10015103","0","2","10015","m","0"
"0","1003","2","0","1","10021108","5021700","3","10021","pt","0"
"0","1004","3","0","1","5027007","5027700","4","10027","pt","0"
"0","1005","2","0","1","10040105","5040700","5","10040","pt","0"
"0","1006","1","1","1","5046006","0","6","10046","pt","5046006"
"0","1007","3","3","1","5072006","0","7","10072","pt","5072006"
"0","1008","3","3","0","5080007","5080700","8","10080","pt","5080000"
"0","1009","0","0","0","0","9004201","9","0","pt","0"
"0","1010","1","3","1","5096007","5096700","10","10096","pt","5096007"
"0","1012","2","3","1","10126107","0","11","10126","pt","5126000"
"0","1013","3","1","1","5142007","5142700","12","10142","pt","5142000"
"0","1014","3","1","1","5156007","5156700","13","10156","pt","5156000"
