5dd7c3c70b4632d94a7397b00393816bc50f9efe57cfce804d6ae9a3726544f5,b9a8b7f4fd8ae4f1e83af9be586b9d1823baacbec9dd706c751936a3f4f6372d,44e53cb17cbdd12800f8ff7b9c4b53880ec6cf09d95f610a0f0a407f27d9304c,1d41d3bb6c1ccda62a8d30f3ba01aa760fc1a8d2d5a8bd16ea053be4a2b9d151,5aad868396786a9ed2e038dc02ce0f90023d3b7c02a354aeeaa1128e317c833a,9b09fcbbe455c5d33f0168bc23559619e6ac7ee9d179175d9eadc952bbf8deea,28d52f62c7788274d87b33387917397e63f5bde214291015e83202eb95f823c1
"8","1","10","累計スコアを2500pt 獲得しよう","91002","101","2500"
"8","1","10","累計スコアを5000pt 獲得しよう","91002","102","5000"
"8","1","10","累計スコアを10000pt 獲得しよう","91002","103","10000"
"8","1","10","累計スコアを12500pt 獲得しよう","91002","104","12500"
"8","1","10","累計スコアを15000pt 獲得しよう","91002","105","15000"
"8","1","10","累計スコアを20000pt 獲得しよう","91002","106","20000"
"8","1","10","累計スコアを25000pt 獲得しよう","91002","107","25000"
"8","1","10","累計スコアを30000pt 獲得しよう","91002","108","30000"
"8","1","10","累計スコアを35000pt 獲得しよう","91002","109","35000"
"8","1","10","累計スコアを40000pt 獲得しよう","91002","110","40000"
"8","1","10","累計スコアを45000pt 獲得しよう","91002","111","45000"
"15","1","1","累計スコアを50000pt 獲得しよう","11001302","112","50000"
"8","2","10","累計スコアを2500pt 獲得しよう","91002","201","2500"
"8","2","10","累計スコアを5000pt 獲得しよう","91002","202","5000"
"8","2","10","累計スコアを10000pt 獲得しよう","91002","203","10000"
"8","2","10","累計スコアを12500pt 獲得しよう","91002","204","12500"
"8","2","10","累計スコアを15000pt 獲得しよう","91002","205","15000"
"8","2","10","累計スコアを20000pt 獲得しよう","91002","206","20000"
"8","2","10","累計スコアを25000pt 獲得しよう","91002","207","25000"
"8","2","10","累計スコアを30000pt 獲得しよう","91002","208","30000"
"8","2","10","累計スコアを35000pt 獲得しよう","91002","209","35000"
"8","2","10","累計スコアを40000pt 獲得しよう","91002","210","40000"
"8","2","10","累計スコアを45000pt 獲得しよう","91002","211","45000"
"15","2","1","累計スコアを50000pt 獲得しよう","11001303","212","50000"
