ebe14df861a48f4a6e7e3a38729d64d5e991b299e5e12fa1b98a53e96e15a420,3dfa6fc90a83681aa3fff940e22cac429589365ef7caae1cb9600fb3951ef450,ece78e7985235f7f9ebbffdedacef40adabb3e89b9eb063388f2ba506bed6598,4125c8b1ba6d644801e42f8ae93b54558e166362b78ca0d0c6e336c20a28ed65,5ef780a6b15494b423af6bb8f1155948559521cf3bdecd0813ae3da62ed51031,2141b595baf871daf85401ec2666a1b2b599fff1c60eed7bbb926c5ccd7aac1e,e483b601487bd0636a5f931403eb12b469b9937816eaea515764912f63cc97e8,ba1d6f35ee62f7353aee54bfdf81ba02ccd0918406f57d3bac8a9f18ac68520f,aa3249f16801de404b5de3b40e7f050040767b12d9cc423165f6c58b5597347f,d964605bee484ebbfdb048a2e51d4cd6a252775a47e4008042946da027bbe66e
"1001","","ライラエル","1","","最大50％割引確定のショップを開く（1品100％割引あり）","1","0","10001","126501"
"1002","","モニカ","2","","最大1000マイルを入手する","2","0","10001","105301"
"1003","","クローチェ","3","","料理を{0}つ入手する","1","0","1","126401"
"1004","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","マツリ","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","3","0","1","100501"
"1005","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ナナカ","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","0","2","101301"
"1006","","マコト","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","0","4","104301"
"1007","","エリコ","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","0","3","102701"
"1008","","アンナ","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","0","7","100901"
"1009","","ミツキ","1","","最大50％割引確定のショップを開く（1品100％割引あり）","1","0","10001","105101"
"1010","","イオ","2","","最大1000マイルを入手する","2","0","10001","101801"
"1011","","ネフィ＝ネラ","8","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","2","0","0","129701"
"1012","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","スズナ","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","3","0","1","101601"
"1013","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ルカ","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","0","2","105601"
"1014","","ミミ","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","0","3","102001"
"1015","","アネモネ","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","0","7","129601"
"1016","","ミソギ","10","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","1","1","100401"
"1017","","リンド","13","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","3","1","2","127701"
"1018","","ヴルム","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","1","1","127801"
"1019","","ミフユ","1","","最大50％割引確定のショップを開く（1品100％割引あり）","1","0","10001","104801"
"1020","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ジュン","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","0","2","104701"
"1021","","ミサキ","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","0","7","105001"
"1022","","アキノ","2","","最大2000マイルを入手する","1","0","10002","103201"
"1023","","クルル","12","","福引券を{0}枚入手する","1","0","1","130901"
"1024","","スズメ","3","","料理を{0}つ入手する","1","0","1","102501"
"1025","","ユキ","8","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","2","0","0","100801"
"1026","","ネア","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","0","4","123301"
"1027","","タマキ","1","","最大50％割引確定のショップを開く（1品100％割引あり）","1","0","10001","104601"
"1028","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ランファ","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","0","2","118101"
"1029","","ユカリ","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","0","7","103401"
"1030","","クレジッタ","2","","最大2000マイルを入手する","1","0","10002","118001"
"1031","","サレン","12","","福引券を{0}枚入手する","1","0","1","102801"
"1032","","ユイ","3","","料理を{0}つ入手する","1","0","1","100201"
"1033","","ハツネ","13","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","3","1","1","101201"
"1034","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ミソラ","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","3","0","1","118201"
"1035","","ムイミ","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","0","7","106101"
"1036","","シノブ","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","0","4","103101"
"1037","","マヒル","1","","最大50％割引確定のショップを開く（1品100％割引あり）","1","0","10001","103301"
"1038","","キョウカ","2","","最大2000マイルを入手する","1","0","10002","103601"
"1039","","グレイス","12","","福引券を{0}枚入手する","1","0","1","133001"
"1040","","ヴァイオレット","3","","料理を{0}つ入手する","1","0","1","133101"
