7e32d60ba6f284076fa53ffde2a34287404b64fded3d9b86ae522312dd7e04d7,9d9b8e955c09f20f1de0991659fac8e7dac757556a3de8dc398f8acaa6a7e525,ea8fddee96ed416e290b9ba4d2baedf3a0008cbebbe72f74d284ce277d898acd,5b387535d1f317af8917be6d9588f66e79b6eea0c921b2ff5583de48f486c4c7,5ed7405bff92fa7beb29fbc462f134718fc6c824a4d60a5defe7a6a1d38c9368,30df3fb3645a704431f94c669b62ca54aa3d057a36f31ee4af6f214f911ce886,0b2324caf381deb6c5612b6a0e91443d2fbcb870799558000d7dc65c0cf63512,5c8304b0c32945fb14bec12958fea9a0f4b4d609b71187fb797da4c1567abbfd,bc60942caef3c49ad1270cad699af99640be4e6bab78c32f3823e0a459352fea
"90043","10000","10","0","90001","12000","1","30000","1"
"90047","10000","20","0","90002","24000","2","30000","2"
"90047","10000","20","0","90002","24000","3","30000","3"
"90047","10000","20","0","90002","24000","4","30000","4"
"90047","10000","20","0","90002","24000","5","30000","5"
"90047","10000","20","0","90002","24000","6","30000","6"
"90047","10000","20","0","90002","24000","7","30000","7"
"90047","10000","20","0","90002","24000","8","30000","8"
"90047","10000","20","0","90002","24000","9","30000","9"
"90047","10000","20","0","90002","24000","10","30000","10"
"90051","10000","40","90011","90003","48000","11","30000","11"
"90051","10000","40","90011","90003","48000","12","30000","12"
"90051","10000","40","90011","90003","48000","13","30000","13"
"90051","10000","40","90011","90003","48000","14","30000","14"
"90051","10000","40","90011","90003","48000","15","30000","15"
"90051","10000","40","90011","90003","48000","16","30000","16"
"90051","10000","40","90011","90003","48000","17","30000","17"
"90051","10000","40","90011","90003","48000","18","30000","18"
"90051","10000","40","90011","90003","48000","19","30000","19"
"90051","10000","40","90011","90003","48000","20","30000","20"
"90055","10000","60","90015","90004","72000","21","30000","21"
"90055","10000","60","90015","90004","72000","22","30000","22"
"90055","10000","60","90015","90004","72000","23","30000","23"
"90055","10000","60","90015","90004","72000","24","30000","24"
"90055","10000","60","90015","90004","72000","25","30000","25"
"90055","10000","60","90015","90004","72000","26","30000","26"
"90055","10000","60","90015","90004","72000","27","30000","27"
"90055","10000","60","90015","90004","72000","28","30000","28"
"90055","10000","60","90015","90004","72000","29","30000","29"
"90055","10000","60","90015","90004","72000","30","30000","30"
"90059","10000","80","90015","90005","96000","31","30000","31"
"90059","10000","80","90015","90005","96000","32","30000","32"
"90059","10000","80","90015","90005","96000","33","30000","33"
"90059","10000","80","90015","90005","96000","34","30000","34"
"90059","10000","80","90015","90005","96000","35","30000","35"
"90059","10000","80","90015","90005","96000","36","30000","36"
"90059","10000","80","90015","90005","96000","37","30000","37"
"90059","10000","80","90015","90005","96000","38","30000","38"
"90059","10000","80","90015","90005","96000","39","30000","39"
"90059","10000","80","90015","90005","96000","40","30000","40"
"90063","10000","120","90017","90005","144000","41","30000","41"
"90063","10000","120","90017","90005","144000","42","30000","42"
"90063","10000","120","90017","90005","144000","43","30000","43"
"90063","10000","120","90017","90005","144000","44","30000","44"
"90063","10000","120","90017","90005","144000","45","30000","45"
"90063","10000","120","90017","90005","144000","46","30000","46"
"90063","10000","120","90017","90005","144000","47","30000","47"
"90063","10000","120","90017","90005","144000","48","30000","48"
"90063","10000","120","90017","90005","144000","49","30000","49"
"90063","10000","120","90017","90005","144000","50","30000","50"
"90067","10000","150","90019","90006","180000","51","30000","51"
"90067","10000","150","90019","90006","180000","52","30000","52"
"90067","10000","150","90019","90006","180000","53","30000","53"
"90067","10000","150","90019","90006","180000","54","30000","54"
"90067","10000","150","90019","90006","180000","55","30000","55"
"90067","10000","150","90019","90006","180000","56","30000","56"
"90067","10000","150","90019","90006","180000","57","30000","57"
"90067","10000","150","90019","90006","180000","58","30000","58"
"90067","10000","150","90019","90006","180000","59","30000","59"
"90067","10000","150","90019","90006","180000","60","30000","60"
"90071","10000","180","90021","90007","216000","61","30000","61"
"90071","10000","180","90021","90007","216000","62","30000","62"
"90071","10000","180","90021","90007","216000","63","30000","63"
"90071","10000","180","90021","90007","216000","64","30000","64"
"90071","10000","180","90021","90007","216000","65","30000","65"
"90071","10000","180","90021","90007","216000","66","30000","66"
"90071","10000","180","90021","90007","216000","67","30000","67"
"90071","10000","180","90021","90007","216000","68","30000","68"
"90071","10000","180","90021","90007","216000","69","30000","69"
"90071","10000","180","90021","90007","216000","70","30000","70"
