1064ad93b86d1f6ab7b8199ff1592e1d9c99428847ced634009bb4d781c1f182,2d5d389eaa04d8d46e099a05f64622c615dc83edfb0b141352644f42acc84a00,936cbef39badfbdfd2482efba162c4d0a179a55e415c20f15cbf42dab0a40740
"106101","装備中","通常時"
"106701","特殊スキル","通常時"
"106801","権能解放中","通常時"
"106901","特殊スキル","通常時"
"115801","変身中","通常時"
"116401","特殊スキル","通常時"
"118201","特殊スキル","通常時"
"118501","特殊スキル","通常時"
"118601","特殊スキル","通常時"
"120801","初回発動時","通常時"
"122001","特殊スキル","通常時"
"122301","共闘中","通常時"
"122701","特殊スキル","通常時"
"123001","特殊スキル","通常時"
"125001","共闘中","通常時"
"125801","特殊スキル","通常時"
"126001","特殊スキル","通常時"
"126101","特殊スキル","通常時"
"126201","特殊スキル","通常時"
"126401","【フルチャージ】中","通常時"
"126501","特殊スキル","通常時"
"129001","特殊スキル","通常時"
"129301","特殊スキル","通常時"
"129401","特殊スキル","通常時"
"129501","初回発動時","通常時"
"129601","特殊スキル","通常時"
"129701","特殊スキル","通常時"
"130001","特殊スキル","通常時"
"130101","特殊スキル","通常時"
"131201","特殊スキル","通常時"
"131801","特殊スキル","通常時"
"132001","特殊スキル","通常時"
"132101","鬼化中","通常時"
"132401","初回発動時","通常時"
"132901","初回発動時","通常時"
"133101","特殊スキル","通常時"
"133801","召喚体スキル","通常時"
"134501","特殊スキル","通常時"
"134901","特殊スキル","通常時"
"135001","特殊スキル","通常時"
"135101","特殊スキル","通常時"
"135201","特殊効果","通常時"
"135601","特殊スキル","通常時"
"181201","特殊スキル","通常時"
