0872fe8e66ec21216ff545a51dba6593ac8ff2aa664ea058e543e47d144bbd4f,5aa90016233c92224a700ec8bbee7db67d5f90e9f9f1d573ba763cb37b4445bd,197cc421259186504cf7000d233b512993a81165166f22b3d2b3165352f2b6e0,fd877cc3218b9218f94bf3025daa2e8119e89534141eb7bd466c98c98f07b617,c9a39488f044dfc81bb6d86c3046d8933c73ad5a00741f881864675b62b74826,7536c81fac2644f001dc5f7b115f79c0c1b7454153318dbdefe85fb09800e47b,9479d20b1212f4063a673a982e71fc0ad4e07cdfa31460f32fda9bab050005a9,17cc51ff88cdb03467513554e24fb07b3c7b6c2d7bbe8279efcd3955c5c11ddb,b92f65d722777a5a46b47edcfacbd17bd209b587a5b5a6aacb01e9906909804d,6ea473da97cb22c2c08331d54bdbcbd0fb72acaa99a74771f0fab7d21187249f,b33f569876cffddce8930446bbde9b86615a62235daa2a1b62fbf2218fce8ecf
"110311","1","1","1","5152061","1.55","110","61001","idle_normal","-280","382"
"131911","0","1","1","5152061","1.55","106","61002","idle_normal","-210","145"
"102311","0","1","1","5152061","1.55","107","61003","joy_idle_normal","-225","-50"
"102111","0","1","1","5152061","1.55","108","61004","wish_idle","-240","-245"
"107711","0","1","1","5152061","1.55","109","61005","idle_normal","-255","-440"
"122811","0","1","1","5152061","1.45","103","61006","doya_idle","-105","40"
"122911","0","1","1","5152061","1.45","104","61007","idle_normal","-120","-160"
"122711","0","1","1","5152061","1.45","105","61008","idle_normal","-135","-355"
"210","","110311","13","5152061","","","61009","","",""
"206","","131911","13","5152061","","","61010","","",""
"209","","107711","13","5152061","","","61011","","",""
"205","","122711","13","5152061","","","61012","","",""
"203","","122811","13","5152061","","","61013","","",""
"204","","122911","13","5152061","","","61014","","",""
"208","","102111","13","5152061","","","61015","","",""
"207","","102311","13","5152061","","","61016","","",""
"2","0","2","5","5152061","0.75","210","61017","empty","160","-110"
"3","0","3","5","5152061","1","210","61018","empty","-45","352"
"1","","1","31","5152061","1","0","61019","","1","0"
"2","","2","31","5152061","0","0","61020","","1","0"
"3","","3","31","5152061","1","0","61021","","1","0"
"11","","11","31","5152061","0","0","61022","","1","0"
"0","","0","91","5152061","","","61023","","",""
"telop_1","","3","37","5152061","","","61024","","",""
"0","","0","102","5152061","","0","61025","","",""
"0","","1","93","5152061","","","61026","","",""
"callout_in","0","110311","3","5152061","0.2","0","61027","","1","callout_loop"
"0","","0.1","93","5152061","","","61028","","",""
"vo_rag_6001","","vo_rag","21","5152061","","0","61029","","","0"
"1001_in","","3","3","5152061","0","0","61030","","",""
"1","","1.9","93","5152061","","","61031","","",""
"1001_mid","","3","3","5152061","0","0","61032","","",""
"","","","92","5152061","","","61033","","",""
"1001_out","","3","3","5152061","0","0","61034","","",""
"0","","0.2","93","5152061","","","61035","","",""
"doya_idle_joy1R","","110311","3","5152061","0.3","1","61036","","",""
"gutsB_in_joy","0","102311","3","5152061","0.2","0","61037","","1","gutsB_talk_joy"
"wish_talk","","102111","3","5152061","0.2","1","61038","","",""
"hello_2","0","131911","3","5152061","0.2","0","61039","","1","idle_normal_joy"
"sad_talk_joy","","107711","3","5152061","0.2","1","61040","","",""
"handsup_in","0","122811","3","5152061","0.2","0","61041","","1","handsup_loop"
"leanforward_joy","","122911","3","5152061","0.2","1","61042","","",""
"talk_normal","","122711","3","5152061","0.2","1","61043","","",""
"vo_rag_6002","","vo_rag","21","5152061","","0","61044","","","0"
"-110","","3","2","5152061","","142","61045","","0","0"
"1002_in","","3","3","5152061","0","0","61046","","",""
"1","","1.9","93","5152061","","","61047","","",""
"1002_mid","","3","3","5152061","0","0","61048","","",""
"","","","92","5152061","","","61049","","",""
"1002_out","","3","3","5152061","0","0","61050","","",""
"gutsB_idle","","102311","3","5152061","0.2","1","61051","","",""
"wish_idle","","102111","3","5152061","0.2","1","61052","","",""
"idle_normal","","131911","3","5152061","0.2","1","61053","","",""
"sad_idle_normal","","107711","3","5152061","0.2","1","61054","","",""
"cool_idle","","122811","3","5152061","0.2","1","61055","","",""
"idle_normal_joy1R","","122911","3","5152061","0.2","1","61056","","",""
"wish_idle","","122711","3","5152061","0.2","1","61057","","",""
"gutsB_in","0","110311","3","5152061","0.2","0","61058","","1","gutsB_talk"
"vo_rag_6003","","vo_rag","21","5152061","","0","61059","","","0"
"おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","15","110311","11","5152061","0","10","61060","0","1","1"
"","","0","91","5152061","","0","61061","","","0"
"bgm_MC175B","","bgm_MC175B","25","5152061","","","61062","","",""
"1","","2","32","5152061","","","61063","","",""
"kids_gungun_in","0","110311","3","5152061","0.2","0","61064","","1","kids_gungun_loop"
"vo_rag_6004","","vo_rag","21","5152061","","0","61065","","","0"
"まずは空に向かって\n腕をグングン伸ばしてー！","0","110311","11","5152061","0","10","61066","1.7","0","1"
"0","","0.1","93","5152061","","","61067","","",""
"kids_gungun_in","0","131911","3","5152061","0.2","0","61068","","1","kids_gungun_loop"
"kids_gungun_in","0","102311","3","5152061","0.2","0","61069","","1","kids_gungun_loop"
"kids_gungun_in","0","102111","3","5152061","0.2","0","61070","","1","kids_gungun_loop"
"kids_gungun_in","0","107711","3","5152061","0.2","0","61071","","1","kids_gungun_loop"
"kids_gungun_in","0","122811","3","5152061","0.2","0","61072","","1","kids_gungun_loop"
"kids_gungun_in","0","122911","3","5152061","0.2","0","61073","","1","kids_gungun_loop"
"kids_gungun_in","0","122711","3","5152061","0.2","0","61074","","1","kids_gungun_loop"
"0","","5.2","93","5152061","","","61075","","",""
"","","61066","91","5152061","","0","61076","","","0"
"vo_rag_6005","","vo_rag","21","5152061","","0","61077","","","0"
"グーン、グーン！\nあはは、思い切り体動かすの楽しいね！","60","102311","11","5152061","13","10","61078","2.3","0","1"
"0","","7.8","93","5152061","","","61079","","",""
"","","61078","91","5152061","","0","61080","","","0"
"kids_furifuri","","110311","3","5152061","0.3","1","61081","","",""
"vo_rag_6006","","vo_rag","21","5152061","","0","61082","","","0"
"今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！","17","110311","11","5152061","21","10","61083","1.7","0","1"
"0","","0.1","93","5152061","","","61084","","",""
"kids_furifuri","","131911","3","5152061","0.3","1","61085","","",""
"kids_furifuriB","","102311","3","5152061","0.3","1","61086","","",""
"kids_furifuri","","102111","3","5152061","0.3","1","61087","","",""
"kids_furifuriB","","107711","3","5152061","0.3","1","61088","","",""
"kids_furifuri","","122811","3","5152061","0.3","1","61089","","",""
"kids_furifuriB","","122911","3","5152061","0.3","1","61090","","",""
"kids_furifuri","","122711","3","5152061","0.3","1","61091","","",""
"0","","7.3","93","5152061","","","61092","","",""
"","","61083","91","5152061","","0","61093","","","0"
"vo_rag_6007","","vo_rag","21","5152061","","0","61094","","","0"
"フリフリ～、楽しくなってきましたぁ♪","60","102111","11","5152061","0","10","61095","0.5","0","1"
"0","","5.2","93","5152061","","","61096","","",""
"","","61095","91","5152061","","0","61097","","","0"
"joy_idle","","131911","3","5152061","0.2","1","61098","","",""
"joy_idle","","102311","3","5152061","0.2","1","61099","","",""
"joy_idle","","102111","3","5152061","0.2","1","61100","","",""
"joy_idle","","107711","3","5152061","0.2","1","61101","","",""
"joy_idle","","122811","3","5152061","0.2","1","61102","","",""
"joy_idle","","122911","3","5152061","0.2","1","61103","","",""
"joy_idle","","122711","3","5152061","0.2","1","61104","","",""
"kids_jump_in_saren","0","110311","3","5152061","0.2","0","61105","","0","kids_jump_sideHair_out"
"vo_rag_6008","","vo_rag","21","5152061","","0","61106","","","0"
"最後はみんなで大きく…ジャーンプ！","0","110311","11","5152061","0","10","61107","1","0","1"
"0","","0.1","93","5152061","","","61108","","",""
"kids_jump_in","0","131911","3","5152061","0.2","0","61109","","1","kids_jump_mid"
"kids_jump_in","0","102311","3","5152061","0.2","0","61110","","1","kids_jump_mid"
"kids_jump_in","0","102111","3","5152061","0.2","0","61111","","1","kids_jump_mid"
"kids_jump_in","0","107711","3","5152061","0.2","0","61112","","1","kids_jump_mid"
"kids_jump_in","0","122811","3","5152061","0.2","0","61113","","1","kids_jump_mid"
"kids_jump_in","0","122911","3","5152061","0.2","0","61114","","1","kids_jump_mid"
"kids_jump_in","0","122711","3","5152061","0.2","0","61115","","1","kids_jump_mid"
"0","","4.1","93","5152061","","","61116","","",""
"","","61107","91","5152061","","0","61117","","","0"
"finish","","2","37","5152061","","","61118","","",""
"se_10058300_kids_finish","","se_10058300","23","5152061","","0","61119","","",""
"kids_jump_out","","131911","3","5152061","0","0","61120","","",""
"kids_jump_out","","102311","3","5152061","0","0","61121","","",""
"kids_jump_out","","102111","3","5152061","0","0","61122","","",""
"kids_jump_sideHair_out","","107711","3","5152061","0","0","61123","","",""
"kids_jump_out","","122811","3","5152061","0","0","61124","","",""
"kids_jump_out","","122911","3","5152061","0","0","61125","","",""
"kids_jump_sideHair_out","","122711","3","5152061","0","0","61126","","",""
"vo_rag_6009","","vo_rag","21","5152061","","0","61127","","","0"
"1009_in","","2","3","5152061","0","0","61128","","",""
"1","","0.4","93","5152061","","","61129","","",""
"1009_mid","","2","3","5152061","0","0","61130","","",""
"","","","92","5152061","","","61131","","",""
"1009_out","","2","3","5152061","0","0","61132","","",""
"0","","0.2","93","5152061","","","61133","","",""
"kids_jump_end","0.2","131911","3","5152061","0","0","61134","","1","idle_normal"
"kids_jump_end","0.2","102311","3","5152061","0","0","61135","","1","joy_idle_normal"
"kids_jump_end","0.2","102111","3","5152061","0","0","61136","","1","wish_idle"
"kids_jump_sideHair_end","0.2","107711","3","5152061","0","0","61137","","1","idle_normal"
"kids_jump_end","0.2","122811","3","5152061","0","0","61138","","1","doya_idle"
"kids_jump_end","0.2","122911","3","5152061","0","0","61139","","1","idle_normal"
"kids_jump_sideHair_end","0.2","122711","3","5152061","0","0","61140","","1","idle_normal"
"bgm_MC173B","1","bgm_MC173B","27","5152061","0","0.5","61141","","0","0.5"
"kids_jump_sideHair_end","0.2","110311","3","5152061","0","0","61142","","1","talk_normal"
"vo_rag_6010","","vo_rag","21","5152061","","0","61143","","","0"
"はい、お疲れさま\nみんな、楽しかったかしら？","0","110311","11","5152061","0","10","61144","0","1","1"
"","","0","91","5152061","","0","61145","","","0"
"idle_normal","","110311","3","5152061","0.2","1","61146","","",""
"gutsB_in","0","131911","3","5152061","0.2","0","61147","","1","gutsB_talk"
"surprise3_in_joy2","0","102311","3","5152061","0.2","0","61148","","1","surprise3_loop_joy2"
"memory_talk","","102111","3","5152061","0.2","1","61149","","",""
"wish_talk_joy_shy","","107711","3","5152061","0.2","1","61150","","",""
"eieio_in","0","122811","3","5152061","0.2","0","61151","","1","eieio_loop"
"anger_talk_joy","","122911","3","5152061","0.2","1","61152","","",""
"sad_talk_dere2","","122711","3","5152061","0.2","1","61153","","",""
"vo_rag_6011","","vo_rag","21","5152061","","0","61154","","","0"
"ええ、とっても！\nすごーく新鮮な\nラジーオタイソーだったわ！","60","131911","11","5152061","0","10","61155","0","1","1"
"","","0","91","5152061","","0","61156","","","0"
"gutsB_idle","","131911","3","5152061","0.2","1","61157","","",""
"memory_talk","","102111","3","5152061","0.2","1","61158","","",""
"vo_rag_6012","","vo_rag","21","5152061","","0","61159","","","0"
"かわいくて元気が出て♪\nママ・サレンの体操、すごいですぅ♪","56","102111","11","5152061","0","10","61160","0","1","1"
"","","0","91","5152061","","0","61161","","","0"
"memory_talk","","102111","3","5152061","0.2","1","61162","","",""
"se_10058300_emotion_laugh","","se_10058300","23","5152061","","0","61163","","",""
"1","","11","32","5152061","","","61164","","",""
"sad_talk_normal","","110311","3","5152061","0.2","1","61165","","",""
"vo_rag_6013","","vo_rag","21","5152061","","0","61166","","","0"
"あはは、\nそんなに喜んでもらえるなんて、\n悪い気はしないわね","0","110311","11","5152061","0","10","61167","0","1","1"
"","","0","91","5152061","","0","61168","","","0"
"0","","11","32","5152061","","","61169","","",""
"0","","0","22","5152061","","","61170","","",""
"0","","0.1","93","5152061","","","61171","","",""
"wish_talk_joy_shy","","110311","3","5152061","0.2","1","61172","","",""
"smile2_joy","0","131911","3","5152061","0.2","0","61173","","1","sad_idle_joy"
"joy_idle","","102311","3","5152061","0.2","1","61174","","",""
"memory_idle","","102111","3","5152061","0.2","1","61175","","",""
"wish_idle_dere","","107711","3","5152061","0.2","1","61176","","",""
"cool_talk_dere2","","122811","3","5152061","0.2","1","61177","","",""
"anger_idle_normal2","","122911","3","5152061","0.2","1","61178","","",""
"sad_idle_dere","","122711","3","5152061","0.2","1","61179","","",""
"se_10058300_emotion_kids","","se_10058300","23","5152061","","0","61180","","",""
"9","0","110311","12","5152061","0","2","61181","0","0","0"
"7","0","131911","12","5152061","0","2","61182","0","0","0"
"10","0","102311","12","5152061","0","2","61183","0","0","0"
"6","0","102111","12","5152061","0","2","61184","0","0","0"
"0","","2.5","93","5152061","","","61185","","",""
"","","61187","101","5152061","","","61186","","",""
"bgm_MC173B","","bgm_MC173B","25","5152061","","","61187","","",""
"0","","0","22","5152061","","","61188","","",""
"107111","1","1","1","5152062","1.55","110","62001","doya_idle","-280","382"
"107611","0","1","1","5152062","1.5","105","62002","idle_normal","-210","145"
"131911","0","1","1","5152062","1.57","107","62003","joy_idle_normal","-296","-22"
"107511","0","1","1","5152062","1.57","109","62004","wish_idle_joy","-311","-217"
"107811","0","1","1","5152062","1.53","108","62005","cool_idle","-255","-440"
"131411","0","1","1","5152062","1.45","103","62006","idle_normal","-136","34"
"131311","0","1","1","5152062","1.45","104","62007","riri_idle","-146","-163"
"131511","0","1","1","5152062","1.45","105","62008","sad_idle_surprise1","-166","-350"
"5","1","5","5","5152062","1.5","106","62009","empty","-235","-13"
"11","0","1","5","5152062","1.5","110","62010","empty","-210","145"
"12","0","1","5","5152062","1.57","110","62011","empty","-296","-22"
"13","0","1","5","5152062","1.57","110","62012","empty","-311","-217"
"14","0","1","5","5152062","1.53","110","62013","empty","-255","-440"
"15","0","1","5","5152062","1.45","107","62014","empty","-136","34"
"16","0","1","5","5152062","1.45","107","62015","empty","-146","-163"
"17","0","1","5","5152062","1.45","107","62016","empty","-166","-350"
"210","","107111","13","5152062","","","62017","","",""
"207","","131911","13","5152062","","","62018","","",""
"209","","107511","13","5152062","","","62019","","",""
"205","","107611","13","5152062","","","62020","","",""
"208","","107811","13","5152062","","","62021","","",""
"203","","131411","13","5152062","","","62022","","",""
"204","","131311","13","5152062","","","62023","","",""
"205","","131511","13","5152062","","","62024","","",""
"1","0","1","5","5152062","1.57","108","62025","empty","-235","-13"
"2","0","2","5","5152062","1","210","62026","empty","11","382"
"1","","1","31","5152062","1","0","62027","","1","0"
"2","","2","31","5152062","0","0","62028","","1","0"
"12","","12","31","5152062","0","0","62029","","1","0"
"3","","3","31","5152062","1","0","62030","","1","0"
"","","0","91","5152062","","","62031","","",""
"telop_2","","3","37","5152062","","","62032","","",""
"0","","0","102","5152062","","0","62033","","",""
"0","","1","93","5152062","","","62034","","",""
"doya_talk","","107111","3","5152062","0.2","1","62035","","",""
"vo_rag_2001","","vo_rag","21","5152062","","0","62036","","","0"
"早朝にもかかわらず、よく集まった","35","107111","11","5152062","0","10","62037","0","1","1"
"","","0","91","5152062","","0","62038","","","0"
"cool_in_joy","0","107111","3","5152062","0.2","0","62039","","1","cool_talk_joy"
"vo_rag_2002","","vo_rag","21","5152062","","0","62040","","","0"
"オマエたちにとっておきの体操を\n伝授してやろう♪","35","107111","11","5152062","0","10","62041","0","1","1"
"","","0","91","5152062","","0","62042","","","0"
"cool_idle","","107111","3","5152062","0.2","1","62043","","",""
"gutsB_talk_anger","","131311","3","5152062","0.2","1","62044","","",""
"vo_rag_2003","","vo_rag","21","5152062","","0","62045","","","0"
"どんな苛烈な体操でも…\n頑張りぬく所存です…！","0","131311","11","5152062","0","10","62046","0","1","1"
"","","0","91","5152062","","0","62047","","","0"
"riri_idle","","131311","3","5152062","0.2","1","62048","","",""
"","","1","26","5152062","","","62049","","",""
"joy_talk_normal","","107111","3","5152062","0.2","1","62050","","",""
"idle_normal","","131911","3","5152062","0.2","1","62051","","",""
"idle_normal","","107511","3","5152062","0.2","1","62052","","",""
"idle_normal","","107611","3","5152062","0.2","1","62053","","",""
"idle_normal","","107811","3","5152062","0.2","1","62054","","",""
"idle_normal","","131411","3","5152062","0.2","1","62055","","",""
"idle_normal","","131311","3","5152062","0.2","1","62056","","",""
"idle_normal","","131511","3","5152062","0.2","1","62057","","",""
"vo_rag_2004","","vo_rag","21","5152062","","0","62058","","","0"
"ではいくぞ\nそれ、ワンツーワンツー\nもっと腕を高く！","0","107111","11","5152062","0","10","62059","2","0","1"
"0","","1.1","93","5152062","","0","62060","","","0"
"bgm_MC175A","","bgm_MC175A","25","5152062","","","62061","","",""
"1","","2","32","5152062","","","62062","","",""
"clapping_in","0","107111","3","5152062","0.2","0","62063","","1","clapping_loop"
"idol_before_dance","","131911","3","5152062","0.2","0","62064","","",""
"idol_before_dance","","107511","3","5152062","0.2","0","62065","","",""
"idol_before_dance","","107611","3","5152062","0.2","0","62066","","",""
"idol_before_dance","","107811","3","5152062","0.2","0","62067","","",""
"idol_before_dance","","131411","3","5152062","0.2","0","62068","","",""
"idol_before_dance","","131311","3","5152062","0.2","0","62069","","",""
"idol_before_dance","","131511","3","5152062","0.2","0","62070","","",""
"","","0","91","5152062","","","62071","","",""
"1","","12","32","5152062","","","62072","","",""
"idol_danceF","","131911","3","5152062","0.2","1","62073","","",""
"idol_danceF","","107511","3","5152062","0.2","1","62074","","",""
"idol_danceF","","107611","3","5152062","0.2","1","62075","","",""
"idol_danceF","","107811","3","5152062","0.2","1","62076","","",""
"idol_danceB_in","0","131411","3","5152062","0.2","0","62077","","1","idol_danceB_loop"
"idol_danceB_in","0","131311","3","5152062","0.2","0","62078","","1","idol_danceB_loop"
"idol_danceB_in","0","131511","3","5152062","0.2","0","62079","","1","idol_danceB_loop"
"idol_danceF","","12","3","5152062","0.2","1","62080","","",""
"idol_danceF","","13","3","5152062","0.2","1","62081","","",""
"idol_danceF","","11","3","5152062","0.2","1","62082","","",""
"idol_danceF","","14","3","5152062","0.2","1","62083","","",""
"idol_danceB_loop","","15","3","5152062","0.2","1","62084","","",""
"idol_danceB_loop","","16","3","5152062","0.2","1","62085","","",""
"idol_danceB_loop","","17","3","5152062","0.2","1","62086","","",""
"0","","2.8","93","5152062","","0","62087","","","0"
"0","","0.1","93","5152062","","0","62088","","","0"
"pointing_in_anger","0","107111","3","5152062","0.2","0","62089","","1","pointing_loop_anger"
"0","","0.5","93","5152062","","0","62090","","","0"
"vo_rag_2005","","vo_rag","21","5152062","","0","62091","","","0"
"0204_in","","2","3","5152062","0","0","62092","","",""
"0","","2.5","93","5152062","","","62093","","",""
"0204_out","","2","3","5152062","0","0","62094","","",""
"0","","0.2","93","5152062","","","62095","","",""
"angry_loop","","107111","3","5152062","0.2","1","62096","","",""
"vo_rag_2006","","vo_rag","21","5152062","","0","62097","","","0"
"0205_in","","2","3","5152062","0","0","62098","","",""
"0","","2.2","93","5152062","","","62099","","",""
"0205_out","","2","3","5152062","0","0","62100","","",""
"0","","0.3","93","5152062","","","62101","","",""
