619fcd3745a3a5ed98777d93147140dc9fec2d5ca60492d69970c9b31ff7e33b,ab832198799a6d8228c2697c4d31d9285d219f03e194a7dc0c7978d4a4a4c605,0032addef231c4c0c6f9cda3cbb67036a43dd13f17c4567d27a89e0a22e7b08d,1b80670aa9a6afd8230ff67dbaf175d5a60e9c89328cbf3bb199edb12f06463d,a339dd412d3e4197679f673f96921492c8800a0c81f59eaf65baab0562f7ec41,338165b1f017c8d2c384e0a86cab413c0363ba9248bc161e21e3b890f6870189,30ab6c8a46baa1af70dd3aa6ea60267adae3c952236682ad82505b5f6effdf65,f8afd4092a493f7002badbdcec0d9ef891a59f63f89f798c4c19665185fd4d31
"111","5","1","2","3","104","200","4"
"211","5","1","2","3","14","2","4"
"311","5","1","2","3","103","2","4"
"411","5","1","2","3","102","2","4"
"511","5","1","2","3","104","200","4"
"611","5","1","2","3","1","250","4"
"711","5","1","2","3","101","3","4"
"811","5","1","2","3","100","3","4"
"911","5","1","2","3","104","200","4"
"1011","5","1","2","3","1","250","4"
"1111","5","1","2","3","3","250","4"
"1112","5","1","2","3","5","250","4"
"1211","5","1","2","3","6","150","4"
"1212","5","1","2","3","7","150","4"
"1311","5","1","2","3","104","200","4"
"1411","5","1","2","3","103","2","4"
"1511","5","1","2","3","102","2","4"
"1611","5","1","2","3","1","250","4"
"1711","5","1","2","3","104","200","4"
"1811","5","1","2","3","2","500","4"
"1812","5","1","2","3","4","500","4"
"1911","5","1","2","3","101","3","4"
"2011","5","1","2","3","100","3","4"
"2111","5","1","2","3","104","200","4"
"2211","5","1","2","3","1","250","4"
"2311","5","1","2","3","100","3","4"
"2411","5","1","2","3","101","3","4"
"2511","5","1","2","3","104","200","4"
"2611","5","1","2","3","2","500","4"
"2612","5","1","2","3","4","500","4"
"2711","5","1","2","3","6","150","4"
"2712","5","1","2","3","7","150","4"
"2811","5","1","2","3","2","500","4"
"2812","5","1","2","3","4","500","4"
"2911","5","1","2","3","104","200","4"
"3011","5","1","2","3","3","250","4"
"3012","5","1","2","3","5","250","4"
"3111","5","1","2","3","100","3","4"
"3211","5","1","2","3","101","3","4"
"3311","5","1","2","3","104","200","4"
"3411","5","1","2","3","100","2","4"
"3511","5","1","2","3","104","200","4"
"3611","5","1","2","3","103","1","4"
"3711","5","1","2","3","102","1","4"
"3811","5","1","2","3","2","250","4"
"3812","5","1","2","3","4","250","4"
"3911","5","1","2","3","102","1","4"
"4011","5","1","2","3","104","200","4"
"4111","5","1","2","3","100","2","4"
"4211","5","1","2","3","6","150","4"
"4212","5","1","2","3","7","150","4"
"4311","5","1","2","3","104","200","4"
"4411","5","1","2","3","103","1","4"
"4511","5","1","2","3","104","200","4"
"4611","5","1","2","3","101","2","4"
"4711","5","1","2","3","102","1","4"
"4811","5","1","2","3","104","200","4"
"4911","5","1","2","3","103","1","4"
"5011","5","1","2","3","104","200","4"
"5111","5","1","2","3","101","2","4"
"5211","5","1","2","3","102","1","4"
"5311","5","1","2","3","104","200","4"
"5411","5","1","2","3","6","150","4"
"5412","5","1","2","3","7","150","4"
"5511","5","1","2","3","103","1","4"
"5611","5","1","2","3","104","200","4"
"5711","5","1","2","3","100","2","4"
"5811","5","1","2","3","101","2","4"
"5911","5","1","2","3","103","1","4"
"6011","5","1","2","3","104","200","4"
"6111","5","1","2","3","102","1","4"
"6211","5","1","2","3","2","250","4"
"6212","5","1","2","3","4","250","4"
"6311","5","1","2","3","104","200","4"
"6411","5","1","2","3","103","1","4"
"6511","5","1","2","3","102","1","4"
"6611","5","1","2","3","104","200","4"
