6665e8aa13c2d313d03daf620cbda57967ed4b2ae9dec5561aaba9edea8d44ac,32a3d7376db86bafd1d1b6f5926faed2cd2b5407e63ff81f0233e31e8df23ad2,694206134c5fd08317a7d637f8a136b722f2d19d2410f00447961283c668c98b,b2efb8804922e6ef0e3fa1f864282bc3d1670f32ca86be3cb27e670887462226,b3cff06c6e73b9504754490c2f818e9cbf1c4753d0be4c77fc29d44ce5826949,36b60c2696659eacb82f8523b908ab1363961412f895a91b967f267949ccfd94
"1110111","111011101","1","1","0","101001"
"1110211","111021101","1","1","0","101002"
"1330111","133011101","1","3","0","301"
"1330112","133011201","1","3","0","301"
"1330201","133020101","0","3","500","302"
"1330202","133020201","0","3","500","302"
"1330301","133030101","0","3","1","303"
"1330302","133030201","0","3","250","303"
"1330303","133030301","0","3","1","303"
"1330304","133030401","0","3","1","303"
"1330305","133030501","0","3","250","303"
"1330306","133030601","0","3","1","303"
"1330401","133040101","0","3","1000","304"
"1330402","133040201","0","3","1000","304"
"1330403","133040301","0","3","1000","304"
"1330404","133040401","0","3","1000","304"
"1330511","133051101","1","3","0","305"
"1330512","133051201","1","3","0","305"
"1340101","134010101","0","3","1","401"
"1340102","134010201","0","3","1","401"
"1340211","134021101","1","3","0","402"
"1340212","134021201","1","3","0","402"
"1400101","140010101","0","4","1","1"
"1400102","140010201","0","4","1","1"
"1400103","140010301","0","4","10","1"
"1400201","140020101","0","4","0","2"
"2100001","210000101","0","1","0","0"
"2110301","211030101","0","1","0","101003"
"2210101","221010101","0","2","0","100001"
"2210201","221020101","0","2","0","100002"
"2210301","221030101","0","2","0","100003"
"2210501","221050101","0","2","0","100005"
"2210701","221070101","0","2","0","100007"
"2210801","221080101","0","2","0","100008"
"2210901","221090101","0","2","0","100009"
"2211001","221100101","0","2","0","100010"
"2211101","221110101","0","2","0","100011"
"2211201","221120101","0","2","0","100012"
"2211301","221130101","0","2","0","100013"
"2211401","221140101","0","2","0","100014"
"2211601","221160101","0","2","0","100016"
"2211701","221170101","0","2","0","100017"
"2220201","222020101","0","1","0","201020"
"2220401","222040101","0","1","0","201040"
"2220501","222050101","0","1","0","201050"
"2220601","222060101","0","1","0","201060"
"2220701","222070101","0","1","0","201070"
"2220801","222080101","0","1","0","201080"
"2220901","222090101","0","1","0","201090"
"2221001","222100101","0","1","0","201100"
"2221101","222110101","0","1","0","201110"
"2221301","222130101","0","1","0","201130"
"2221401","222140101","0","1","0","201140"
"2221601","222160101","0","1","0","201160"
"2221801","222180101","0","1","0","201180"
"2221901","222190101","0","1","0","201190"
"2222001","222200101","0","1","0","201200"
"2222101","222210101","0","1","0","201210"
"2222201","222220101","0","1","0","201220"
"2222301","222230101","0","1","0","201230"
"2222401","222240101","0","1","0","201240"
"2222501","222250101","0","1","0","201250"
"2222701","222270101","0","1","0","201270"
"2222801","222280101","0","1","0","201280"
"2222901","222290101","0","1","0","201290"
"2223001","222300101","0","1","0","201300"
"2223201","222320101","0","1","0","201320"
"2223401","222340101","0","1","0","201340"
"2223501","222350101","0","1","0","201350"
"2223601","222360101","0","1","0","201360"
"2223701","222370101","0","1","0","201370"
"2223801","222380101","0","1","0","201380"
"2223901","222390101","0","1","0","201390"
"2224001","222400101","0","1","0","201400"
"2224101","222410101","0","1","0","201410"
"2224301","222430101","0","1","0","201430"
"2224401","222440101","0","1","0","201440"
"2224701","222470101","0","1","0","201470"
"2224801","222480101","0","1","0","201480"
"2224901","222490101","0","1","0","201490"
"2330101","233010101","0","3","1000","301"
"2330501","233050101","0","3","1000","305"
"2340201","234020101","0","3","0","402"
"2340301","234030101","0","3","0","403"
"2400101","240010101","0","4","0","1"
"3100001","310000101","0","1","0","0"
"3100002","310000102","0","1","0","0"
"3110101","311010101","0","1","0","101001"
"3110201","311020101","0","1","0","101002"
