f727aee2992ff152dccb61811e92667ccf9b58da501f6530e19f547ac1d38c89,25fd9fca70a4af5cb133c98d8cc141ef61b8d18177b98373556996132ec2a459,b8628b3f6c5426f70b3ff4801751df35e51c231324f6ccf1a3f7536cfb45185f,7233d340502f051da996b148a074a62b9006ee7846b254b33ca445eb617e40f5,dead87e32ed2e5721002cd4e1c1c817a37829b3dfb3ea4de38faeb7258974226,dd91a2279c5477ab37cb18a2da168880a4c153b52ce46286438dda2d739c6af5,fdfc2d0d331842903f77a24a8148e222fb5215bdb3da0d329e3dae4b09158167,a137e1d47b2160e94646f510d2ac310ceca09efea57bdc11f1cf28df9eaf3df9,5cb5f9ece1c226cc4f234e7f8be8d31500bc964d64431eeb512a85b81408434e,2015fa43a06fc9f84c505cebcfc8e1d65e9d8dd77a600d89c12174f65ae5f966,778ce81518e8c9d23711b47ea0d549cce0928ea795c3f349369349ec5c9c4c28
"201001","0","1.3","2","empty","55","-150","150","201","118511","1"
"201002","0","0.65","1","empty","56","-150","150","201","1","5"
"201003","0","1.9","3","empty","50","-180","-650","201","3","5"
"201004","","","201001","","","","","201","0","91"
"201005","","0","118511","","0","","","201","empty","3"
"201006","","","0","","","","","201","","91"
"201007","","","se_labyrinth","","0","","","201","se_labyrinth_event_drama_201","23"
"201008","","0","118511","","0","","","201","201_karin","3"
"201009","","0","1","","0","","","201","201_karin","3"
"201010","","0","3","","0","","","201","201_hero","3"
"201011","","","3","","-180","11","1.2","201","-150","2"
"201012","","","1.7","","","","","201","0","93"
"201013","","","vo_labyrinth_drama","","0","","","201","vo_labyrinth_drama_20101","21"
"201014","","","0.8","","","","","201","0","93"
"201015","0","0","3","0","1","0","0","201","7","12"
"201016","","","se_labyrinth","","0","","","201","se_labyrinth_event_emote_7","23"
"201017","","","1.1","","","","","201","0","93"
"311001","0","1.9","310","empty","55","-213","-225","311","310","5"
"311002","0","0.8","104","empty","50","-187","427","311","104","5"
"311003","","0","300","","0","1","0","311","300","31"
"311004","","1","303","","0","1","0","311","303","31"
"311005","","1","303","","0","1","0","311","304","31"
"311006","","0","301","","0","1","0","311","301","31"
"311007","","","311001","","","","","311","0","91"
"311008","","0","310","","0","","","311","empty","3"
"311009","","","0","","","","","311","","91"
"311010","","","se_labyrinth","","0","","","311","se_labyrinth_event_drama_311","23"
"311011","","","vo_labyrinth_drama","","0","","","311","vo_labyrinth_drama_31101","21"
"311012","","0","310","","0","","","311","311_hiyori_jankenpon_win","3"
"311013","","0","104","","0","","","311","jankenpon_lose","3"
"311014","","","300","","","","","311","1","32"
"311015","","","303","","","","","311","L_gu_WIN","37"
"311016","","","304","","","","","311","R_choki_LOSE","37"
"311017","","","3.133","","","","","311","0","93"
"311018","","","301","","","","","311","1","32"
"311019","","","vo_labyrinth_drama","","0","","","311","vo_labyrinth_drama_31102","21"
"311020","","","1.867","","","","","311","0","93"
"312001","0","1.9","310","empty","55","-213","-225","312","310","5"
"312002","0","0.8","105","empty","50","-187","427","312","105","5"
"312003","","0","300","","0","1","0","312","300","31"
"312004","","1","303","","0","1","0","312","303","31"
"312005","","1","303","","0","1","0","312","304","31"
"312006","","0","302","","0","1","0","312","302","31"
"312007","","","312001","","","","","312","0","91"
"312008","","0","310","","0","","","312","empty","3"
"312009","","","0","","","","","312","","91"
"312010","","","se_labyrinth","","0","","","312","se_labyrinth_event_drama_312","23"
"312011","","","vo_labyrinth_drama","","0","","","312","vo_labyrinth_drama_31201","21"
"312012","","0","310","","0","","","312","312_hiyori_jankenpon_lose","3"
"312013","","0","105","","0","","","312","jankenpon_win","3"
"312014","","","300","","","","","312","1","32"
"312015","","","303","","","","","312","L_gu_LOSE","37"
"312016","","","304","","","","","312","R_pa_WIN","37"
"312017","","","3","","","","","312","0","93"
"312018","","","302","","","","","312","1","32"
"312019","","","vo_labyrinth_drama","","0","","","312","vo_labyrinth_drama_31202","21"
"312020","","","2","","","","","312","0","93"
"321001","0","1.9","320","empty","55","-213","-225","321","320","5"
"321002","0","0.8","105","empty","50","-187","427","321","105","5"
"321003","","0","300","","0","1","0","321","300","31"
"321004","","1","303","","0","1","0","321","303","31"
"321005","","1","303","","0","1","0","321","304","31"
"321006","","0","301","","0","1","0","321","301","31"
"321007","","","321001","","","","","321","0","91"
"321008","","0","320","","0","","","321","empty","3"
"321009","","","0","","","","","321","","91"
"321010","","","se_labyrinth","","0","","","321","se_labyrinth_event_drama_321","23"
"321011","","","vo_labyrinth_drama","","0","","","321","vo_labyrinth_drama_32101","21"
"321012","","0","320","","0","","","321","321_rei_jankenpon_win","3"
"321013","","0","105","","0","","","321","jankenpon_lose","3"
"321014","","","300","","","","","321","1","32"
"321015","","","303","","","","","321","L_choki_WIN","37"
"321016","","","304","","","","","321","R_pa_LOSE","37"
"321017","","","3.133","","","","","321","0","93"
"321018","","","301","","","","","321","1","32"
"321019","","","vo_labyrinth_drama","","0","","","321","vo_labyrinth_drama_32102","21"
"321020","","","1.867","","","","","321","0","93"
"322001","0","1.9","320","empty","55","-213","-225","322","320","5"
"322002","0","0.9","103","empty","50","-187","427","322","103","5"
"322003","","0","300","","0","1","0","322","300","31"
"322004","","1","303","","0","1","0","322","303","31"
"322005","","1","303","","0","1","0","322","304","31"
"322006","","0","302","","0","1","0","322","302","31"
"322007","","","322001","","","","","322","0","91"
"322008","","0","320","","0","","","322","empty","3"
"322009","","","0","","","","","322","","91"
"322010","","","se_labyrinth","","0","","","322","se_labyrinth_event_drama_322","23"
"322011","","","vo_labyrinth_drama","","0","","","322","vo_labyrinth_drama_32201","21"
"322012","","0","320","","0","","","322","322_rei_jankenpon_lose","3"
"322013","","0","103","","0","","","322","jankenpon_win","3"
"322014","","","300","","","","","322","1","32"
"322015","","","303","","","","","322","L_choki_LOSE","37"
"322016","","","304","","","","","322","R_gu_WIN","37"
"322017","","","3","","","","","322","0","93"
"322018","","","302","","","","","322","1","32"
"322019","","","vo_labyrinth_drama","","0","","","322","vo_labyrinth_drama_32202","21"
"322020","","","2","","","","","322","0","93"
"331001","0","1.9","330","empty","55","-213","-225","331","330","5"
"331002","0","0.9","103","empty","50","-187","427","331","103","5"
"331003","","0","300","","0","1","0","331","300","31"
"331004","","1","303","","0","1","0","331","303","31"
"331005","","1","303","","0","1","0","331","304","31"
"331006","","0","301","","0","1","0","331","301","31"
"331007","","","331001","","","","","331","0","91"
"331008","","0","330","","0","","","331","empty","3"
"331009","","","0","","","","","331","","91"
"331010","","","se_labyrinth","","0","","","331","se_labyrinth_event_drama_331","23"
"331011","","","vo_labyrinth_drama","","0","","","331","vo_labyrinth_drama_33101","21"
"331012","","0","330","","0","","","331","331_yui_jankenpon_win","3"
"331013","","0","103","","0","","","331","jankenpon_lose","3"
"331014","","","300","","","","","331","1","32"
"331015","","","303","","","","","331","L_pa_WIN","37"
"331016","","","304","","","","","331","R_gu_LOSE","37"
"331017","","","3.133","","","","","331","0","93"
"331018","","","301","","","","","331","1","32"
"331019","","","vo_labyrinth_drama","","0","","","331","vo_labyrinth_drama_33102","21"
"331020","","","1.867","","","","","331","0","93"
"332001","0","1.9","330","empty","55","-213","-225","332","330","5"
"332002","0","0.8","104","empty","50","-187","427","332","104","5"
"332003","","0","300","","0","1","0","332","300","31"
"332004","","1","303","","0","1","0","332","303","31"
"332005","","1","303","","0","1","0","332","304","31"
"332006","","0","302","","0","1","0","332","302","31"
"332007","","","332001","","","","","332","0","91"
"332008","","0","330","","0","","","332","empty","3"
"332009","","","0","","","","","332","","91"
"332010","","","se_labyrinth","","0","","","332","se_labyrinth_event_drama_332","23"
"332011","","","vo_labyrinth_drama","","0","","","332","vo_labyrinth_drama_33201","21"
"332012","","0","330","","0","","","332","332_yui_jankenpon_lose","3"
"332013","","0","104","","0","","","332","jankenpon_win","3"
"332014","","","300","","","","","332","1","32"
"332015","","","303","","","","","332","L_pa_LOSE","37"
"332016","","","304","","","","","332","R_choki_WIN","37"
"332017","","","3","","","","","332","0","93"
"332018","","","302","","","","","332","1","32"
"332019","","","vo_labyrinth_drama","","0","","","332","vo_labyrinth_drama_33202","21"
"332020","","","2","","","","","332","0","93"
"411001","0","1.3","2","empty","53","-180","-250","411","100511","1"
"411002","0","0.66","100","empty","52","-180","250","411","100","5"
"411003","0","0.66","101","empty","51","-180","250","411","101","5"
"411004","0","0.66","102","empty","50","-180","250","411","102","5"
"411005","","1","411","","0","1","0","411","411","31"
"411006","","","411004","","","","","411","0","91"
