8309b457bdfdbd2916ba532d1ced3cd5010cc51a96ad0744b3d9e5e74d1627f5,7d2f0c6f1b6d0a478c816edbc733943ccc11a1eb14d3f54f5383a01cf7794719,86c573123e92a5b272e38abb01dd14bd79d8d4ddc4ca400bdd25155cb3e7ea52,2ea6a40ee2fb6dd019e131943de842b1c96f3f8d441de5c484824bd85c6a31ee
"20","20","1","2"
"30","30","1","3"
"50","80","2","3"
"80","160","3","3"
"60","60","1","4"
"100","160","2","4"
"180","340","3","4"
"360","700","4","4"
"500","1200","5","4"
"100","100","1","5"
"160","260","2","5"
"280","540","3","5"
"480","1020","4","5"
"780","1800","5","5"
"100","100","1","6"
"160","260","2","6"
"280","540","3","6"
"480","1020","4","6"
"780","1800","5","6"
"100","100","1","7"
"160","260","2","7"
"280","540","3","7"
"480","1020","4","7"
"780","1800","5","7"
"100","100","1","8"
"160","260","2","8"
"280","540","3","8"
"480","1020","4","8"
"780","1800","5","8"
"100","100","1","9"
"160","260","2","9"
"280","540","3","9"
"480","1020","4","9"
"780","1800","5","9"
"100","100","1","10"
"160","260","2","10"
"280","540","3","10"
"480","1020","4","10"
"780","1800","5","10"
